* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 07.09.2021 16:20:03
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 10rub EQ R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	95.355	51.752
20.586	95.361	51.461
20.885	95.375	50.902
21.189	95.393	50.299
21.497	95.412	49.676
21.810	95.425	49.013
22.127	95.428	48.297
22.449	95.420	47.531
22.776	95.405	46.741
23.107	95.388	45.955
23.443	95.378	45.194
23.784	95.376	44.455
24.130	95.378	43.719
24.481	95.380	42.964
24.837	95.379	42.177
25.198	95.380	41.363
25.565	95.383	40.539
25.937	95.388	39.722
26.314	95.393	38.919
26.697	95.394	38.134
27.085	95.386	37.367
27.479	95.371	36.621
27.879	95.357	35.889
28.284	95.353	35.155
28.696	95.356	34.396
29.113	95.355	33.600
29.537	95.337	32.781
29.966	95.304	31.970
30.402	95.269	31.192
30.844	95.248	30.442
31.293	95.238	29.693
31.748	95.229	28.918
32.210	95.220	28.106
32.678	95.214	27.261
33.154	95.206	26.399
33.636	95.190	25.545
34.125	95.169	24.718
34.621	95.152	23.923
35.125	95.142	23.140
35.636	95.131	22.355
36.154	95.109	21.576
36.680	95.086	20.822
37.214	95.071	20.086
37.755	95.057	19.334
38.304	95.035	18.550
38.861	95.009	17.759
39.427	94.984	16.992
40.000	94.964	16.237
40.582	94.945	15.446
41.172	94.924	14.584
41.771	94.905	13.681
42.379	94.888	12.812
42.995	94.866	12.025
43.620	94.838	11.297
44.255	94.805	10.572
44.898	94.777	9.829
45.552	94.762	9.080
46.214	94.755	8.328
46.886	94.741	7.538
47.568	94.699	6.684
48.260	94.621	5.860
48.962	94.534	5.237
49.674	94.495	4.770
50.397	94.520	4.118
51.130	94.547	3.095
51.874	94.525	1.956
52.628	94.472	0.965
53.394	94.425	0.060
54.170	94.393	-0.856
54.958	94.366	-1.709
55.758	94.345	-2.434
56.569	94.333	-3.093
57.391	94.322	-3.785
58.226	94.295	-4.546
59.073	94.244	-5.323
59.932	94.183	-6.069
60.804	94.123	-6.830
61.688	94.061	-7.628
