* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 22.09.2021 17:20:23
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AirDots S EQ L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	78.187	151.781
20.586	78.292	151.078
20.885	78.510	149.743
21.189	78.717	148.345
21.497	78.902	146.974
21.810	79.070	145.620
22.127	79.222	144.281
22.449	79.362	142.968
22.776	79.499	141.698
23.107	79.643	140.471
23.443	79.800	139.268
23.784	79.971	138.056
24.130	80.146	136.802
24.481	80.320	135.487
24.837	80.490	134.110
25.198	80.664	132.675
25.565	80.844	131.174
25.937	81.029	129.585
26.314	81.208	127.903
26.697	81.369	126.166
27.085	81.508	124.457
27.479	81.637	122.851
27.879	81.777	121.355
28.284	81.948	119.888
28.696	82.146	118.333
29.113	82.346	116.635
29.537	82.524	114.844
29.966	82.679	113.062
30.402	82.835	111.352
30.844	83.009	109.688
31.293	83.197	107.995
31.748	83.384	106.215
32.210	83.562	104.347
32.678	83.734	102.412
33.154	83.896	100.432
33.636	84.044	98.421
34.125	84.182	96.402
34.621	84.324	94.382
35.125	84.479	92.319
35.636	84.638	90.145
36.154	84.787	87.838
36.680	84.927	85.459
37.214	85.070	83.070
37.755	85.218	80.634
38.304	85.364	78.049
38.861	85.490	75.288
39.427	85.587	72.433
40.000	85.649	69.550
40.582	85.670	66.636
41.172	85.642	63.724
41.771	85.577	60.913
42.379	85.488	58.258
42.995	85.370	55.788
43.620	85.229	53.553
44.255	85.103	51.465
44.898	85.009	49.255
45.552	84.922	46.897
46.214	84.828	44.615
46.886	84.727	42.515
47.568	84.609	40.766
48.260	84.537	39.589
48.962	84.602	38.283
49.674	84.677	35.914
50.397	84.556	33.291
51.130	84.298	31.980
51.874	84.122	31.714
52.628	84.041	31.107
53.394	83.910	29.864
54.170	83.699	28.634
54.958	83.490	27.661
55.758	83.324	26.507
56.569	83.151	25.110
57.391	82.997	23.930
58.226	82.944	22.783
59.073	82.961	21.262
59.932	82.972	19.555
60.804	82.951	18.096
61.688	82.903	17.050
62.586	82.809	16.372
63.496	82.674	16.220
64.420	82.567	16.296
65.357	82.487	15.837
66.307	82.390	14.590
67.272	82.258	12.608
68.250	82.072	10.408
69.243	81.869	8.575
70.250	81.621	7.817
71.272	81.443	9.134
72.309	81.518	11.539
73.360	81.861	13.290
74.427	82.099	12.024
75.510	81.866	9.882
76.608	81.532	8.362
77.723	81.311	7.943
78.853	81.487	6.838
80.000	81.698	4.191
81.164	81.916	1.219
82.344	81.720	-1.802
83.542	81.283	-2.387
84.757	80.808	-1.311
85.990	80.458	-0.159
87.241	80.162	-0.025
88.510	80.042	-0.849
89.797	80.007	-2.581
91.103	80.026	-3.812
92.428	80.060	-4.414
93.773	80.082	-4.123
95.137	80.064	-4.395
96.520	79.933	-5.091
97.924	79.639	-5.782
99.349	79.370	-5.477
100.794	79.248	-5.104
102.260	79.188	-5.495
103.747	79.051	-5.989
105.256	78.936	-6.520
106.787	78.805	-6.854
108.340	78.678	-6.650
109.916	78.570	-6.203
111.515	78.463	-5.631
113.137	78.395	-5.270
114.783	78.350	-5.341
116.452	78.306	-5.552
118.146	78.260	-5.746
119.865	78.184	-5.813
121.608	78.085	-5.746
123.377	77.995	-5.627
125.171	77.924	-5.522
126.992	77.873	-5.420
128.839	77.815	-5.346
130.713	77.738	-5.170
132.615	77.668	-4.890
134.543	77.605	-4.599
136.500	77.556	-4.345
138.486	77.522	-4.245
140.500	77.493	-4.242
142.544	77.474	-4.277
144.617	77.465	-4.376
146.721	77.481	-4.541
148.855	77.497	-4.883
151.020	77.441	-4.941
153.217	77.380	-4.395
155.445	77.356	-3.856
157.706	77.332	-3.471
160.000	77.296	-3.041
162.327	77.259	-2.497
164.688	77.230	-1.980
167.084	77.212	-1.554
169.514	77.202	-1.140
171.980	77.190	-0.651
174.481	77.177	-0.187
177.019	77.168	0.138
179.594	77.174	0.326
182.206	77.201	0.518
184.856	77.249	0.772
187.545	77.298	0.982
190.273	77.337	1.184
193.041	77.355	1.321
195.849	77.344	1.279
198.697	77.324	1.178
201.587	77.356	1.442
204.520	77.442	1.863
207.494	77.494	2.173
210.512	77.517	2.416
213.574	77.540	2.599
216.681	77.554	2.800
219.833	77.571	3.101
223.030	77.611	3.456
226.274	77.661	3.783
229.565	77.709	4.079
232.905	77.754	4.423
236.292	77.788	4.851
239.729	77.827	5.386
243.216	77.873	6.292
246.754	77.894	7.585
250.343	78.009	8.587
253.984	78.302	8.460
257.678	78.587	7.875
261.426	78.777	7.333
265.229	78.912	6.786
269.087	79.021	6.238
273.001	79.106	5.701
276.972	79.169	5.193
281.000	79.217	4.734
285.088	79.258	4.355
289.234	79.305	4.073
293.441	79.370	3.931
297.710	79.449	3.986
302.040	79.491	3.939
306.433	79.498	3.742
310.890	79.530	3.637
315.412	79.596	3.617
320.000	79.681	3.593
324.655	79.766	3.548
329.377	79.848	3.454
334.168	79.931	3.300
339.028	80.017	3.146
343.959	80.113	2.947
348.962	80.217	2.687
354.038	80.300	2.586
359.188	80.375	2.536
364.412	80.459	2.379
369.713	80.546	2.162
375.090	80.635	1.940
380.546	80.725	1.680
386.081	80.811	1.356
391.697	80.889	0.968
397.395	80.953	0.566
403.175	81.031	0.395
409.039	81.132	0.390
414.989	81.238	0.277
421.025	81.342	0.074
427.149	81.444	-0.158
433.362	81.546	-0.438
439.665	81.656	-0.863
446.060	81.776	-1.524
452.548	81.904	-2.016
459.131	82.024	-2.198
465.809	82.118	-2.533
472.584	82.193	-3.046
479.458	82.264	-3.651
486.432	82.324	-4.291
493.507	82.354	-4.788
500.686	82.349	-4.766
507.968	82.385	-4.076
515.357	82.555	-3.488
522.853	82.771	-3.623
530.458	82.948	-4.085
538.174	83.091	-4.471
546.002	83.216	-4.775
553.943	83.348	-5.097
562.001	83.493	-5.455
570.175	83.647	-5.904
578.469	83.800	-6.645
586.883	83.899	-7.743
595.419	83.883	-8.840
604.080	83.767	-9.019
612.866	83.718	-7.863
621.780	83.867	-6.367
630.824	84.146	-5.485
640.000	84.448	-5.270
649.309	84.734	-5.440
658.753	85.026	-5.667
668.335	85.348	-5.954
678.056	85.708	-6.596
687.919	86.080	-7.862
697.925	86.410	-9.845
708.076	86.633	-12.268
718.376	86.742	-14.562
728.825	86.799	-16.473
739.426	86.847	-18.092
750.181	86.876	-19.510
761.093	86.868	-20.717
772.163	86.852	-21.576
783.394	86.864	-22.070
794.789	86.924	-22.396
806.349	87.022	-22.826
818.078	87.125	-23.383
829.977	87.221	-23.975
842.050	87.319	-24.582
854.297	87.426	-25.199
866.724	87.545	-25.848
879.330	87.676	-26.553
892.120	87.815	-27.263
905.097	87.950	-27.904
918.262	88.075	-28.491
931.618	88.189	-29.096
945.169	88.303	-29.742
958.917	88.433	-30.437
972.864	88.574	-31.178
987.015	88.718	-31.952
1001.371	88.862	-32.726
1015.937	89.005	-33.487
1030.714	89.152	-34.248
1045.706	89.304	-35.031
1060.916	89.460	-35.856
1076.347	89.616	-36.728
1092.003	89.766	-37.639
1107.887	89.909	-38.547
1124.001	90.049	-39.397
1140.350	90.194	-40.166
1156.937	90.354	-40.877
1173.765	90.531	-41.629
1190.838	90.715	-42.490
1208.159	90.897	-43.440
1225.732	91.071	-44.433
1243.561	91.241	-45.413
1261.649	91.415	-46.333
1280.000	91.600	-47.193
1298.618	91.799	-48.023
1317.507	92.003	-48.837
1336.670	92.204	-49.646
1356.113	92.410	-50.450
1375.838	92.629	-51.271
1395.850	92.858	-52.133
1416.153	93.094	-53.034
1436.751	93.338	-53.963
1457.649	93.591	-54.908
1478.851	93.856	-55.865
1500.362	94.132	-56.856
1522.185	94.418	-57.888
1544.326	94.719	-58.969
1566.789	95.034	-60.113
1589.578	95.361	-61.329
1612.699	95.700	-62.603
1636.156	96.057	-63.912
1659.955	96.448	-65.264
1684.099	96.880	-66.684
1708.595	97.341	-68.201
1733.447	97.822	-69.849
1758.661	98.316	-71.682
1784.241	98.826	-73.756
1810.193	99.358	-76.083
1836.523	99.919	-78.690
1863.236	100.513	-81.644
1890.338	101.143	-85.054
1917.833	101.802	-89.086
1945.729	102.469	-93.928
1974.030	103.106	-99.717
2002.743	103.675	-106.504
2031.873	104.129	-114.253
2061.428	104.421	-122.796
2091.412	104.514	-131.800
2121.832	104.396	-140.840
2152.695	104.068	-149.484
2184.007	103.553	-157.287
2215.774	102.904	-163.945
2248.003	102.194	-169.428
2280.701	101.483	-173.915
2313.874	100.798	-177.623
2347.530	100.137	179.298
2381.676	99.501	176.743
2416.318	98.886	174.640
2451.464	98.293	172.953
2487.122	97.739	171.612
2523.298	97.244	170.521
2560.000	96.798	169.596
2597.236	96.377	168.793
2635.014	95.978	168.090
2673.341	95.601	167.480
