* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 22.09.2021 17:19:36
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AirDots S EQ R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	84.477	-117.928
20.586	84.654	-118.818
20.885	85.020	-120.474
21.189	85.374	-122.107
21.497	85.713	-123.631
21.810	86.048	-125.115
22.127	86.386	-126.631
22.449	86.728	-128.222
22.776	87.072	-129.909
23.107	87.421	-131.709
23.443	87.770	-133.617
23.784	88.110	-135.604
24.130	88.434	-137.628
24.481	88.741	-139.650
24.837	89.037	-141.646
25.198	89.334	-143.616
25.565	89.639	-145.579
25.937	89.952	-147.559
26.314	90.268	-149.568
26.697	90.579	-151.607
27.085	90.883	-153.666
27.479	91.180	-155.741
27.879	91.479	-157.835
28.284	91.785	-159.950
28.696	92.097	-162.079
29.113	92.407	-164.216
29.537	92.709	-166.361
29.966	93.006	-168.533
30.402	93.308	-170.759
30.844	93.618	-173.053
31.293	93.924	-175.403
31.748	94.217	-177.782
32.210	94.504	179.822
32.678	94.792	177.392
33.154	95.077	174.908
33.636	95.354	172.367
34.125	95.624	169.782
34.621	95.899	167.153
35.125	96.183	164.440
35.636	96.463	161.600
36.154	96.730	158.636
36.680	96.988	155.587
37.214	97.245	152.471
37.755	97.494	149.253
38.304	97.723	145.904
38.861	97.928	142.446
39.427	98.108	138.929
40.000	98.257	135.371
40.582	98.367	131.768
41.172	98.434	128.161
41.771	98.469	124.636
42.379	98.482	121.270
42.995	98.474	118.101
43.620	98.447	115.136
44.255	98.418	112.330
44.898	98.408	109.585
45.552	98.416	106.852
46.214	98.422	104.173
46.886	98.407	101.656
47.568	98.365	99.442
48.260	98.336	97.561
48.962	98.365	95.689
49.674	98.422	93.388
50.397	98.428	90.724
51.130	98.360	88.211
51.874	98.266	86.062
52.628	98.185	84.042
53.394	98.116	81.965
54.170	98.061	79.853
54.958	98.015	77.812
55.758	97.980	75.938
56.569	97.962	74.155
57.391	97.940	72.342
58.226	97.895	70.567
59.073	97.840	68.846
59.932	97.791	67.047
60.804	97.743	65.102
61.688	97.689	63.075
62.586	97.640	61.071
63.496	97.603	59.187
64.420	97.580	57.494
65.357	97.560	55.971
66.307	97.527	54.780
67.272	97.549	53.861
68.250	97.611	52.264
69.243	97.546	50.015
70.250	97.378	48.157
71.272	97.236	46.514
72.309	97.101	44.834
73.360	96.991	43.450
74.427	96.953	42.132
75.510	96.928	40.573
76.608	96.847	39.035
77.723	96.725	37.884
78.853	96.626	37.005
80.000	96.574	36.121
81.164	96.561	34.883
82.344	96.501	33.195
83.542	96.388	31.764
84.757	96.307	30.579
85.990	96.242	29.367
87.241	96.177	28.079
88.510	96.090	26.695
89.797	95.979	25.352
91.103	95.857	24.139
92.428	95.740	23.108
93.773	95.644	22.196
95.137	95.565	21.240
96.520	95.482	20.267
97.924	95.406	19.339
99.349	95.330	18.316
100.794	95.215	17.332
102.260	95.080	16.620
103.747	94.952	16.024
105.256	94.827	15.401
106.787	94.699	14.753
108.340	94.578	14.187
109.916	94.482	13.705
111.515	94.409	13.179
113.137	94.340	12.577
114.783	94.264	11.921
116.452	94.175	11.266
118.146	94.079	10.669
119.865	93.978	10.116
121.608	93.877	9.602
123.377	93.784	9.125
125.171	93.693	8.719
126.992	93.598	8.416
128.839	93.501	8.176
130.713	93.405	7.888
132.615	93.319	7.535
134.543	93.245	7.155
136.500	93.176	6.769
138.486	93.108	6.398
140.500	93.040	6.022
142.544	92.969	5.610
144.617	92.892	5.151
146.721	92.819	4.628
148.855	92.751	4.066
151.020	92.690	3.621
153.217	92.647	3.337
155.445	92.604	3.146
157.706	92.540	3.051
160.000	92.459	3.058
162.327	92.382	3.121
164.688	92.314	3.204
167.084	92.248	3.315
169.514	92.181	3.462
171.980	92.115	3.603
174.481	92.054	3.667
177.019	92.002	3.634
179.594	91.962	3.507
182.206	91.930	3.328
184.856	91.909	3.137
187.545	91.894	2.948
190.273	91.878	2.771
193.041	91.856	2.583
195.849	91.831	2.355
198.697	91.802	2.127
201.587	91.766	2.017
204.520	91.731	1.995
207.494	91.699	1.928
210.512	91.669	1.811
213.574	91.637	1.703
216.681	91.598	1.626
219.833	91.561	1.573
223.030	91.530	1.541
226.274	91.505	1.522
229.565	91.485	1.486
232.905	91.468	1.427
236.292	91.455	1.360
239.729	91.447	1.273
243.216	91.439	1.121
246.754	91.433	0.887
250.343	91.404	0.726
253.984	91.337	0.843
257.678	91.270	1.100
261.426	91.226	1.479
265.229	91.217	2.012
269.087	91.258	2.549
273.001	91.345	2.899
276.972	91.450	2.889
281.000	91.535	2.517
285.088	91.580	1.976
289.234	91.587	1.439
293.441	91.569	0.963
297.710	91.548	0.543
302.040	91.517	0.262
306.433	91.481	0.142
310.890	91.456	0.079
315.412	91.444	0.025
320.000	91.438	-0.060
324.655	91.431	-0.186
329.377	91.421	-0.327
334.168	91.411	-0.458
339.028	91.405	-0.578
343.959	91.404	-0.718
348.962	91.406	-0.868
354.038	91.403	-0.968
359.188	91.398	-1.054
364.412	91.396	-1.174
369.713	91.395	-1.322
375.090	91.392	-1.471
380.546	91.387	-1.624
386.081	91.378	-1.799
391.697	91.366	-1.972
397.395	91.352	-2.107
403.175	91.324	-2.166
409.039	91.297	-2.175
414.989	91.288	-2.220
421.025	91.291	-2.310
427.149	91.297	-2.404
433.362	91.301	-2.499
439.665	91.306	-2.602
446.060	91.312	-2.716
452.548	91.328	-2.956
459.131	91.341	-3.309
465.809	91.322	-3.594
472.584	91.286	-3.805
479.458	91.258	-3.957
486.432	91.247	-4.052
493.507	91.249	-4.121
500.686	91.248	-4.167
507.968	91.238	-4.159
515.357	91.224	-4.119
522.853	91.218	-4.039
530.458	91.233	-3.908
538.174	91.266	-3.768
546.002	91.304	-3.726
553.943	91.347	-3.862
562.001	91.383	-4.262
570.175	91.361	-4.883
578.469	91.255	-5.120
586.883	91.183	-4.585
595.419	91.227	-4.075
604.080	91.296	-4.093
612.866	91.334	-4.358
621.780	91.358	-4.604
630.824	91.397	-4.832
640.000	91.459	-5.291
649.309	91.505	-6.243
658.753	91.473	-7.723
668.335	91.287	-9.323
678.056	90.898	-9.996
687.919	90.442	-8.379
697.925	90.283	-4.921
708.076	90.520	-2.082
718.376	90.873	-1.086
728.825	91.154	-1.409
739.426	91.328	-2.298
750.181	91.401	-3.291
761.093	91.403	-4.129
772.163	91.365	-4.645
783.394	91.325	-4.831
794.789	91.312	-4.862
806.349	91.316	-4.893
818.078	91.319	-4.944
829.977	91.314	-5.019
842.050	91.304	-5.104
854.297	91.300	-5.189
866.724	91.305	-5.287
879.330	91.318	-5.402
892.120	91.332	-5.510
905.097	91.339	-5.577
918.262	91.331	-5.594
931.618	91.312	-5.598
945.169	91.295	-5.597
958.917	91.287	-5.589
972.864	91.288	-5.621
987.015	91.292	-5.704
1001.371	91.295	-5.786
1015.937	91.300	-5.846
1030.714	91.303	-5.925
1045.706	91.305	-6.061
1060.916	91.310	-6.268
1076.347	91.315	-6.524
1092.003	91.311	-6.791
1107.887	91.296	-7.024
1124.001	91.276	-7.190
1140.350	91.258	-7.268
1156.937	91.252	-7.286
1173.765	91.261	-7.344
1190.838	91.274	-7.501
1208.159	91.284	-7.752
1225.732	91.282	-8.066
1243.561	91.267	-8.358
1261.649	91.251	-8.555
1280.000	91.246	-8.658
1298.618	91.252	-8.729
1317.507	91.259	-8.816
1336.670	91.258	-8.901
1356.113	91.253	-8.961
1375.838	91.248	-9.024
1395.850	91.248	-9.136
1416.153	91.249	-9.290
1436.751	91.251	-9.455
1457.649	91.251	-9.621
1478.851	91.249	-9.786
1500.362	91.246	-9.957
1522.185	91.243	-10.135
1544.326	91.240	-10.333
1566.789	91.234	-10.548
1589.578	91.225	-10.782
1612.699	91.210	-11.021
1636.156	91.192	-11.228
1659.955	91.188	-11.393
1684.099	91.204	-11.527
1708.595	91.227	-11.647
1733.447	91.246	-11.768
1758.661	91.253	-11.895
1784.241	91.244	-12.037
1810.193	91.227	-12.170
1836.523	91.207	-12.249
1863.236	91.191	-12.262
1890.338	91.184	-12.229
1917.833	91.190	-12.224
1945.729	91.202	-12.289
1974.030	91.214	-12.418
2002.743	91.224	-12.584
2031.873	91.227	-12.772
2061.428	91.224	-12.943
2091.412	91.218	-13.045
2121.832	91.221	-13.120
2152.695	91.227	-13.239
2184.007	91.225	-13.361
2215.774	91.216	-13.436
2248.003	91.211	-13.477
2280.701	91.217	-13.520
2313.874	91.224	-13.560
2347.530	91.231	-13.569
2381.676	91.237	-13.581
2416.318	91.236	-13.620
2451.464	91.227	-13.633
2487.122	91.222	-13.598
2523.298	91.234	-13.576
2560.000	91.250	-13.607
2597.236	91.252	-13.673
2635.014	91.240	-13.753
2673.341	91.221	-13.829
2712.226	91.203	-13.892
2751.676	91.190	-13.940
2791.700	91.178	-13.969
2832.306	91.166	-13.967
2873.503	91.154	-13.905
2915.299	91.148	-13.784
2957.703	91.160	-13.670
3000.724	91.185	-13.636
3044.370	91.207	-13.697
3088.652	91.214	-13.844
3133.577	91.206	-14.041
3179.156	91.196	-14.256
3225.398	91.193	-14.498
