* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 22.09.2021 16:35:32
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AirDots S L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	76.575	174.365
20.586	76.657	173.900
20.885	76.837	173.053
21.189	77.030	172.255
21.497	77.232	171.491
21.810	77.438	170.655
22.127	77.638	169.691
22.449	77.821	168.621
22.776	77.988	167.511
23.107	78.148	166.422
23.443	78.308	165.369
23.784	78.470	164.340
24.130	78.626	163.328
24.481	78.773	162.347
24.837	78.919	161.408
25.198	79.078	160.477
25.565	79.255	159.471
25.937	79.438	158.317
26.314	79.604	157.035
26.697	79.740	155.759
27.085	79.856	154.649
27.479	79.981	153.745
27.879	80.148	152.910
28.284	80.359	151.912
28.696	80.581	150.627
29.113	80.770	149.154
29.537	80.911	147.734
29.966	81.029	146.538
30.402	81.163	145.531
30.844	81.324	144.570
31.293	81.491	143.588
31.748	81.645	142.663
32.210	81.806	141.862
32.678	81.999	141.066
33.154	82.210	140.047
33.636	82.395	138.719
34.125	82.525	137.286
34.621	82.621	136.018
35.125	82.727	134.977
35.636	82.855	133.984
36.154	82.990	132.908
36.680	83.126	131.822
37.214	83.283	130.813
37.755	83.470	129.771
38.304	83.663	128.533
38.861	83.833	127.159
39.427	83.974	125.886
40.000	84.108	124.837
40.582	84.252	123.903
41.172	84.402	122.914
41.771	84.553	121.826
42.379	84.702	120.691
42.995	84.848	119.505
43.620	84.984	118.135
44.255	85.089	116.541
44.898	85.177	115.022
45.552	85.323	113.709
46.214	85.544	112.180
46.886	85.745	110.353
47.568	85.933	109.002
48.260	86.284	107.855
48.962	86.702	105.140
49.674	86.819	101.044
50.397	86.567	98.628
51.130	86.362	99.210
51.874	86.486	100.360
52.628	86.697	100.266
53.394	86.831	99.605
54.170	86.954	98.845
54.958	87.073	97.805
55.758	87.167	96.571
56.569	87.235	95.213
57.391	87.277	93.920
58.226	87.339	92.807
59.073	87.445	91.535
59.932	87.555	89.997
60.804	87.657	88.398
61.688	87.757	86.827
62.586	87.861	85.344
63.496	87.971	83.919
64.420	88.073	82.576
65.357	88.168	81.253
66.307	88.220	79.791
67.272	88.201	78.491
68.250	88.170	77.536
69.243	88.161	76.684
70.250	88.183	75.976
71.272	88.302	75.327
72.309	88.519	74.011
73.360	88.667	71.665
74.427	88.603	69.571
75.510	88.542	69.139
76.608	88.720	68.511
77.723	88.809	66.269
78.853	88.673	64.756
80.000	88.657	64.801
81.164	88.815	64.409
82.344	88.878	63.415
83.542	88.856	62.790
84.757	88.836	62.180
85.990	88.794	61.001
87.241	88.715	59.441
88.510	88.694	57.865
89.797	88.812	56.254
91.103	88.984	54.601
92.428	89.137	53.753
93.773	89.305	53.509
95.137	89.402	53.052
96.520	89.386	52.094
97.924	89.275	50.466
99.349	89.092	48.751
100.794	89.018	47.787
102.260	89.122	46.859
103.747	89.233	45.894
105.256	89.275	45.186
106.787	89.254	44.588
108.340	89.203	43.820
109.916	89.161	42.784
111.515	89.137	41.673
113.137	89.134	40.808
114.783	89.149	40.119
116.452	89.147	39.372
118.146	89.111	38.501
119.865	89.051	37.601
121.608	89.004	36.810
123.377	88.985	36.120
125.171	88.975	35.460
126.992	88.946	34.789
128.839	88.889	34.075
130.713	88.814	33.344
132.615	88.745	32.653
134.543	88.693	32.071
136.500	88.662	31.520
138.486	88.633	30.890
140.500	88.597	30.264
142.544	88.557	29.702
144.617	88.512	29.171
146.721	88.452	28.612
148.855	88.389	28.112
151.020	88.372	27.673
153.217	88.400	27.132
155.445	88.424	26.597
157.706	88.417	26.167
160.000	88.387	25.752
162.327	88.349	25.267
164.688	88.306	24.808
167.084	88.257	24.439
169.514	88.193	24.097
171.980	88.110	23.727
174.481	88.023	23.338
177.019	87.942	22.990
179.594	87.874	22.699
182.206	87.818	22.437
184.856	87.769	22.199
187.545	87.723	21.985
190.273	87.673	21.763
193.041	87.628	21.564
195.849	87.601	21.481
198.697	87.579	21.468
201.587	87.527	21.287
204.520	87.448	21.038
207.494	87.385	20.863
210.512	87.329	20.777
213.574	87.275	20.706
216.681	87.227	20.606
219.833	87.185	20.523
223.030	87.146	20.465
226.274	87.104	20.428
229.565	87.056	20.394
232.905	87.013	20.352
236.292	86.972	20.349
239.729	86.929	20.389
243.216	86.870	20.490
246.754	86.764	20.653
250.343	86.683	20.797
253.984	86.705	20.776
257.678	86.725	20.774
261.426	86.701	20.849
265.229	86.670	20.957
269.087	86.636	21.118
273.001	86.597	21.275
276.972	86.562	21.420
281.000	86.531	21.608
285.088	86.502	21.851
289.234	86.467	22.073
293.441	86.425	22.202
297.710	86.379	22.250
302.040	86.347	22.588
306.433	86.338	23.180
310.890	86.334	23.657
315.412	86.332	24.023
320.000	86.330	24.319
324.655	86.332	24.564
329.377	86.336	24.780
334.168	86.338	24.958
339.028	86.339	25.142
343.959	86.346	25.399
348.962	86.355	25.686
354.038	86.340	25.821
359.188	86.308	25.933
364.412	86.279	26.123
369.713	86.264	26.374
375.090	86.253	26.676
380.546	86.242	26.987
386.081	86.233	27.307
391.697	86.233	27.602
397.395	86.247	27.876
403.175	86.233	28.269
409.039	86.201	28.737
414.989	86.187	29.166
421.025	86.180	29.560
427.149	86.177	29.966
433.362	86.174	30.411
439.665	86.158	30.930
446.060	86.129	31.585
452.548	86.138	32.073
459.131	86.185	32.332
465.809	86.199	32.692
472.584	86.195	33.134
479.458	86.201	33.592
486.432	86.229	34.078
493.507	86.264	34.632
500.686	86.294	35.185
507.968	86.322	35.628
515.357	86.352	36.082
522.853	86.392	36.582
530.458	86.451	37.085
538.174	86.517	37.601
546.002	86.574	38.146
553.943	86.622	38.601
562.001	86.679	38.939
570.175	86.750	39.193
578.469	86.831	39.237
586.883	86.898	38.844
595.419	86.883	37.870
604.080	86.678	36.748
612.866	86.252	37.083
621.780	85.878	39.988
630.824	85.875	43.777
640.000	86.121	46.304
649.309	86.375	47.414
658.753	86.566	47.932
668.335	86.691	48.349
678.056	86.771	48.814
687.919	86.833	49.326
697.925	86.889	49.893
708.076	86.948	50.581
718.376	87.016	51.337
728.825	87.093	52.089
739.426	87.183	52.781
750.181	87.281	53.493
761.093	87.375	54.402
772.163	87.464	55.313
783.394	87.551	56.190
794.789	87.644	57.075
806.349	87.751	57.912
818.078	87.860	58.705
829.977	87.962	59.525
842.050	88.062	60.382
854.297	88.170	61.268
866.724	88.291	62.156
879.330	88.434	63.040
892.120	88.589	63.929
905.097	88.747	64.811
918.262	88.903	65.668
931.618	89.049	66.493
945.169	89.193	67.293
958.917	89.352	68.106
972.864	89.524	68.900
987.015	89.703	69.635
1001.371	89.890	70.319
1015.937	90.087	70.949
1030.714	90.289	71.516
1045.706	90.493	72.027
1060.916	90.702	72.503
1076.347	90.916	72.937
1092.003	91.129	73.318
1107.887	91.345	73.662
1124.001	91.562	73.974
1140.350	91.776	74.239
1156.937	91.988	74.457
1173.765	92.203	74.646
1190.838	92.417	74.805
1208.159	92.630	74.937
1225.732	92.843	75.057
1243.561	93.059	75.162
1261.649	93.279	75.250
1280.000	93.505	75.313
1298.618	93.737	75.374
1317.507	93.968	75.460
