* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 22.09.2021 16:33:52
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AirDots S R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	81.123	-102.940
20.586	81.301	-103.556
20.885	81.675	-104.749
21.189	82.050	-106.068
21.497	82.411	-107.456
21.810	82.757	-108.909
22.127	83.093	-110.409
22.449	83.420	-111.930
22.776	83.747	-113.457
23.107	84.079	-114.997
23.443	84.417	-116.554
23.784	84.755	-118.114
24.130	85.087	-119.653
24.481	85.411	-121.160
24.837	85.734	-122.649
25.198	86.060	-124.155
25.565	86.387	-125.706
25.937	86.707	-127.295
26.314	87.013	-128.879
26.697	87.304	-130.395
27.085	87.586	-131.809
27.479	87.876	-133.150
27.879	88.188	-134.513
28.284	88.524	-136.017
28.696	88.868	-137.737
29.113	89.188	-139.643
29.537	89.467	-141.607
29.966	89.715	-143.468
30.402	89.969	-145.149
30.844	90.257	-146.712
31.293	90.578	-148.319
31.748	90.904	-150.102
32.210	91.210	-152.034
32.678	91.493	-153.957
33.154	91.763	-155.731
33.636	92.040	-157.362
34.125	92.333	-159.002
34.621	92.632	-160.767
35.125	92.919	-162.625
35.636	93.189	-164.458
36.154	93.455	-166.246
36.680	93.732	-168.106
37.214	94.004	-170.099
37.755	94.254	-172.091
38.304	94.500	-173.925
38.861	94.780	-175.695
39.427	95.091	-177.668
40.000	95.376	-179.895
40.582	95.613	177.909
41.172	95.842	175.988
41.771	96.112	174.186
42.379	96.403	172.223
42.995	96.662	170.142
43.620	96.882	168.166
44.255	97.098	166.322
44.898	97.335	164.422
45.552	97.586	162.394
46.214	97.839	160.317
46.886	98.097	158.230
47.568	98.363	155.979
48.260	98.602	153.348
48.962	98.762	150.530
49.674	98.856	148.203
50.397	99.003	146.659
51.130	99.264	145.233
51.874	99.545	143.258
52.628	99.750	140.969
53.394	99.904	138.897
54.170	100.089	137.107
54.958	100.338	135.255
55.758	100.603	132.968
56.569	100.801	130.330
57.391	100.920	127.948
58.226	101.048	126.126
59.073	101.254	124.392
59.932	101.499	122.079
60.804	101.661	119.168
61.688	101.691	116.582
62.586	101.742	115.086
63.496	101.994	113.756
64.420	102.304	111.098
65.357	102.406	107.686
66.307	102.355	105.508
67.272	102.473	104.602
68.250	102.795	102.773
69.243	102.987	99.318
70.250	102.895	96.364
71.272	102.829	95.583
72.309	103.115	95.036
73.360	103.456	92.291
74.427	103.489	88.986
75.510	103.469	87.639
76.608	103.752	86.436
77.723	104.006	82.936
78.853	103.897	79.257
80.000	103.744	77.823
81.164	103.906	76.555
82.344	104.044	73.219
83.542	103.872	70.163
84.757	103.741	69.231
85.990	103.891	68.234
87.241	104.026	65.988
88.510	104.044	63.984
89.797	104.134	62.479
91.103	104.281	60.354
92.428	104.329	57.825
93.773	104.311	55.826
95.137	104.340	54.136
96.520	104.379	52.111
97.924	104.363	50.004
99.349	104.342	48.174
100.794	104.376	46.354
102.260	104.417	44.299
103.747	104.432	42.340
105.256	104.449	40.560
106.787	104.463	38.744
108.340	104.453	36.880
109.916	104.425	35.043
111.515	104.396	33.256
113.137	104.373	31.451
114.783	104.345	29.640
116.452	104.315	27.871
118.146	104.283	26.098
119.865	104.237	24.349
121.608	104.187	22.657
123.377	104.142	21.000
125.171	104.095	19.375
126.992	104.045	17.756
128.839	103.976	16.093
130.713	103.889	14.417
132.615	103.807	12.772
134.543	103.738	11.181
136.500	103.678	9.660
138.486	103.616	8.178
140.500	103.546	6.706
142.544	103.472	5.204
144.617	103.395	3.675
146.721	103.322	2.178
148.855	103.262	0.727
151.020	103.220	-0.695
153.217	103.188	-2.089
155.445	103.159	-3.444
157.706	103.116	-4.800
160.000	103.050	-6.168
162.327	102.975	-7.531
164.688	102.897	-8.826
167.084	102.813	-10.035
169.514	102.709	-11.231
171.980	102.579	-12.460
174.481	102.439	-13.727
177.019	102.307	-14.999
179.594	102.192	-16.208
182.206	102.092	-17.336
184.856	101.990	-18.423
187.545	101.881	-19.515
190.273	101.773	-20.641
193.041	101.676	-21.773
195.849	101.587	-22.828
198.697	101.492	-23.792
201.587	101.379	-24.778
204.520	101.259	-25.827
207.494	101.150	-26.872
210.512	101.051	-27.834
213.574	100.944	-28.723
216.681	100.826	-29.619
219.833	100.709	-30.559
223.030	100.603	-31.480
226.274	100.502	-32.320
229.565	100.391	-33.115
232.905	100.271	-33.936
236.292	100.157	-34.804
239.729	100.050	-35.637
243.216	99.935	-36.371
246.754	99.803	-37.094
250.343	99.678	-37.862
253.984	99.581	-38.628
257.678	99.483	-39.320
261.426	99.366	-39.998
265.229	99.244	-40.697
269.087	99.131	-41.348
273.001	99.016	-41.940
276.972	98.894	-42.522
281.000	98.779	-43.101
285.088	98.672	-43.612
289.234	98.566	-44.055
293.441	98.464	-44.533
297.710	98.377	-45.058
302.040	98.300	-45.544
306.433	98.221	-46.064
310.890	98.139	-46.702
315.412	98.052	-47.363
320.000	97.954	-48.013
324.655	97.852	-48.668
329.377	97.749	-49.279
334.168	97.640	-49.852
339.028	97.530	-50.411
343.959	97.424	-50.904
348.962	97.316	-51.361
354.038	97.204	-51.898
359.188	97.093	-52.427
364.412	96.982	-52.888
369.713	96.876	-53.339
375.090	96.772	-53.773
380.546	96.667	-54.194
386.081	96.565	-54.611
391.697	96.468	-55.018
397.395	96.372	-55.432
403.175	96.267	-55.814
409.039	96.154	-56.173
414.989	96.048	-56.529
421.025	95.944	-56.870
427.149	95.841	-57.210
433.362	95.742	-57.532
439.665	95.642	-57.827
446.060	95.540	-58.075
452.548	95.453	-58.364
459.131	95.377	-58.726
465.809	95.281	-59.048
472.584	95.173	-59.342
479.458	95.075	-59.619
486.432	94.995	-59.870
493.507	94.928	-60.091
500.686	94.861	-60.331
