* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 16.09.2021 18:12:18
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Arena EQ L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	101.297	163.767
20.586	101.283	163.134
20.885	101.255	161.933
21.189	101.229	160.674
21.497	101.202	159.424
21.810	101.168	158.162
22.127	101.124	156.868
22.449	101.073	155.541
22.776	101.019	154.191
23.107	100.969	152.825
23.443	100.927	151.452
23.784	100.890	150.084
24.130	100.854	148.725
24.481	100.817	147.369
24.837	100.780	146.002
25.198	100.747	144.609
25.565	100.719	143.186
25.937	100.691	141.746
26.314	100.659	140.317
26.697	100.618	138.921
27.085	100.569	137.566
27.479	100.514	136.239
27.879	100.460	134.915
28.284	100.414	133.577
28.696	100.372	132.222
29.113	100.325	130.863
29.537	100.267	129.505
29.966	100.202	128.141
30.402	100.140	126.753
30.844	100.088	125.335
31.293	100.040	123.895
31.748	99.986	122.452
32.210	99.931	121.018
32.678	99.882	119.589
33.154	99.837	118.154
33.636	99.790	116.712
34.125	99.738	115.275
34.621	99.689	113.854
35.125	99.646	112.448
35.636	99.603	111.049
36.154	99.551	109.651
36.680	99.499	108.253
37.214	99.451	106.857
37.755	99.401	105.463
38.304	99.346	104.067
38.861	99.290	102.665
39.427	99.239	101.255
40.000	99.186	99.839
40.582	99.129	98.419
41.172	99.070	96.997
41.771	99.023	95.576
42.379	98.987	94.158
42.995	98.948	92.751
43.620	98.895	91.359
44.255	98.832	89.983
44.898	98.773	88.619
45.552	98.729	87.247
46.214	98.693	85.863
46.886	98.651	84.492
47.568	98.596	83.119
48.260	98.529	81.673
48.962	98.446	80.174
49.674	98.358	78.785
50.397	98.296	77.555
51.130	98.263	76.313
51.874	98.225	74.961
52.628	98.163	73.596
53.394	98.094	72.274
54.170	98.036	70.960
54.958	97.988	69.666
55.758	97.943	68.415
56.569	97.896	67.165
57.391	97.839	65.905
58.226	97.770	64.655
59.073	97.692	63.406
59.932	97.613	62.145
60.804	97.536	60.871
61.688	97.460	59.591
62.586	97.386	58.352
63.496	97.324	57.188
64.420	97.274	56.047
65.357	97.223	54.888
66.307	97.164	53.709
67.272	97.092	52.528
68.250	97.013	51.419
69.243	96.948	50.367
70.250	96.895	49.223
71.272	96.833	48.057
72.309	96.774	46.977
73.360	96.716	45.864
74.427	96.633	44.793
75.510	96.539	43.924
76.608	96.461	43.070
77.723	96.372	42.053
78.853	96.266	41.081
80.000	96.185	40.154
81.164	96.102	39.107
82.344	95.998	38.159
83.542	95.914	37.311
84.757	95.843	36.422
85.990	95.772	35.546
87.241	95.703	34.705
88.510	95.640	33.865
89.797	95.576	32.989
91.103	95.505	32.146
92.428	95.435	31.381
93.773	95.370	30.627
95.137	95.303	29.874
96.520	95.236	29.126
97.924	95.171	28.360
99.349	95.104	27.590
100.794	95.028	26.852
102.260	94.950	26.205
103.747	94.879	25.593
105.256	94.811	24.945
106.787	94.738	24.279
108.340	94.666	23.650
109.916	94.598	23.044
111.515	94.532	22.454
113.137	94.467	21.878
114.783	94.400	21.294
116.452	94.329	20.719
118.146	94.252	20.161
119.865	94.166	19.621
121.608	94.080	19.092
123.377	94.004	18.570
125.171	93.936	18.049
126.992	93.865	17.544
128.839	93.777	17.055
130.713	93.670	16.580
132.615	93.565	16.115
134.543	93.473	15.657
136.500	93.393	15.214
138.486	93.321	14.789
140.500	93.250	14.380
142.544	93.177	13.994
144.617	93.107	13.612
146.721	93.042	13.206
148.855	92.984	12.780
151.020	92.924	12.438
153.217	92.880	12.232
155.445	92.854	12.036
157.706	92.823	11.798
160.000	92.774	11.547
162.327	92.713	11.316
164.688	92.647	11.118
167.084	92.578	10.937
169.514	92.501	10.751
171.980	92.409	10.570
174.481	92.305	10.409
177.019	92.204	10.266
179.594	92.118	10.127
182.206	92.046	10.003
184.856	91.982	9.901
187.545	91.920	9.812
190.273	91.860	9.736
193.041	91.804	9.689
195.849	91.751	9.660
198.697	91.697	9.642
201.587	91.641	9.667
204.520	91.588	9.732
207.494	91.539	9.799
210.512	91.493	9.865
213.574	91.450	9.940
216.681	91.412	10.035
219.833	91.377	10.138
223.030	91.345	10.241
226.274	91.314	10.348
229.565	91.286	10.460
232.905	91.262	10.573
236.292	91.239	10.686
239.729	91.217	10.805
243.216	91.197	10.943
246.754	91.174	11.104
250.343	91.155	11.247
253.984	91.151	11.330
257.678	91.149	11.412
261.426	91.143	11.511
265.229	91.137	11.611
269.087	91.132	11.714
273.001	91.126	11.817
276.972	91.120	11.924
281.000	91.113	12.055
285.088	91.108	12.220
289.234	91.108	12.431
293.441	91.117	12.693
297.710	91.141	12.971
302.040	91.187	13.208
306.433	91.253	13.323
310.890	91.323	13.255
315.412	91.384	13.017
320.000	91.426	12.679
324.655	91.448	12.316
329.377	91.453	11.982
334.168	91.447	11.692
339.028	91.437	11.452
343.959	91.424	11.265
348.962	91.410	11.114
354.038	91.395	10.951
359.188	91.380	10.794
364.412	91.365	10.666
369.713	91.350	10.555
375.090	91.334	10.452
380.546	91.319	10.355
386.081	91.304	10.266
391.697	91.289	10.190
397.395	91.272	10.131
403.175	91.251	10.070
409.039	91.229	10.004
414.989	91.206	9.950
421.025	91.184	9.914
427.149	91.162	9.890
433.362	91.140	9.878
439.665	91.119	9.864
446.060	91.103	9.843
452.548	91.094	9.858
459.131	91.082	9.922
465.809	91.052	9.980
472.584	91.011	10.029
479.458	90.982	10.087
486.432	90.969	10.163
493.507	90.963	10.256
500.686	90.948	10.365
507.968	90.923	10.505
515.357	90.899	10.717
522.853	90.894	10.956
530.458	90.908	11.161
538.174	90.922	11.337
