* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 16.09.2021 18:13:04
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Arena EQ R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	101.540	161.517
20.586	101.525	160.904
20.885	101.492	159.739
21.189	101.460	158.519
21.497	101.428	157.308
21.810	101.388	156.082
22.127	101.339	154.826
22.449	101.282	153.537
22.776	101.223	152.225
23.107	101.169	150.893
23.443	101.124	149.542
23.784	101.085	148.172
24.130	101.045	146.786
24.481	100.999	145.390
24.837	100.949	143.992
25.198	100.900	142.598
25.565	100.856	141.215
25.937	100.817	139.847
26.314	100.780	138.494
26.697	100.740	137.154
27.085	100.692	135.826
27.479	100.636	134.507
27.879	100.579	133.195
28.284	100.527	131.884
28.696	100.481	130.570
29.113	100.431	129.252
29.537	100.370	127.928
29.966	100.299	126.595
30.402	100.229	125.249
30.844	100.170	123.884
31.293	100.117	122.499
31.748	100.059	121.095
32.210	99.999	119.682
32.678	99.943	118.265
33.154	99.891	116.845
33.636	99.837	115.419
34.125	99.781	113.992
34.621	99.726	112.573
35.125	99.677	111.173
35.636	99.628	109.793
36.154	99.573	108.422
36.680	99.518	107.049
37.214	99.467	105.678
37.755	99.413	104.318
38.304	99.353	102.969
38.861	99.295	101.614
39.427	99.240	100.240
40.000	99.183	98.847
40.582	99.118	97.448
41.172	99.051	96.055
41.771	98.998	94.665
42.379	98.960	93.257
42.995	98.919	91.825
43.620	98.858	90.406
44.255	98.785	89.050
44.898	98.722	87.744
45.552	98.679	86.440
46.214	98.646	85.128
46.886	98.607	83.817
47.568	98.547	82.492
48.260	98.463	81.193
48.962	98.377	79.994
49.674	98.323	78.815
50.397	98.296	77.463
51.130	98.252	75.945
51.874	98.173	74.473
52.628	98.078	73.122
53.394	97.990	71.791
54.170	97.917	70.441
54.958	97.859	69.118
55.758	97.811	67.835
56.569	97.768	66.559
57.391	97.719	65.268
58.226	97.654	64.002
59.073	97.577	62.792
59.932	97.497	61.612
60.804	97.418	60.425
61.688	97.336	59.212
62.586	97.252	57.985
63.496	97.175	56.772
64.420	97.107	55.561
65.357	97.043	54.342
66.307	96.979	53.198
67.272	96.934	52.185
68.250	96.911	51.193
69.243	96.880	50.163
70.250	96.811	49.360
71.272	96.746	48.984
72.309	96.729	48.710
73.360	96.750	48.068
74.427	96.754	46.745
75.510	96.666	44.875
76.608	96.474	43.101
77.723	96.261	41.757
78.853	96.091	40.696
80.000	95.974	39.753
81.164	95.882	38.854
82.344	95.796	37.989
83.542	95.717	37.091
84.757	95.639	36.175
85.990	95.573	35.264
87.241	95.514	34.259
88.510	95.444	33.282
89.797	95.368	32.470
91.103	95.296	31.812
92.428	95.229	31.236
93.773	95.165	30.615
95.137	95.092	29.902
96.520	95.016	29.134
97.924	94.933	28.300
99.349	94.846	27.541
100.794	94.770	26.840
102.260	94.700	26.145
103.747	94.632	25.467
105.256	94.564	24.790
106.787	94.496	24.134
108.340	94.427	23.484
109.916	94.354	22.853
111.515	94.280	22.246
113.137	94.206	21.653
114.783	94.134	21.073
116.452	94.062	20.490
118.146	93.984	19.911
119.865	93.896	19.325
121.608	93.801	18.759
123.377	93.716	18.228
125.171	93.642	17.725
126.992	93.570	17.261
128.839	93.483	16.823
130.713	93.377	16.404
132.615	93.272	15.983
134.543	93.178	15.551
136.500	93.096	15.115
138.486	93.020	14.681
140.500	92.944	14.265
142.544	92.870	13.854
144.617	92.798	13.439
146.721	92.736	13.042
148.855	92.683	12.651
151.020	92.626	12.319
153.217	92.575	12.092
155.445	92.540	11.859
157.706	92.502	11.583
160.000	92.446	11.311
162.327	92.379	11.077
164.688	92.304	10.870
167.084	92.226	10.682
169.514	92.139	10.500
