* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 16.09.2021 17:37:13
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Arena L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	97.531	171.290
20.586	97.518	170.709
20.885	97.493	169.604
21.189	97.468	168.444
21.497	97.442	167.295
21.810	97.410	166.137
22.127	97.368	164.954
22.449	97.320	163.744
22.776	97.271	162.512
23.107	97.227	161.259
23.443	97.192	159.984
23.784	97.161	158.692
24.130	97.129	157.391
24.481	97.090	156.090
24.837	97.046	154.799
25.198	97.005	153.521
25.565	96.970	152.254
25.937	96.940	150.994
26.314	96.913	149.738
26.697	96.881	148.489
27.085	96.839	147.251
27.479	96.790	146.027
27.879	96.739	144.817
28.284	96.694	143.614
28.696	96.656	142.412
29.113	96.617	141.205
29.537	96.567	139.989
29.966	96.508	138.762
30.402	96.451	137.522
30.844	96.404	136.269
31.293	96.363	135.008
31.748	96.318	133.745
32.210	96.272	132.481
32.678	96.231	131.213
33.154	96.193	129.940
33.636	96.152	128.667
34.125	96.107	127.404
34.621	96.066	126.156
35.125	96.031	124.920
35.636	95.996	123.689
36.154	95.954	122.464
36.680	95.913	121.243
37.214	95.878	120.025
37.755	95.842	118.804
38.304	95.801	117.586
38.861	95.759	116.380
39.427	95.723	115.185
40.000	95.688	113.992
40.582	95.648	112.797
41.172	95.608	111.601
41.771	95.578	110.400
42.379	95.559	109.191
42.995	95.536	107.981
43.620	95.499	106.775
44.255	95.451	105.571
44.898	95.408	104.379
45.552	95.385	103.205
46.214	95.380	102.012
46.886	95.373	100.792
47.568	95.354	99.595
48.260	95.337	98.359
48.962	95.316	96.941
49.674	95.265	95.483
50.397	95.195	94.343
51.130	95.156	93.525
51.874	95.148	92.665
52.628	95.127	91.627
53.394	95.085	90.562
54.170	95.052	89.524
