* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 16.09.2021 17:38:13
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Arena R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	97.940	168.996
20.586	97.925	168.446
20.885	97.894	167.398
21.189	97.865	166.294
21.497	97.836	165.193
21.810	97.799	164.075
22.127	97.752	162.926
22.449	97.697	161.746
22.776	97.640	160.545
23.107	97.587	159.330
23.443	97.543	158.101
23.784	97.504	156.860
24.130	97.466	155.606
24.481	97.423	154.342
24.837	97.375	153.071
25.198	97.328	151.804
25.565	97.287	150.547
25.937	97.250	149.309
26.314	97.217	148.091
26.697	97.181	146.887
27.085	97.140	145.690
27.479	97.092	144.492
27.879	97.042	143.292
28.284	96.995	142.097
28.696	96.953	140.915
29.113	96.908	139.747
29.537	96.854	138.582
29.966	96.791	137.406
30.402	96.730	136.208
30.844	96.676	134.994
31.293	96.626	133.779
31.748	96.572	132.573
32.210	96.519	131.371
32.678	96.473	130.153
33.154	96.432	128.907
33.636	96.386	127.639
34.125	96.336	126.371
34.621	96.288	125.118
35.125	96.248	123.881
35.636	96.207	122.657
36.154	96.160	121.449
36.680	96.114	120.269
37.214	96.077	119.111
37.755	96.043	117.955
38.304	96.002	116.790
38.861	95.961	115.632
39.427	95.923	114.485
40.000	95.887	113.321
40.582	95.844	112.115
41.172	95.793	110.893
41.771	95.748	109.693
42.379	95.720	108.510
42.995	95.694	107.315
43.620	95.659	106.114
44.255	95.617	104.913
44.898	95.584	103.700
45.552	95.565	102.503
46.214	95.557	101.371
46.886	95.550	100.284
47.568	95.525	99.242
48.260	95.488	98.340
48.962	95.485	97.473
49.674	95.511	96.288
50.397	95.500	94.776
51.130	95.425	93.404
51.874	95.333	92.378
52.628	95.260	91.414
53.394	95.194	90.331
54.170	95.141	89.220
54.958	95.112	88.119
55.758	95.097	87.017
56.569	95.090	85.921
57.391	95.082	84.824
58.226	95.062	83.737
59.073	95.030	82.685
59.932	94.991	81.659
60.804	94.951	80.655
61.688	94.913	79.666
62.586	94.885	78.656
63.496	94.867	77.608
64.420	94.853	76.557
65.357	94.841	75.528
66.307	94.831	74.507
67.272	94.818	73.504
68.250	94.805	72.545
69.243	94.796	71.608
70.250	94.789	70.667
71.272	94.784	69.711
72.309	94.776	68.731
73.360	94.761	67.770
74.427	94.745	66.852
75.510	94.727	65.941
76.608	94.703	65.019
77.723	94.670	64.093
78.853	94.638	63.156
80.000	94.609	62.224
81.164	94.576	61.316
82.344	94.539	60.430
83.542	94.508	59.557
84.757	94.490	58.691
85.990	94.479	57.823
87.241	94.468	56.965
88.510	94.459	56.130
89.797	94.451	55.297
91.103	94.440	54.455
92.428	94.426	53.615
93.773	94.412	52.773
95.137	94.400	51.932
96.520	94.396	51.116
97.924	94.406	50.293
99.349	94.415	49.390
100.794	94.394	48.517
102.260	94.363	47.833
103.747	94.341	47.177
105.256	94.320	46.477
106.787	94.303	45.744
108.340	94.290	44.982
109.916	94.277	44.221
111.515	94.264	43.483
113.137	94.250	42.760
114.783	94.234	42.046
116.452	94.216	41.338
118.146	94.194	40.637
119.865	94.165	39.939
121.608	94.134	39.237
123.377	94.112	38.549
125.171	94.100	37.890
126.992	94.087	37.246
128.839	94.056	36.597
130.713	94.006	35.925
132.615	93.956	35.249
134.543	93.921	34.590
136.500	93.897	33.955
138.486	93.876	33.332
140.500	93.859	32.708
142.544	93.844	32.085
144.617	93.826	31.490
146.721	93.798	30.945
148.855	93.769	30.451
151.020	93.768	29.892
153.217	93.794	29.191
155.445	93.829	28.523
157.706	93.854	27.936
160.000	93.850	27.378
162.327	93.830	26.818
164.688	93.806	26.263
167.084	93.779	25.724
169.514	93.739	25.197
171.980	93.681	24.672
174.481	93.615	24.146
177.019	93.548	23.632
179.594	93.492	23.148
182.206	93.451	22.677
184.856	93.417	22.209
187.545	93.385	21.765
190.273	93.353	21.362
193.041	93.320	20.980
195.849	93.291	20.588
198.697	93.264	20.201
201.587	93.232	19.892
204.520	93.201	19.661
207.494	93.177	19.446
210.512	93.166	19.240
213.574	93.170	19.020
216.681	93.184	18.735
219.833	93.199	18.364
223.030	93.212	17.910
226.274	93.217	17.395
229.565	93.211	16.858
232.905	93.196	16.324
236.292	93.173	15.813
239.729	93.145	15.333
243.216	93.117	14.888
246.754	93.098	14.495
250.343	93.074	14.129
253.984	93.033	13.760
257.678	92.993	13.404
261.426	92.963	13.066
265.229	92.936	12.739
269.087	92.911	12.405
273.001	92.885	12.061
276.972	92.859	11.719
281.000	92.833	11.386
285.088	92.806	11.063
289.234	92.777	10.743
293.441	92.747	10.423
297.710	92.717	10.110
302.040	92.688	9.807
306.433	92.659	9.503
310.890	92.629	9.192
315.412	92.596	8.879
320.000	92.561	8.573
324.655	92.523	8.280
329.377	92.483	8.003
334.168	92.443	7.739
339.028	92.403	7.491
343.959	92.365	7.250
348.962	92.328	7.018
354.038	92.282	6.814
359.188	92.232	6.633
364.412	92.186	6.461
369.713	92.142	6.298
375.090	92.099	6.143
380.546	92.055	6.000
386.081	92.012	5.870
391.697	91.969	5.758
397.395	91.923	5.668
403.175	91.877	5.576
409.039	91.834	5.483
414.989	91.791	5.405
421.025	91.747	5.340
427.149	91.702	5.287
433.362	91.657	5.250
439.665	91.612	5.223
446.060	91.569	5.198
452.548	91.541	5.200
459.131	91.518	5.239
465.809	91.474	5.280
472.584	91.418	5.327
479.458	91.373	5.388
486.432	91.345	5.458
493.507	91.326	5.530
500.686	91.305	5.624
507.968	91.276	5.766
515.357	91.247	5.924
522.853	91.228	6.082
530.458	91.226	6.241
538.174	91.226	6.386
546.002	91.212	6.501
553.943	91.188	6.583
562.001	91.154	6.652
570.175	91.102	6.786
578.469	91.048	7.074
586.883	91.014	7.438
595.419	90.996	7.738
604.080	90.982	8.009
612.866	90.967	8.298
621.780	90.949	8.574
630.824	90.931	8.844
640.000	90.912	9.122
649.309	90.894	9.413
658.753	90.878	9.708
668.335	90.865	10.023
678.056	90.854	10.369
687.919	90.846	10.747
697.925	90.843	11.142
708.076	90.839	11.516
718.376	90.839	11.886
728.825	90.851	12.272
739.426	90.875	12.665
750.181	90.907	13.061
761.093	90.937	13.453
772.163	90.963	13.845
783.394	90.988	14.244
794.789	91.017	14.656
806.349	91.049	15.058
818.078	91.077	15.452
829.977	91.098	15.857
842.050	91.118	16.270
854.297	91.144	16.699
866.724	91.180	17.144
879.330	91.233	17.590
892.120	91.297	18.031
905.097	91.358	18.473
918.262	91.410	18.910
931.618	91.452	19.331
945.169	91.493	19.731
958.917	91.542	20.125
972.864	91.603	20.509
987.015	91.676	20.865
1001.371	91.755	21.192
1015.937	91.837	21.487
1030.714	91.923	21.744
1045.706	92.012	21.965
1060.916	92.102	22.151
1076.347	92.193	22.300
1092.003	92.285	22.408
1107.887	92.376	22.475
1124.001	92.464	22.507
1140.350	92.551	22.507
1156.937	92.637	22.482
1173.765	92.720	22.432
1190.838	92.802	22.358
1208.159	92.880	22.271
1225.732	92.953	22.175
1243.561	93.027	22.068
1261.649	93.106	21.953
1280.000	93.189	21.833
1298.618	93.273	21.709
1317.507	93.352	21.577
1336.670	93.419	21.442
1356.113	93.479	21.318
1375.838	93.536	21.207
1395.850	93.591	21.097
1416.153	93.646	20.989
1436.751	93.702	20.882
1457.649	93.757	20.776
1478.851	93.813	20.676
1500.362	93.869	20.582
1522.185	93.925	20.487
1544.326	93.982	20.388
1566.789	94.039	20.292
1589.578	94.098	20.192
1612.699	94.159	20.088
1636.156	94.227	19.982
1659.955	94.309	19.863
1684.099	94.411	19.726
1708.595	94.519	19.576
1733.447	94.620	19.412
1758.661	94.705	19.235
1784.241	94.778	19.043
1810.193	94.845	18.825
1836.523	94.911	18.581
1863.236	94.976	18.316
1890.338	95.041	18.027
1917.833	95.104	17.713
1945.729	95.167	17.374
1974.030	95.227	17.007
2002.743	95.284	16.617
2031.873	95.335	16.207
2061.428	95.383	15.772
2091.412	95.427	15.313
2121.832	95.464	14.835
2152.695	95.496	14.341
2184.007	95.521	13.832
2215.774	95.541	13.318
2248.003	95.559	12.810
2280.701	95.576	12.306
2313.874	95.591	11.812
2347.530	95.597	11.340
2381.676	95.588	10.894
2416.318	95.560	10.478
2451.464	95.514	10.100
2487.122	95.460	9.774
2523.298	95.410	9.505
2560.000	95.359	9.297
2597.236	95.294	9.155
2635.014	95.215	9.084
2673.341	95.132	9.094
2712.226	95.053	9.192
2751.676	94.982	9.384
2791.700	94.915	9.672
2832.306	94.851	10.061
2873.503	94.793	10.552
2915.299	94.743	11.148
2957.703	94.700	11.848
3000.724	94.668	12.656
3044.370	94.643	13.570
3088.652	94.627	14.585
3133.577	94.625	15.686
3179.156	94.653	16.855
3225.398	94.717	18.077
3272.312	94.818	19.333
3319.909	94.958	20.581
3368.198	95.140	21.768
3417.190	95.368	22.841
3466.894	95.630	23.745
3517.321	95.904	24.433
3568.482	96.178	24.884
3620.387	96.447	25.107
3673.046	96.706	25.140
3726.472	96.951	25.060
3780.675	97.189	24.952
3835.666	97.438	24.877
3891.457	97.726	24.823
3948.060	98.060	24.690
4005.486	98.426	24.318
4063.747	98.801	23.566
4122.855	99.156	22.351
4182.824	99.469	20.646
4243.664	99.722	18.458
4305.390	99.905	15.821
4368.013	100.005	12.793
4431.547	100.003	9.476
4496.005	99.892	6.060
4561.401	99.669	2.817
4627.749	99.324	0.055
4695.061	98.868	-1.938
4763.352	98.343	-2.955
4832.637	97.799	-2.898
4902.929	97.275	-1.778
4974.244	96.818	0.313
5046.596	96.482	3.202
5120.000	96.308	6.668
5194.472	96.312	10.469
5270.027	96.487	14.344
5346.682	96.829	18.000
5424.451	97.338	21.117
5503.352	97.998	23.365
5583.399	98.767	24.428
5664.612	99.571	24.032
5747.006	100.329	22.007
5830.598	100.972	18.373
5915.406	101.428	13.447
6001.447	101.640	7.842
6088.740	101.587	2.317
6177.303	101.293	-2.468
6267.154	100.833	-6.125
6358.312	100.299	-8.556
6450.796	99.760	-9.860
6544.625	99.262	-10.222
6639.818	98.830	-9.837
