* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 17.09.2021 17:07:59
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CX 200 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	103.126	-121.086
20.586	103.132	-121.497
20.885	103.146	-122.281
21.189	103.160	-123.114
21.497	103.171	-123.947
21.810	103.174	-124.794
22.127	103.168	-125.665
22.449	103.153	-126.564
22.776	103.136	-127.485
23.107	103.122	-128.423
23.443	103.115	-129.376
23.784	103.113	-130.342
24.130	103.108	-131.315
24.481	103.096	-132.291
24.837	103.080	-133.262
25.198	103.064	-134.223
25.565	103.054	-135.172
25.937	103.049	-136.111
26.314	103.045	-137.040
26.697	103.037	-137.962
27.085	103.020	-138.873
27.479	102.994	-139.769
27.879	102.966	-140.650
28.284	102.944	-141.519
28.696	102.927	-142.383
29.113	102.909	-143.246
29.537	102.878	-144.113
29.966	102.837	-144.984
30.402	102.797	-145.861
30.844	102.767	-146.745
31.293	102.741	-147.634
31.748	102.712	-148.527
32.210	102.681	-149.423
32.678	102.654	-150.323
33.154	102.629	-151.228
33.636	102.600	-152.133
34.125	102.567	-153.027
34.621	102.535	-153.904
35.125	102.510	-154.763
35.636	102.483	-155.612
36.154	102.449	-156.455
36.680	102.413	-157.287
37.214	102.383	-158.110
37.755	102.351	-158.932
38.304	102.312	-159.759
38.861	102.271	-160.590
39.427	102.232	-161.419
40.000	102.193	-162.250
40.582	102.147	-163.086
41.172	102.099	-163.919
41.771	102.061	-164.740
42.379	102.039	-165.554
42.995	102.015	-166.373
43.620	101.976	-167.185
44.255	101.926	-167.968
44.898	101.881	-168.725
45.552	101.852	-169.474
46.214	101.833	-170.217
46.886	101.808	-170.957
47.568	101.763	-171.714
48.260	101.694	-172.458
48.962	101.619	-173.118
49.674	101.570	-173.730
50.397	101.547	-174.439
51.130	101.520	-175.277
51.874	101.466	-176.119
52.628	101.393	-176.894
53.394	101.321	-177.644
54.170	101.263	-178.384
54.958	101.222	-179.097
55.758	101.190	-179.787
56.569	101.158	179.531
57.391	101.121	178.857
58.226	101.071	178.192
59.073	101.009	177.529
59.932	100.940	176.871
60.804	100.869	176.220
61.688	100.799	175.578
62.586	100.736	174.938
63.496	100.683	174.293
64.420	100.636	173.648
65.357	100.589	173.021
66.307	100.541	172.417
67.272	100.494	171.826
68.250	100.446	171.237
69.243	100.396	170.649
70.250	100.345	170.065
71.272	100.293	169.481
72.309	100.239	168.898
73.360	100.182	168.328
74.427	100.121	167.779
75.510	100.057	167.246
76.608	99.984	166.720
77.723	99.904	166.197
78.853	99.824	165.677
80.000	99.748	165.158
81.164	99.668	164.646
82.344	99.581	164.146
83.542	99.498	163.656
84.757	99.423	163.171
85.990	99.354	162.696
87.241	99.286	162.232
88.510	99.219	161.781
89.797	99.152	161.343
91.103	99.086	160.908
92.428	99.017	160.480
93.773	98.945	160.065
95.137	98.871	159.657
96.520	98.798	159.235
97.924	98.721	158.784
99.349	98.639	158.360
100.794	98.563	158.013
102.260	98.499	157.666
103.747	98.432	157.304
105.256	98.361	156.959
106.787	98.285	156.629
108.340	98.207	156.302
109.916	98.127	155.975
111.515	98.047	155.654
113.137	97.968	155.346
114.783	97.889	155.045
116.452	97.808	154.747
118.146	97.721	154.454
119.865	97.624	154.174
121.608	97.525	153.905
123.377	97.433	153.643
125.171	97.351	153.392
126.992	97.269	153.149
128.839	97.169	152.917
