* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 17.09.2021 17:09:25
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CX 200 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	101.277	-106.162
20.586	101.298	-106.614
20.885	101.343	-107.476
21.189	101.387	-108.388
21.497	101.426	-109.300
21.810	101.456	-110.224
22.127	101.475	-111.172
22.449	101.486	-112.146
22.776	101.493	-113.139
23.107	101.504	-114.149
23.443	101.522	-115.175
23.784	101.543	-116.215
24.130	101.562	-117.265
24.481	101.574	-118.319
24.837	101.580	-119.371
25.198	101.587	-120.415
25.565	101.600	-121.451
25.937	101.618	-122.481
26.314	101.637	-123.508
26.697	101.651	-124.532
27.085	101.656	-125.548
27.479	101.651	-126.548
27.879	101.644	-127.525
28.284	101.643	-128.482
28.696	101.650	-129.426
29.113	101.655	-130.371
29.537	101.649	-131.326
29.966	101.633	-132.292
30.402	101.616	-133.264
30.844	101.607	-134.236
31.293	101.603	-135.208
31.748	101.595	-136.184
32.210	101.584	-137.168
32.678	101.575	-138.159
33.154	101.567	-139.151
33.636	101.553	-140.136
34.125	101.536	-141.112
34.621	101.522	-142.080
35.125	101.513	-143.041
35.636	101.502	-143.995
36.154	101.484	-144.940
36.680	101.466	-145.880
37.214	101.453	-146.813
37.755	101.438	-147.739
38.304	101.418	-148.657
38.861	101.398	-149.572
39.427	101.381	-150.490
40.000	101.361	-151.407
40.582	101.336	-152.320
41.172	101.308	-153.235
41.771	101.289	-154.160
42.379	101.278	-155.085
42.995	101.262	-155.985
43.620	101.234	-156.862
44.255	101.198	-157.739
44.898	101.166	-158.616
45.552	101.149	-159.485
46.214	101.145	-160.351
46.886	101.135	-161.206
47.568	101.112	-162.022
48.260	101.087	-162.855
48.962	101.061	-163.819
49.674	101.021	-164.854
50.397	100.969	-165.745
51.130	100.925	-166.446
51.874	100.892	-167.125
52.628	100.847	-167.883
53.394	100.791	-168.667
54.170	100.746	-169.440
54.958	100.716	-170.217
55.758	100.692	-170.995
56.569	100.667	-171.773
57.391	100.637	-172.558
58.226	100.597	-173.339
59.073	100.546	-174.107
59.932	100.491	-174.872
60.804	100.435	-175.627
61.688	100.379	-176.364
62.586	100.328	-177.092
63.496	100.285	-177.812
64.420	100.248	-178.526
65.357	100.211	-179.231
66.307	100.173	-179.924
67.272	100.135	179.381
68.250	100.096	178.687
69.243	100.056	178.003
70.250	100.016	177.323
71.272	99.974	176.656
72.309	99.931	176.003
73.360	99.885	175.359
74.427	99.836	174.724
75.510	99.781	174.099
76.608	99.718	173.475
77.723	99.647	172.852
78.853	99.576	172.233
80.000	99.508	171.630
81.164	99.438	171.038
82.344	99.359	170.452
83.542	99.283	169.878
84.757	99.215	169.311
85.990	99.154	168.746
87.241	99.095	168.182
88.510	99.036	167.627
89.797	98.977	167.083
91.103	98.916	166.559
92.428	98.853	166.059
93.773	98.790	165.567
95.137	98.725	165.063
96.520	98.659	164.533
97.924	98.589	163.986
99.349	98.514	163.461
100.794	98.442	163.031
102.260	98.382	162.631
103.747	98.322	162.205
105.256	98.255	161.780
106.787	98.185	161.359
108.340	98.113	160.941
109.916	98.040	160.524
111.515	97.967	160.115
113.137	97.894	159.721
114.783	97.819	159.337
116.452	97.743	158.959
118.146	97.660	158.587
119.865	97.568	158.225
121.608	97.473	157.874
123.377	97.388	157.531
125.171	97.312	157.197
126.992	97.235	156.868
128.839	97.140	156.546
130.713	97.025	156.235
132.615	96.910	155.939
134.543	96.808	155.654
136.500	96.717	155.383
138.486	96.632	155.123
140.500	96.549	154.862
142.544	96.467	154.600
144.617	96.386	154.362
146.721	96.309	154.166
148.855	96.239	153.984
151.020	96.173	153.751
153.217	96.113	153.508
155.445	96.068	153.293
157.706	96.023	153.098
160.000	95.956	152.921
162.327	95.875	152.758
164.688	95.788	152.602
167.084	95.699	152.450
169.514	95.599	152.307
171.980	95.480	152.179
174.481	95.351	152.061
177.019	95.225	151.951
179.594	95.113	151.846
182.206	95.015	151.747
184.856	94.924	151.661
187.545	94.835	151.590
190.273	94.747	151.527
193.041	94.659	151.470
195.849	94.570	151.421
198.697	94.480	151.382
201.587	94.391	151.358
204.520	94.304	151.343
207.494	94.217	151.333
210.512	94.129	151.329
213.574	94.042	151.344
216.681	93.955	151.377
219.833	93.868	151.401
223.030	93.778	151.426
226.274	93.687	151.467
229.565	93.597	151.522
232.905	93.508	151.587
236.292	93.421	151.660
239.729	93.333	151.744
243.216	93.245	151.821
246.754	93.162	151.865
250.343	93.077	151.940
253.984	92.986	152.115
257.678	92.895	152.298
261.426	92.807	152.455
265.229	92.720	152.608
269.087	92.633	152.769
273.001	92.545	152.945
276.972	92.459	153.135
281.000	92.374	153.336
285.088	92.291	153.545
289.234	92.209	153.759
293.441	92.126	153.973
297.710	92.040	154.178
302.040	91.956	154.396
306.433	91.875	154.639
310.890	91.793	154.894
315.412	91.710	155.154
320.000	91.627	155.419
