* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 04.09.2021 17:30:41
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CX 3.00 EQ L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	95.304	-88.375
20.586	95.345	-88.811
20.885	95.430	-89.643
21.189	95.518	-90.530
21.497	95.598	-91.418
21.810	95.671	-92.316
22.127	95.733	-93.231
22.449	95.787	-94.160
22.776	95.837	-95.089
23.107	95.891	-96.013
23.443	95.952	-96.928
23.784	96.017	-97.839
24.130	96.079	-98.749
24.481	96.134	-99.663
24.837	96.181	-100.577
25.198	96.226	-101.490
25.565	96.273	-102.396
25.937	96.321	-103.297
26.314	96.369	-104.200
26.697	96.410	-105.109
27.085	96.440	-106.028
27.479	96.459	-106.953
27.879	96.476	-107.877
28.284	96.499	-108.801
28.696	96.531	-109.732
29.113	96.564	-110.685
29.537	96.588	-111.668
29.966	96.602	-112.677
30.402	96.618	-113.694
30.844	96.644	-114.702
31.293	96.677	-115.694
31.748	96.708	-116.676
32.210	96.737	-117.653
32.678	96.765	-118.605
33.154	96.791	-119.495
33.636	96.815	-120.294
34.125	96.844	-121.023
34.621	96.890	-121.745
35.125	96.949	-122.534
35.636	97.004	-123.416
36.154	97.041	-124.358
36.680	97.068	-125.317
37.214	97.095	-126.277
37.755	97.118	-127.248
38.304	97.133	-128.235
38.861	97.146	-129.225
39.427	97.162	-130.206
40.000	97.179	-131.176
40.582	97.193	-132.144
41.172	97.207	-133.114
41.771	97.230	-134.080
42.379	97.263	-135.030
42.995	97.291	-135.953
43.620	97.306	-136.844
44.255	97.310	-137.717
44.898	97.319	-138.599
45.552	97.339	-139.483
46.214	97.367	-140.345
46.886	97.391	-141.201
47.568	97.395	-142.081
48.260	97.376	-142.916
48.962	97.364	-143.640
49.674	97.387	-144.385
50.397	97.429	-145.330
51.130	97.447	-146.398
51.874	97.431	-147.378
52.628	97.402	-148.247
53.394	97.377	-149.110
54.170	97.367	-149.992
54.958	97.373	-150.856
55.758	97.388	-151.687
56.569	97.407	-152.488
57.391	97.428	-153.286
58.226	97.440	-154.111
59.073	97.436	-154.958
59.932	97.421	-155.805
60.804	97.400	-156.640
61.688	97.378	-157.473
62.586	97.361	-158.320
63.496	97.353	-159.175
64.420	97.354	-160.024
65.357	97.357	-160.862
66.307	97.361	-161.678
67.272	97.365	-162.483
68.250	97.365	-163.298
69.243	97.355	-164.084
70.250	97.342	-164.818
71.272	97.332	-165.551
72.309	97.324	-166.314
73.360	97.316	-167.103
74.427	97.306	-167.925
75.510	97.286	-168.765
76.608	97.253	-169.579
77.723	97.210	-170.357
78.853	97.167	-171.103
80.000	97.131	-171.838
81.164	97.092	-172.587
82.344	97.043	-173.326
83.542	96.998	-174.051
84.757	96.963	-174.779
85.990	96.930	-175.534
87.241	96.889	-176.273
88.510	96.846	-176.926
89.797	96.813	-177.558
91.103	96.782	-178.257
92.428	96.738	-178.976
93.773	96.684	-179.609
95.137	96.645	179.836
96.520	96.625	179.129
97.924	96.588	178.266
99.349	96.532	177.488
100.794	96.486	176.826
102.260	96.448	176.139
103.747	96.402	175.435
105.256	96.347	174.764
106.787	96.287	174.129
108.340	96.227	173.497
109.916	96.161	172.862
111.515	96.094	172.242
113.137	96.024	171.631
114.783	95.955	171.036
116.452	95.884	170.449
118.146	95.807	169.866
119.865	95.716	169.291
121.608	95.617	168.725
123.377	95.524	168.163
125.171	95.439	167.602
126.992	95.352	167.050
128.839	95.249	166.517
130.713	95.125	165.994
132.615	94.993	165.482
134.543	94.864	164.981
136.500	94.738	164.495
138.486	94.616	164.034
140.500	94.495	163.608
142.544	94.366	163.228
144.617	94.220	162.905
146.721	94.055	162.638
148.855	93.877	162.469
151.020	93.708	162.470
153.217	93.552	162.676
155.445	93.396	163.240
157.706	93.237	164.325
160.000	93.123	166.009
162.327	93.153	168.064
164.688	93.378	169.740
167.084	93.707	170.162
169.514	93.974	169.171
171.980	94.078	167.408
174.481	94.030	165.615
177.019	93.895	164.182
179.594	93.736	163.149
182.206	93.579	162.416
184.856	93.427	161.885
187.545	93.285	161.477
190.273	93.151	161.135
193.041	93.017	160.861
195.849	92.878	160.683
198.697	92.739	160.605
201.587	92.604	160.589
204.520	92.476	160.600
207.494	92.353	160.632
210.512	92.229	160.685
213.574	92.102	160.776
216.681	91.975	160.927
219.833	91.850	161.138
223.030	91.729	161.408
226.274	91.612	161.739
229.565	91.501	162.120
232.905	91.396	162.534
236.292	91.298	162.980
239.729	91.206	163.459
243.216	91.122	163.971
246.754	91.050	164.530
250.343	90.983	165.083
253.984	90.908	165.588
257.678	90.839	166.113
261.426	90.783	166.670
