* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 04.09.2021 17:29:55
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CX 3.00 EQ R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	99.563	-108.798
20.586	99.583	-109.178
20.885	99.625	-109.907
21.189	99.668	-110.691
21.497	99.705	-111.484
21.810	99.734	-112.295
22.127	99.752	-113.131
22.449	99.762	-113.994
22.776	99.769	-114.876
23.107	99.779	-115.775
23.443	99.796	-116.687
23.784	99.819	-117.610
24.130	99.839	-118.544
24.481	99.853	-119.484
24.837	99.863	-120.426
25.198	99.873	-121.365
25.565	99.888	-122.296
25.937	99.908	-123.218
26.314	99.929	-124.128
26.697	99.945	-125.027
27.085	99.954	-125.911
27.479	99.954	-126.782
27.879	99.954	-127.640
28.284	99.959	-128.488
28.696	99.970	-129.333
29.113	99.979	-130.180
29.537	99.977	-131.033
29.966	99.964	-131.892
30.402	99.952	-132.759
30.844	99.949	-133.632
31.293	99.952	-134.513
31.748	99.950	-135.403
32.210	99.946	-136.303
32.678	99.945	-137.212
33.154	99.946	-138.122
33.636	99.942	-139.027
34.125	99.935	-139.922
34.621	99.931	-140.807
35.125	99.933	-141.683
35.636	99.933	-142.549
36.154	99.926	-143.405
36.680	99.918	-144.252
37.214	99.916	-145.095
37.755	99.911	-145.934
38.304	99.900	-146.768
38.861	99.889	-147.600
39.427	99.881	-148.439
40.000	99.873	-149.293
40.582	99.857	-150.161
41.172	99.838	-151.031
41.771	99.828	-151.890
42.379	99.832	-152.739
42.995	99.835	-153.585
43.620	99.825	-154.429
44.255	99.804	-155.259
44.898	99.787	-156.073
45.552	99.786	-156.878
46.214	99.794	-157.675
46.886	99.796	-158.465
47.568	99.778	-159.264
48.260	99.738	-160.046
48.962	99.696	-160.760
49.674	99.678	-161.454
50.397	99.684	-162.261
51.130	99.681	-163.192
51.874	99.651	-164.109
52.628	99.603	-164.949
53.394	99.557	-165.763
54.170	99.527	-166.576
54.958	99.515	-167.375
55.758	99.510	-168.165
56.569	99.502	-168.945
57.391	99.489	-169.709
58.226	99.464	-170.465
59.073	99.428	-171.219
59.932	99.386	-171.975
60.804	99.342	-172.737
61.688	99.299	-173.502
62.586	99.260	-174.264
63.496	99.230	-175.010
64.420	99.208	-175.741
65.357	99.188	-176.465
66.307	99.167	-177.189
67.272	99.144	-177.915
68.250	99.118	-178.642
69.243	99.090	-179.370
70.250	99.061	179.901
71.272	99.031	179.173
72.309	98.999	178.450
73.360	98.966	177.738
74.427	98.931	177.033
75.510	98.888	176.336
76.608	98.836	175.645
77.723	98.773	174.959
78.853	98.710	174.281
80.000	98.651	173.607
81.164	98.588	172.931
82.344	98.518	172.263
83.542	98.452	171.603
84.757	98.395	170.945
85.990	98.342	170.284
87.241	98.289	169.625
88.510	98.233	168.973
89.797	98.176	168.334
91.103	98.117	167.710
92.428	98.058	167.095
93.773	97.998	166.471
95.137	97.931	165.832
96.520	97.859	165.214
97.924	97.787	164.605
99.349	97.713	164.016
100.794	97.646	163.478
102.260	97.588	162.916
103.747	97.526	162.324
105.256	97.458	161.738
106.787	97.383	161.168
108.340	97.304	160.611
109.916	97.223	160.053
111.515	97.137	159.503
113.137	97.047	158.978
114.783	96.956	158.471
116.452	96.863	157.971
118.146	96.762	157.477
119.865	96.650	157.001
121.608	96.533	156.544
123.377	96.423	156.107
125.171	96.319	155.703
126.992	96.214	155.333
128.839	96.095	154.991
130.713	95.960	154.660
132.615	95.826	154.320
134.543	95.703	153.958
136.500	95.588	153.576
138.486	95.475	153.182
140.500	95.359	152.790
142.544	95.233	152.418
144.617	95.096	152.069
146.721	94.949	151.740
148.855	94.795	151.456
151.020	94.651	151.270
153.217	94.523	151.175
155.445	94.395	151.199
157.706	94.245	151.396
160.000	94.063	151.820
162.327	93.872	152.578
