* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 31.08.2021 20:00:23
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CX 3.00 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	82.253	-82.969
20.586	82.334	-83.543
20.885	82.502	-84.600
21.189	82.659	-85.615
21.497	82.802	-86.543
21.810	82.940	-87.431
22.127	83.076	-88.306
22.449	83.212	-89.174
22.776	83.345	-90.029
23.107	83.474	-90.875
23.443	83.600	-91.713
23.784	83.723	-92.546
24.130	83.843	-93.376
24.481	83.958	-94.209
24.837	84.069	-95.050
25.198	84.174	-95.901
25.565	84.274	-96.762
25.937	84.370	-97.631
26.314	84.461	-98.501
26.697	84.547	-99.364
27.085	84.627	-100.218
27.479	84.706	-101.060
27.879	84.783	-101.898
28.284	84.863	-102.739
28.696	84.945	-103.596
29.113	85.030	-104.477
29.537	85.117	-105.383
29.966	85.202	-106.311
30.402	85.287	-107.247
30.844	85.371	-108.174
31.293	85.452	-109.074
31.748	85.525	-109.938
32.210	85.592	-110.767
32.678	85.660	-111.581
33.154	85.732	-112.401
33.636	85.808	-113.247
34.125	85.885	-114.125
34.621	85.958	-115.024
35.125	86.026	-115.925
35.636	86.091	-116.813
36.154	86.158	-117.682
36.680	86.230	-118.541
37.214	86.308	-119.406
37.755	86.386	-120.306
38.304	86.458	-121.265
38.861	86.517	-122.292
39.427	86.559	-123.364
40.000	86.585	-124.421
40.582	86.599	-125.388
41.172	86.612	-126.209
41.771	86.636	-126.883
42.379	86.680	-127.468
42.995	86.744	-128.061
43.620	86.817	-128.744
44.255	86.886	-129.542
44.898	86.941	-130.405
45.552	86.986	-131.245
46.214	87.034	-132.015
46.886	87.099	-132.763
47.568	87.179	-133.603
48.260	87.248	-134.602
48.962	87.275	-135.694
49.674	87.260	-136.739
50.397	87.234	-137.648
51.130	87.221	-138.448
51.874	87.223	-139.194
52.628	87.228	-139.880
53.394	87.236	-140.473
54.170	87.263	-140.996
54.958	87.318	-141.545
55.758	87.392	-142.213
56.569	87.465	-143.037
57.391	87.517	-143.995
58.226	87.540	-145.018
59.073	87.538	-145.993
59.932	87.522	-146.816
60.804	87.507	-147.453
61.688	87.506	-147.959
62.586	87.528	-148.427
63.496	87.575	-148.959
64.420	87.630	-149.623
65.357	87.673	-150.418
66.307	87.694	-151.278
67.272	87.696	-152.122
68.250	87.685	-152.901
69.243	87.666	-153.613
70.250	87.645	-154.277
71.272	87.626	-154.910
72.309	87.612	-155.523
73.360	87.607	-156.144
74.427	87.610	-156.790
75.510	87.612	-157.463
76.608	87.611	-158.154
77.723	87.608	-158.871
78.853	87.606	-159.623
80.000	87.603	-160.415
81.164	87.602	-161.250
82.344	87.600	-162.127
83.542	87.591	-163.017
84.757	87.574	-163.866
85.990	87.549	-164.627
87.241	87.519	-165.277
88.510	87.487	-165.832
89.797	87.460	-166.327
91.103	87.442	-166.773
92.428	87.431	-167.169
93.773	87.425	-167.550
95.137	87.420	-167.980
96.520	87.405	-168.475
97.924	87.376	-168.976
99.349	87.350	-169.489
100.794	87.332	-170.124
102.260	87.310	-170.850
103.747	87.284	-171.521
105.256	87.260	-172.118
106.787	87.230	-172.689
108.340	87.187	-173.258
109.916	87.137	-173.825
111.515	87.093	-174.349
113.137	87.068	-174.807
114.783	87.059	-175.249
116.452	87.050	-175.689
118.146	87.034	-176.121
119.865	87.006	-176.572
121.608	86.967	-177.038
123.377	86.927	-177.474
125.171	86.899	-177.866
126.992	86.883	-178.271
128.839	86.868	-178.742
130.713	86.840	-179.278
132.615	86.801	-179.832
