* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 31.08.2021 20:03:03
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CX 3.00 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	88.843	-122.786
20.586	88.895	-123.292
20.885	89.002	-124.218
21.189	89.099	-125.101
21.497	89.185	-125.896
21.810	89.266	-126.646
22.127	89.345	-127.376
22.449	89.424	-128.093
22.776	89.501	-128.793
23.107	89.574	-129.482
23.443	89.645	-130.165
23.784	89.713	-130.843
24.130	89.778	-131.521
24.481	89.837	-132.200
24.837	89.892	-132.881
25.198	89.941	-133.567
25.565	89.986	-134.257
25.937	90.028	-134.952
26.314	90.066	-135.651
26.697	90.100	-136.354
27.085	90.129	-137.059
27.479	90.155	-137.767
27.879	90.179	-138.476
28.284	90.201	-139.186
28.696	90.223	-139.899
29.113	90.249	-140.614
29.537	90.277	-141.332
29.966	90.308	-142.054
30.402	90.342	-142.780
30.844	90.380	-143.510
31.293	90.418	-144.243
31.748	90.450	-144.978
32.210	90.472	-145.713
32.678	90.489	-146.447
33.154	90.506	-147.182
33.636	90.523	-147.916
34.125	90.541	-148.650
34.621	90.557	-149.384
35.125	90.573	-150.117
35.636	90.586	-150.849
36.154	90.601	-151.578
36.680	90.618	-152.304
37.214	90.636	-153.027
37.755	90.651	-153.748
38.304	90.658	-154.466
38.861	90.659	-155.184
39.427	90.655	-155.900
40.000	90.653	-156.613
40.582	90.654	-157.323
41.172	90.660	-158.030
41.771	90.669	-158.733
42.379	90.677	-159.433
42.995	90.683	-160.129
43.620	90.684	-160.820
44.255	90.680	-161.506
44.898	90.673	-162.189
45.552	90.666	-162.870
46.214	90.661	-163.548
46.886	90.659	-164.214
47.568	90.658	-164.848
48.260	90.653	-165.436
48.962	90.639	-165.993
49.674	90.622	-166.572
50.397	90.612	-167.229
51.130	90.608	-167.969
51.874	90.603	-168.743
52.628	90.589	-169.495
53.394	90.569	-170.204
54.170	90.549	-170.884
54.958	90.533	-171.550
55.758	90.520	-172.210
56.569	90.503	-172.861
57.391	90.479	-173.506
58.226	90.448	-174.146
59.073	90.417	-174.779
59.932	90.391	-175.404
60.804	90.364	-176.019
61.688	90.336	-176.628
62.586	90.309	-177.231
63.496	90.287	-177.828
64.420	90.267	-178.421
65.357	90.244	-179.020
66.307	90.214	-179.625
67.272	90.181	179.777
68.250	90.146	179.195
69.243	90.106	178.617
70.250	90.064	178.030
71.272	90.020	177.437
72.309	89.974	176.860
73.360	89.931	176.313
74.427	89.895	175.786
75.510	89.860	175.263
76.608	89.821	174.737
77.723	89.779	174.208
78.853	89.732	173.679
80.000	89.681	173.155
81.164	89.631	172.641
82.344	89.583	172.136
83.542	89.536	171.632
84.757	89.489	171.128
85.990	89.439	170.632
87.241	89.382	170.150
88.510	89.319	169.681
89.797	89.255	169.220
91.103	89.199	168.763
92.428	89.150	168.302
93.773	89.100	167.841
95.137	89.050	167.386
96.520	88.996	166.921
97.924	88.929	166.448
99.349	88.848	166.041
100.794	88.774	165.717
102.260	88.721	165.374
103.747	88.677	164.973
105.256	88.630	164.573
106.787	88.577	164.194
108.340	88.514	163.801
109.916	88.442	163.400
111.515	88.374	163.031
113.137	88.318	162.666
114.783	88.262	162.254
116.452	88.193	161.829
118.146	88.114	161.448
119.865	88.031	161.103
121.608	87.947	160.778
123.377	87.867	160.485
125.171	87.792	160.190
126.992	87.708	159.885
128.839	87.613	159.609
130.713	87.512	159.357
132.615	87.411	159.125
134.543	87.317	158.914
136.500	87.222	158.696
138.486	87.108	158.517
140.500	86.982	158.451
142.544	86.864	158.480
144.617	86.752	158.574
146.721	86.633	158.789
148.855	86.523	159.229
151.020	86.463	159.833
153.217	86.461	160.372
155.445	86.488	160.741
157.706	86.516	160.945
160.000	86.530	161.036
162.327	86.532	161.110
164.688	86.539	161.212
167.084	86.555	161.291
169.514	86.565	161.281
171.980	86.559	161.147
174.481	86.538	160.896
177.019	86.507	160.538
179.594	86.475	160.090
182.206	86.460	159.588
184.856	86.461	159.027
187.545	86.452	158.384
190.273	86.411	157.706
193.041	86.346	157.072
195.849	86.263	156.510
198.697	86.160	156.050
201.587	86.049	155.697
204.520	85.942	155.423
207.494	85.841	155.234
210.512	85.743	155.126
213.574	85.649	155.075
216.681	85.560	155.059
219.833	85.474	155.052
223.030	85.395	155.029
226.274	85.325	154.968
229.565	85.254	154.860
232.905	85.176	154.724
236.292	85.089	154.600
239.729	84.994	154.545
243.216	84.903	154.573
246.754	84.821	154.647
250.343	84.738	154.679
253.984	84.646	154.664
257.678	84.552	154.678
261.426	84.463	154.721
265.229	84.379	154.785
269.087	84.295	154.864
273.001	84.214	154.955
276.972	84.136	155.055
281.000	84.056	155.165
285.088	83.975	155.289
289.234	83.893	155.428
293.441	83.813	155.582
297.710	83.735	155.748
302.040	83.660	155.912
306.433	83.585	156.072
310.890	83.511	156.240
315.412	83.437	156.418
320.000	83.365	156.599
324.655	83.291	156.788
329.377	83.215	156.992
334.168	83.144	157.206
