* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 2:15:58
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: E12 Ultra L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	104.650	-101.422
20.586	104.673	-101.915
20.885	104.719	-102.857
21.189	104.760	-103.853
21.497	104.790	-104.827
21.810	104.806	-105.765
22.127	104.813	-106.668
22.449	104.818	-107.540
22.776	104.832	-108.404
23.107	104.862	-109.301
23.443	104.909	-110.279
23.784	104.964	-111.363
24.130	105.011	-112.544
24.481	105.042	-113.780
24.837	105.056	-115.018
25.198	105.063	-116.213
25.565	105.075	-117.355
25.937	105.094	-118.460
26.314	105.118	-119.561
26.697	105.137	-120.673
27.085	105.143	-121.782
27.479	105.137	-122.855
27.879	105.127	-123.867
28.284	105.127	-124.825
28.696	105.141	-125.771
29.113	105.156	-126.755
29.537	105.157	-127.793
29.966	105.138	-128.855
30.402	105.111	-129.886
30.844	105.090	-130.853
31.293	105.078	-131.770
31.748	105.072	-132.688
32.210	105.068	-133.654
32.678	105.066	-134.677
33.154	105.062	-135.732
33.636	105.049	-136.785
34.125	105.032	-137.818
34.621	105.019	-138.833
35.125	105.015	-139.836
35.636	105.011	-140.829
36.154	105.004	-141.816
36.680	105.001	-142.809
37.214	105.004	-143.817
37.755	105.002	-144.834
38.304	104.989	-145.837
38.861	104.973	-146.807
39.427	104.960	-147.748
40.000	104.946	-148.682
40.582	104.923	-149.621
41.172	104.896	-150.549
41.771	104.878	-151.452
42.379	104.880	-152.365
42.995	104.882	-153.353
43.620	104.861	-154.399
44.255	104.815	-155.386
44.898	104.779	-156.258
45.552	104.775	-157.119
46.214	104.784	-158.042
46.886	104.780	-158.947
47.568	104.766	-159.807
48.260	104.740	-160.761
48.962	104.687	-161.777
49.674	104.624	-162.626
50.397	104.596	-163.315
51.130	104.597	-164.105
51.874	104.587	-165.050
52.628	104.554	-166.007
53.394	104.518	-166.945
54.170	104.492	-167.840
54.958	104.487	-168.624
55.758	104.498	-169.395
56.569	104.494	-170.213
57.391	104.461	-170.940
58.226	104.417	-171.616
59.073	104.351	-172.398
59.932	104.260	-173.179
60.804	104.178	-173.898
61.688	104.126	-174.713
62.586	104.096	-175.619
63.496	104.101	-176.573
64.420	104.116	-177.622
65.357	104.102	-178.513
66.307	104.090	-179.048
67.272	104.099	-179.544
68.250	104.081	179.816
69.243	104.027	179.192
70.250	103.959	178.512
71.272	103.876	177.828
72.309	103.829	177.224
73.360	103.833	176.311
74.427	103.809	175.043
75.510	103.717	173.986
76.608	103.613	173.418
77.723	103.529	172.970
78.853	103.442	172.470
80.000	103.360	171.910
81.164	103.269	171.261
82.344	103.180	170.688
83.542	103.123	170.089
84.757	103.088	169.453
85.990	103.056	168.750
87.241	102.999	168.086
88.510	102.941	167.452
89.797	102.865	166.707
91.103	102.785	166.147
92.428	102.757	165.478
93.773	102.701	164.561
95.137	102.630	164.064
96.520	102.626	163.677
97.924	102.643	163.038
99.349	102.633	162.267
100.794	102.579	161.680
102.260	102.520	161.389
103.747	102.458	161.060
105.256	102.368	160.641
106.787	102.258	160.112
108.340	102.157	159.539
109.916	102.082	158.757
111.515	102.009	158.007
113.137	101.959	157.426
114.783	101.920	156.925
116.452	101.866	156.425
118.146	101.780	155.995
119.865	101.685	155.603
121.608	101.588	155.135
123.377	101.496	154.648
125.171	101.418	154.191
126.992	101.342	153.728
128.839	101.246	153.282
130.713	101.131	152.874
132.615	101.021	152.484
134.543	100.926	152.097
136.500	100.839	151.727
138.486	100.755	151.384
140.500	100.669	151.057
142.544	100.586	150.663
144.617	100.496	150.235
146.721	100.398	149.887
148.855	100.313	149.697
151.020	100.262	149.470
153.217	100.231	149.087
155.445	100.207	148.697
157.706	100.176	148.365
160.000	100.121	148.078
162.327	100.044	147.761
164.688	99.961	147.434
167.084	99.875	147.087
169.514	99.775	146.766
171.980	99.656	146.458
174.481	99.525	146.165
177.019	99.397	145.883
179.594	99.279	145.610
182.206	99.177	145.354
184.856	99.082	145.108
187.545	98.988	144.876
190.273	98.893	144.647
193.041	98.800	144.430
195.849	98.707	144.231
198.697	98.611	144.051
201.587	98.516	143.886
204.520	98.426	143.725
207.494	98.335	143.576
210.512	98.241	143.445
213.574	98.148	143.309
216.681	98.058	143.174
219.833	97.968	143.056
223.030	97.869	142.952
226.274	97.769	142.854
229.565	97.678	142.763
232.905	97.590	142.669
236.292	97.498	142.574
239.729	97.404	142.485
243.216	97.308	142.400
246.754	97.207	142.296
250.343	97.108	142.224
253.984	97.016	142.216
257.678	96.923	142.199
261.426	96.825	142.171
265.229	96.728	142.169
269.087	96.632	142.175
273.001	96.536	142.184
276.972	96.440	142.207
281.000	96.344	142.241
285.088	96.248	142.280
289.234	96.152	142.337
293.441	96.056	142.410
297.710	95.959	142.485
302.040	95.862	142.562
306.433	95.766	142.648
310.890	95.669	142.747
315.412	95.571	142.860
320.000	95.475	142.984
324.655	95.378	143.119
329.377	95.283	143.268
334.168	95.190	143.430
339.028	95.098	143.600
343.959	95.008	143.779
348.962	94.918	143.962
354.038	94.821	144.148
359.188	94.722	144.342
364.412	94.626	144.549
369.713	94.532	144.769
375.090	94.439	145.002
380.546	94.347	145.246
386.081	94.255	145.504
391.697	94.163	145.783
397.395	94.069	146.085
403.175	93.976	146.361
409.039	93.885	146.633
414.989	93.794	146.934
421.025	93.703	147.256
427.149	93.612	147.593
433.362	93.522	147.941
439.665	93.433	148.313
446.060	93.349	148.732
452.548	93.276	149.124
459.131	93.204	149.468
465.809	93.113	149.842
472.584	93.012	150.250
479.458	92.922	150.678
486.432	92.851	151.122
493.507	92.791	151.572
500.686	92.727	152.033
507.968	92.652	152.519
515.357	92.573	153.021
522.853	92.504	153.534
530.458	92.450	154.062
538.174	92.396	154.593
546.002	92.330	155.115
553.943	92.255	155.678
562.001	92.180	156.286
570.175	92.105	156.896
578.469	92.030	157.507
586.883	91.955	158.121
595.419	91.878	158.742
604.080	91.808	159.406
612.866	91.743	160.113
621.780	91.678	160.823
630.824	91.613	161.539
640.000	91.550	162.269
649.309	91.487	163.017
658.753	91.425	163.784
668.335	91.365	164.573
678.056	91.309	165.379
687.919	91.253	166.199
697.925	91.198	167.035
708.076	91.152	167.892
718.376	91.111	168.769
728.825	91.075	169.664
739.426	91.050	170.579
750.181	91.033	171.514
761.093	91.019	172.458
772.163	91.003	173.419
783.394	90.985	174.409
794.789	90.972	175.427
806.349	90.967	176.441
818.078	90.960	177.446
829.977	90.948	178.473
842.050	90.936	179.514
854.297	90.931	-179.436
866.724	90.943	-178.367
879.330	90.973	-177.296
892.120	91.013	-176.222
905.097	91.051	-175.145
918.262	91.083	-174.074
931.618	91.107	-172.993
945.169	91.132	-171.911
958.917	91.160	-170.871
972.864	91.198	-169.865
987.015	91.248	-168.856
1001.371	91.306	-167.861
1015.937	91.369	-166.893
1030.714	91.434	-165.939
1045.706	91.502	-165.005
1060.916	91.574	-164.076
1076.347	91.647	-163.156
1092.003	91.718	-162.262
1107.887	91.793	-161.378
