* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 14:40:20
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ES6 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	68.981	-82.819
20.586	69.269	-83.959
20.885	69.906	-86.200
21.189	70.624	-88.826
21.497	71.345	-91.911
21.810	72.011	-95.397
22.127	72.595	-98.967
22.449	73.113	-102.192
22.776	73.615	-104.767
23.107	74.162	-106.685
23.443	74.788	-108.195
23.784	75.479	-109.612
24.130	76.194	-111.129
24.481	76.899	-112.749
24.837	77.587	-114.372
25.198	78.268	-115.916
25.565	78.955	-117.388
25.937	79.648	-118.868
26.314	80.335	-120.438
26.697	80.999	-122.128
27.085	81.629	-123.911
27.479	82.228	-125.743
27.879	82.806	-127.600
28.284	83.375	-129.489
28.696	83.934	-131.437
29.113	84.471	-133.461
29.537	84.974	-135.552
29.966	85.446	-137.673
30.402	85.903	-139.775
30.844	86.356	-141.828
31.293	86.808	-143.831
31.748	87.256	-145.815
32.210	87.701	-147.823
32.678	88.145	-149.881
33.154	88.579	-151.985
33.636	88.996	-154.111
34.125	89.397	-156.235
34.621	89.790	-158.342
35.125	90.177	-160.425
35.636	90.552	-162.475
36.154	90.915	-164.484
36.680	91.276	-166.454
37.214	91.643	-168.398
37.755	92.007	-170.335
38.304	92.362	-172.273
38.861	92.712	-174.207
39.427	93.056	-176.121
40.000	93.389	-177.987
40.582	93.711	-179.793
41.172	94.029	178.424
41.771	94.349	176.621
42.379	94.664	174.806
42.995	94.963	173.007
43.620	95.240	171.200
44.255	95.497	169.353
44.898	95.749	167.491
45.552	96.015	165.614
46.214	96.289	163.669
46.886	96.553	161.688
47.568	96.811	159.710
48.260	97.071	157.523
48.962	97.286	155.006
49.674	97.425	152.654
50.397	97.568	150.981
51.130	97.799	149.607
51.874	98.067	147.839
52.628	98.284	145.714
53.394	98.464	143.612
54.170	98.659	141.541
54.958	98.871	139.389
55.758	99.085	137.186
56.569	99.296	134.959
57.391	99.500	132.734
58.226	99.694	130.560
59.073	99.882	128.415
59.932	100.064	126.252
60.804	100.233	124.087
61.688	100.391	121.942
62.586	100.546	119.801
63.496	100.706	117.644
64.420	100.869	115.454
65.357	101.031	113.226
66.307	101.191	110.982
67.272	101.349	108.741
68.250	101.505	106.513
69.243	101.653	104.307
70.250	101.793	102.142
71.272	101.928	100.005
72.309	102.057	97.853
73.360	102.177	95.678
74.427	102.289	93.507
75.510	102.397	91.332
76.608	102.496	89.143
77.723	102.583	86.960
78.853	102.667	84.795
80.000	102.752	82.652
81.164	102.832	80.506
82.344	102.900	78.347
83.542	102.967	76.194
84.757	103.040	74.055
85.990	103.115	71.941
87.241	103.190	69.854
88.510	103.265	67.768
89.797	103.338	65.656
91.103	103.407	63.527
92.428	103.469	61.403
93.773	103.524	59.318
95.137	103.576	57.266
96.520	103.620	55.188
97.924	103.649	53.088
99.349	103.669	51.059
100.794	103.707	49.077
102.260	103.754	46.996
103.747	103.792	44.882
105.256	103.819	42.814
106.787	103.839	40.768
108.340	103.852	38.714
109.916	103.862	36.649
111.515	103.868	34.578
113.137	103.871	32.530
114.783	103.871	30.517
116.452	103.868	28.512
118.146	103.855	26.498
119.865	103.827	24.495
121.608	103.795	22.515
123.377	103.769	20.547
125.171	103.749	18.581
126.992	103.722	16.617
128.839	103.674	14.662
130.713	103.605	12.714
132.615	103.533	10.766
134.543	103.468	8.828
136.500	103.410	6.899
138.486	103.355	4.974
140.500	103.294	3.058
142.544	103.227	1.140
144.617	103.155	-0.797
146.721	103.084	-2.758
148.855	103.011	-4.732
151.020	102.932	-6.633
153.217	102.860	-8.416
155.445	102.800	-10.199
157.706	102.729	-12.017
160.000	102.631	-13.824
162.327	102.515	-15.595
164.688	102.393	-17.345
167.084	102.263	-19.090
169.514	102.120	-20.805
171.980	101.956	-22.481
174.481	101.779	-24.131
177.019	101.599	-25.757
179.594	101.427	-27.343
182.206	101.268	-28.883
184.856	101.115	-30.402
187.545	100.958	-31.909
190.273	100.796	-33.411
193.041	100.630	-34.904
195.849	100.460	-36.346
198.697	100.282	-37.719
201.587	100.095	-39.087
204.520	99.902	-40.472
207.494	99.708	-41.838
210.512	99.513	-43.168
213.574	99.316	-44.454
216.681	99.122	-45.690
219.833	98.926	-46.874
223.030	98.723	-47.997
226.274	98.516	-49.064
229.565	98.310	-50.101
232.905	98.104	-51.112
236.292	97.897	-52.091
239.729	97.687	-53.040
243.216	97.477	-53.928
246.754	97.266	-54.707
250.343	97.053	-55.460
253.984	96.839	-56.302
257.678	96.626	-57.103
261.426	96.414	-57.803
265.229	96.200	-58.431
269.087	95.983	-59.001
