* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 14:42:29
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ES6 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	48.281	-90.987
20.586	48.765	-92.280
20.885	49.756	-94.913
21.189	50.766	-98.157
21.497	51.767	-101.843
21.810	52.750	-105.821
22.127	53.704	-109.966
22.449	54.609	-114.209
22.776	55.434	-118.514
23.107	56.136	-122.779
23.443	56.674	-126.670
23.784	57.039	-129.540
24.130	57.298	-130.657
24.481	57.618	-129.741
24.837	58.198	-127.425
25.198	59.095	-125.124
25.565	60.156	-124.247
25.937	61.159	-125.366
26.314	61.956	-128.026
26.697	62.505	-131.213
27.085	62.853	-133.992
27.479	63.104	-135.924
27.879	63.365	-137.131
28.284	63.694	-138.063
28.696	64.084	-139.131
29.113	64.497	-140.473
29.537	64.917	-142.033
29.966	65.353	-143.772
30.402	65.814	-145.740
30.844	66.281	-147.942
31.293	66.725	-150.225
31.748	67.139	-152.336
32.210	67.549	-154.130
32.678	67.979	-155.671
33.154	68.417	-157.105
33.636	68.836	-158.496
34.125	69.226	-159.798
34.621	69.599	-160.984
35.125	69.960	-162.122
35.636	70.301	-163.303
36.154	70.616	-164.569
36.680	70.917	-165.946
37.214	71.213	-167.451
37.755	71.503	-169.064
38.304	71.799	-170.752
38.861	72.116	-172.543
39.427	72.445	-174.446
40.000	72.766	-176.292
40.582	73.087	-177.875
41.172	73.429	-179.194
41.771	73.786	179.660
42.379	74.143	178.712
42.995	74.487	177.874
43.620	74.775	176.919
44.255	74.968	175.953
44.898	75.130	175.162
45.552	75.313	173.964
46.214	75.419	172.001
46.886	75.449	170.053
47.568	75.628	167.679
48.260	75.830	162.361
48.962	75.492	155.562
49.674	74.626	154.318
50.397	74.554	159.889
51.130	75.712	163.248
51.874	76.716	160.116
52.628	77.177	155.866
53.394	77.526	153.716
54.170	77.917	152.208
54.958	78.228	150.714
55.758	78.468	149.531
56.569	78.682	148.396
57.391	78.879	147.020
58.226	79.041	145.204
59.073	79.156	143.332
59.932	79.330	141.630
60.804	79.542	139.443
61.688	79.679	137.444
62.586	79.904	136.169
63.496	80.173	134.187
64.420	80.273	132.257
65.357	80.442	131.261
66.307	80.671	129.239
67.272	80.728	127.151
68.250	80.912	125.956
69.243	81.149	123.637
70.250	81.208	121.927
71.272	81.442	121.386
72.309	81.667	119.773
73.360	81.722	119.096
74.427	82.011	118.939
75.510	82.249	116.771
76.608	82.388	115.291
77.723	82.801	112.486
78.853	82.807	108.219
80.000	82.854	107.532
81.164	83.076	104.927
82.344	82.949	104.074
83.542	83.158	103.890
84.757	83.097	101.475
85.990	83.035	100.867
87.241	83.127	98.967
88.510	83.091	96.934
89.797	83.176	95.298
91.103	83.288	92.891
92.428	83.338	91.020
93.773	83.510	89.659
95.137	83.662	88.152
96.520	83.787	87.280
97.924	83.897	86.590
99.349	84.026	86.035
100.794	84.167	84.259
102.260	84.128	81.774
103.747	84.059	79.852
105.256	84.087	78.113
106.787	84.154	76.331
108.340	84.216	74.729
109.916	84.277	73.288
111.515	84.329	71.852
113.137	84.395	70.455
114.783	84.459	68.886
116.452	84.494	67.489
118.146	84.531	66.149
119.865	84.537	64.710
121.608	84.543	63.240
123.377	84.569	61.676
125.171	84.610	60.116
126.992	84.638	58.621
128.839	84.639	57.189
130.713	84.611	55.771
132.615	84.591	54.397
134.543	84.585	53.039
136.500	84.586	51.705
138.486	84.588	50.276
140.500	84.588	48.792
142.544	84.589	47.423
144.617	84.570	46.243
146.721	84.493	45.227
148.855	84.393	44.329
151.020	84.388	43.121
153.217	84.456	41.246
155.445	84.516	39.451
157.706	84.536	38.053
160.000	84.507	36.819
162.327	84.456	35.567
164.688	84.406	34.315
167.084	84.345	33.132
169.514	84.265	32.004
171.980	84.167	30.862
174.481	84.058	29.721
177.019	83.948	28.617
179.594	83.846	27.539
182.206	83.757	26.539
184.856	83.677	25.616
187.545	83.590	24.688
190.273	83.496	23.771
193.041	83.396	22.882
195.849	83.277	21.999
198.697	83.140	21.142
201.587	83.033	20.379
