* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 07.09.2021 16:31:36
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 10rub EQ L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	65.218	-46.026
20.586	65.279	-46.345
20.885	65.404	-46.938
21.189	65.515	-47.519
21.497	65.612	-48.048
21.810	65.700	-48.572
22.127	65.781	-49.141
22.449	65.852	-49.771
22.776	65.913	-50.416
23.107	65.977	-50.992
23.443	66.070	-51.453
23.784	66.217	-51.895
24.130	66.420	-52.571
24.481	66.647	-53.753
24.837	66.840	-55.532
25.198	66.944	-57.673
25.565	66.939	-59.640
25.937	66.859	-60.826
26.314	66.800	-60.940
26.697	66.876	-60.286
27.085	67.126	-59.657
27.479	67.476	-59.824
27.879	67.801	-61.019
28.284	68.010	-62.824
28.696	68.079	-64.492
29.113	68.056	-65.432
29.537	68.019	-65.526
29.966	68.038	-65.096
30.402	68.134	-64.593
30.844	68.282	-64.293
31.293	68.442	-64.250
31.748	68.589	-64.406
32.210	68.721	-64.704
32.678	68.845	-65.108
33.154	68.967	-65.608
33.636	69.090	-66.258
34.125	69.208	-67.159
34.621	69.304	-68.327
35.125	69.358	-69.550
35.636	69.378	-70.488
36.154	69.421	-71.007
36.680	69.548	-71.391
37.214	69.746	-72.077
37.755	69.936	-73.187
38.304	70.071	-74.409
38.861	70.179	-75.441
39.427	70.288	-76.350
40.000	70.371	-77.283
40.582	70.396	-78.058
41.172	70.406	-78.432
41.771	70.463	-78.616
42.379	70.567	-79.004
42.995	70.672	-79.684
43.620	70.769	-80.654
44.255	70.846	-81.986
44.898	70.903	-83.413
45.552	71.010	-84.643
46.214	71.209	-85.944
46.886	71.446	-87.367
47.568	71.788	-88.483
48.260	72.338	-90.454
48.962	72.768	-95.206
49.674	72.598	-100.737
50.397	71.898	-101.792
51.130	71.484	-97.694
51.874	71.764	-93.753
52.628	72.143	-92.599
53.394	72.367	-92.386
54.170	72.573	-92.414
54.958	72.728	-93.118
55.758	72.778	-93.967
56.569	72.797	-94.561
57.391	72.826	-95.076
58.226	72.873	-95.486
59.073	72.979	-95.926
59.932	73.116	-96.852
60.804	73.193	-98.037
61.688	73.245	-98.876
62.586	73.347	-99.629
63.496	73.456	-100.641
64.420	73.534	-101.607
65.357	73.613	-102.323
66.307	73.711	-102.941
67.272	73.798	-103.478
68.250	73.902	-103.669
69.243	74.063	-103.982
70.250	74.183	-104.713
71.272	74.256	-105.345
72.309	74.319	-106.009
73.360	74.362	-106.602
74.427	74.430	-107.196
75.510	74.485	-107.973
76.608	74.524	-108.658
77.723	74.557	-109.280
78.853	74.605	-109.683
80.000	74.712	-110.130
81.164	74.819	-110.839
82.344	74.931	-111.564
83.542	75.067	-112.672
84.757	75.126	-114.112
85.990	75.115	-115.081
87.241	75.128	-115.583
88.510	75.175	-115.957
89.797	75.257	-116.275
91.103	75.372	-116.796
92.428	75.457	-117.557
93.773	75.516	-118.161
95.137	75.603	-118.761
96.520	75.701	-119.675
97.924	75.780	-120.845
99.349	75.795	-122.123
100.794	75.732	-122.568
102.260	75.781	-122.217
103.747	75.913	-122.389
105.256	75.993	-123.100
106.787	76.014	-123.850
108.340	76.031	-124.452
109.916	76.064	-125.001
111.515	76.095	-125.519
113.137	76.112	-125.990
114.783	76.116	-126.461
116.452	76.115	-126.921
118.146	76.140	-127.426
119.865	76.169	-128.155
121.608	76.177	-128.835
123.377	76.205	-129.304
125.171	76.236	-129.797
126.992	76.241	-130.209
128.839	76.229	-130.577
130.713	76.213	-130.983
132.615	76.213	-131.435
134.543	76.204	-131.801
136.500	76.192	-131.955
138.486	76.196	-132.259
140.500	76.201	-132.846
142.544	76.210	-133.403
144.617	76.220	-133.619
146.721	76.205	-133.578
148.855	76.164	-133.247
151.020	76.212	-133.090
153.217	76.272	-133.751
155.445	76.308	-134.336
157.706	76.387	-134.743
160.000	76.460	-135.156
162.327	76.483	-135.299
164.688	76.480	-135.157
167.084	76.492	-135.086
169.514	76.521	-135.214
171.980	76.518	-135.311
174.481	76.458	-135.167
177.019	76.404	-134.942
179.594	76.401	-134.760
182.206	76.440	-134.526
184.856	76.485	-134.333
187.545	76.527	-134.289
190.273	76.590	-134.218
193.041	76.683	-134.031
195.849	76.797	-133.666
198.697	76.910	-133.269
201.587	76.942	-133.109
204.520	76.930	-133.082
207.494	76.987	-133.009
210.512	77.101	-132.784
213.574	77.209	-132.528
216.681	77.318	-132.182
219.833	77.424	-131.325
223.030	77.577	-130.747
226.274	77.707	-131.684
229.565	77.787	-132.687
232.905	77.874	-133.055
236.292	77.949	-133.341
239.729	78.043	-133.545
243.216	78.156	-133.583
246.754	78.233	-133.628
250.343	78.323	-133.842
253.984	78.475	-134.252
257.678	78.621	-134.599
261.426	78.750	-134.988
265.229	78.882	-135.608
269.087	79.015	-136.208
273.001	79.129	-136.673
276.972	79.219	-137.060
281.000	79.290	-137.484
285.088	79.354	-137.984
289.234	79.447	-138.608
293.441	79.566	-139.394
297.710	79.670	-140.168
302.040	79.731	-140.672
306.433	79.761	-141.161
310.890	79.791	-141.964
315.412	79.843	-142.781
320.000	79.892	-143.395
324.655	79.914	-144.026
329.377	79.926	-144.679
334.168	79.940	-145.394
339.028	79.962	-146.131
343.959	79.987	-146.767
348.962	80.006	-147.351
354.038	80.001	-147.773
359.188	79.995	-148.134
364.412	80.013	-148.587
369.713	80.032	-149.104
375.090	80.041	-149.644
380.546	80.046	-150.187
386.081	80.045	-150.756
391.697	80.039	-151.409
397.395	80.021	-152.072
403.175	79.982	-152.522
409.039	79.943	-152.871
414.989	79.914	-153.209
421.025	79.888	-153.546
427.149	79.869	-153.911
433.362	79.852	-154.298
439.665	79.823	-154.791
446.060	79.786	-155.264
452.548	79.757	-155.681
459.131	79.728	-155.947
465.809	79.676	-156.053
472.584	79.601	-156.130
479.458	79.532	-156.269
486.432	79.486	-156.405
493.507	79.458	-156.397
500.686	79.430	-156.421
507.968	79.378	-156.635
515.357	79.314	-156.770
522.853	79.259	-156.747
530.458	79.219	-156.679
538.174	79.188	-156.576
546.002	79.140	-156.427
553.943	79.075	-156.223
562.001	79.011	-156.026
570.175	78.955	-155.826
578.469	78.902	-155.566
586.883	78.844	-155.294
595.419	78.776	-155.011
604.080	78.720	-154.657
612.866	78.680	-154.224
621.780	78.635	-153.762
630.824	78.587	-153.294
640.000	78.539	-152.843
649.309	78.492	-152.347
658.753	78.456	-151.750
668.335	78.420	-151.126
678.056	78.384	-150.489
687.919	78.347	-149.803
697.925	78.312	-149.091
708.076	78.299	-148.414
718.376	78.293	-147.704
728.825	78.290	-146.944
739.426	78.303	-146.145
750.181	78.322	-145.286
761.093	78.334	-144.389
772.163	78.348	-143.494
783.394	78.370	-142.587
794.789	78.404	-141.657
806.349	78.442	-140.703
818.078	78.476	-139.708
829.977	78.509	-138.704
842.050	78.547	-137.725
854.297	78.600	-136.679
866.724	78.672	-135.552
879.330	78.764	-134.438
892.120	78.871	-133.328
905.097	78.978	-132.237
918.262	79.078	-131.198
931.618	79.175	-130.173
945.169	79.282	-129.136
958.917	79.399	-128.116
972.864	79.525	-127.120
987.015	79.664	-126.130
1001.371	79.816	-125.173
1015.937	79.982	-124.261
1030.714	80.153	-123.395
1045.706	80.328	-122.566
1060.916	80.512	-121.758
1076.347	80.703	-120.969
1092.003	80.895	-120.198
1107.887	81.088	-119.392
1124.001	81.298	-118.535
1140.350	81.543	-117.799
1156.937	81.794	-117.310
1173.765	82.023	-116.904
1190.838	82.245	-116.470
1208.159	82.471	-116.032
1225.732	82.705	-115.612
1243.561	82.951	-115.218
1261.649	83.210	-114.850
1280.000	83.484	-114.527
1298.618	83.771	-114.262
1317.507	84.059	-114.065
1336.670	84.346	-113.941
1356.113	84.637	-113.912
1375.838	84.928	-114.017
1395.850	85.210	-114.227
1416.153	85.488	-114.420
1436.751	85.782	-114.571
1457.649	86.101	-114.836
1478.851	86.429	-115.313
1500.362	86.755	-115.996
1522.185	87.076	-116.856
1544.326	87.386	-117.878
1566.789	87.684	-119.071
1589.578	87.965	-120.414
1612.699	88.228	-121.870
1636.156	88.475	-123.422
1659.955	88.712	-125.064
1684.099	88.941	-126.769
1708.595	89.149	-128.494
1733.447	89.324	-130.210
1758.661	89.463	-131.892
1784.241	89.570	-133.522
1810.193	89.658	-135.081
1836.523	89.736	-136.564
1863.236	89.808	-137.974
1890.338	89.879	-139.332
1917.833	89.949	-140.677
1945.729	90.018	-142.032
1974.030	90.083	-143.409
2002.743	90.140	-144.822
2031.873	90.186	-146.272
2061.428	90.219	-147.736
2091.412	90.238	-149.196
2121.832	90.241	-150.632
2152.695	90.230	-152.025
2184.007	90.208	-153.371
2215.774	90.177	-154.669
2248.003	90.139	-155.918
2280.701	90.098	-157.119
2313.874	90.048	-158.252
2347.530	89.983	-159.282
2381.676	89.901	-160.178
2416.318	89.804	-160.919
2451.464	89.698	-161.499
2487.122	89.598	-161.932
2523.298	89.523	-162.242
2560.000	89.467	-162.454
2597.236	89.421	-162.598
2635.014	89.386	-162.715
2673.341	89.368	-162.840
2712.226	89.373	-162.996
2751.676	89.401	-163.213
2791.700	89.444	-163.512
2832.306	89.496	-163.907
2873.503	89.550	-164.405
2915.299	89.605	-165.003
2957.703	89.656	-165.698
3000.724	89.699	-166.473
3044.370	89.728	-167.314
3088.652	89.737	-168.207
3133.577	89.731	-169.136
3179.156	89.722	-170.107
3225.398	89.710	-171.121
3272.312	89.691	-172.168
3319.909	89.662	-173.236
3368.198	89.626	-174.315
3417.190	89.586	-175.392
3466.894	89.533	-176.441
3517.321	89.454	-177.426
3568.482	89.348	-178.316
3620.387	89.231	-179.097
3673.046	89.113	-179.778
3726.472	88.998	179.583
3780.675	88.883	178.937
3835.666	88.767	178.301
3891.457	88.654	177.722
3948.060	88.545	177.234
4005.486	88.426	176.852
4063.747	88.291	176.576
4122.855	88.135	176.397
4182.824	87.957	176.293
4243.664	87.759	176.254
4305.390	87.550	176.269
4368.013	87.335	176.335
4431.547	87.117	176.447
4496.005	86.908	176.613
4561.401	86.715	176.859
4627.749	86.526	177.214
4695.061	86.329	177.710
4763.352	86.133	178.371
4832.637	85.942	179.215
4902.929	85.751	-179.721
4974.244	85.570	-178.371
5046.596	85.428	-176.657
5120.000	85.364	-174.550
5194.472	85.413	-172.142
5270.027	85.592	-169.734
5346.682	85.889	-167.800
5424.451	86.260	-166.753
5503.352	86.633	-166.685
5583.399	86.953	-167.382
5664.612	87.195	-168.531
5747.006	87.365	-169.945
5830.598	87.487	-171.616
5915.406	87.567	-173.596
6001.447	87.572	-175.835
6088.740	87.460	-178.097
6177.303	87.206	-179.943
6267.154	86.851	179.109
6358.312	86.507	179.221
6450.796	86.254	179.880
6544.625	86.043	-179.268
