* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 07.09.2021 16:08:14
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 10rub L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	68.603	315.902
20.586	68.616	315.674
20.885	68.653	315.368
21.189	68.722	315.388
21.497	68.844	315.665
21.810	69.023	315.944
22.127	69.246	315.989
22.449	69.489	315.656
22.776	69.725	314.925
23.107	69.934	313.874
23.443	70.104	312.644
23.784	70.228	311.396
24.130	70.305	310.288
24.481	70.346	309.447
24.837	70.377	308.945
25.198	70.433	308.752
25.565	70.544	308.712
25.937	70.711	308.586
26.314	70.906	308.164
26.697	71.085	307.389
27.085	71.210	306.411
27.479	71.277	305.502
27.879	71.318	304.878
28.284	71.381	304.554
28.696	71.493	304.333
29.113	71.640	303.978
29.537	71.781	303.405
29.966	71.902	302.722
30.402	72.021	302.055
30.844	72.164	301.387
31.293	72.325	300.579
31.748	72.466	299.562
32.210	72.561	298.499
32.678	72.622	297.678
33.154	72.689	297.241
33.636	72.799	297.032
34.125	72.953	296.717
34.621	73.120	296.101
35.125	73.259	295.265
35.636	73.356	294.450
36.154	73.428	293.794
36.680	73.512	293.225
37.214	73.613	292.578
37.755	73.705	291.820
38.304	73.779	291.108
38.861	73.878	290.528
39.427	74.036	289.845
40.000	74.207	288.698
40.582	74.306	287.222
41.172	74.320	286.163
41.771	74.366	285.936
42.379	74.546	285.982
42.995	74.766	285.487
43.620	74.892	284.681
44.255	74.942	284.339
44.898	75.035	284.345
45.552	75.156	284.074
46.214	75.231	283.673
46.886	75.302	283.370
47.568	75.357	282.461
48.260	75.221	281.277
48.962	74.976	281.924
49.674	75.115	284.166
50.397	75.673	284.486
51.130	76.086	281.794
51.874	76.162	278.937
52.628	76.177	277.525
53.394	76.280	276.556
54.170	76.395	275.557
54.958	76.510	274.862
55.758	76.639	274.353
56.569	76.764	273.962
57.391	76.905	273.623
58.226	77.045	273.014
59.073	77.139	272.219
59.932	77.211	271.483
60.804	77.286	270.778
61.688	77.365	270.086
62.586	77.453	269.427
63.496	77.552	268.840
64.420	77.666	268.349
65.357	77.794	267.924
66.307	77.938	267.537
67.272	78.092	267.095
68.250	78.241	266.669
69.243	78.411	266.253
70.250	78.581	265.462
71.272	78.665	264.351
72.309	78.662	263.568
73.360	78.677	263.287
74.427	78.765	263.009
75.510	78.891	262.401
76.608	79.008	261.585
77.723	79.103	260.866
78.853	79.205	260.420
80.000	79.330	260.103
81.164	79.448	259.692
82.344	79.527	259.167
83.542	79.588	258.683
84.757	79.674	258.254
85.990	79.795	257.778
87.241	79.920	257.235
88.510	80.033	256.811
89.797	80.151	256.465
91.103	80.270	255.953
92.428	80.363	255.219
93.773	80.443	254.594
95.137	80.561	254.262
96.520	80.729	254.061
97.924	80.905	253.901
99.349	81.077	253.478
100.794	81.138	252.537
102.260	81.120	251.860
103.747	81.153	251.289
105.256	81.229	250.618
106.787	81.316	250.089
108.340	81.410	249.728
109.916	81.494	249.328
111.515	81.576	248.739
113.137	81.662	247.933
114.783	81.752	247.288
116.452	81.874	247.081
118.146	82.015	247.058
119.865	82.135	246.797
121.608	82.190	246.121
123.377	82.226	245.474
125.171	82.319	244.882
126.992	82.432	244.298
128.839	82.520	243.800
130.713	82.578	243.330
132.615	82.638	242.803
134.543	82.713	242.270
136.500	82.799	241.843
138.486	82.890	241.447
140.500	82.972	240.923
142.544	83.049	240.377
144.617	83.150	239.992
146.721	83.264	239.748
148.855	83.378	239.510
151.020	83.492	238.955
153.217	83.610	238.101
155.445	83.758	237.273
157.706	83.914	236.586
160.000	84.029	236.065
162.327	84.120	235.657
164.688	84.218	235.215
167.084	84.327	234.679
169.514	84.425	234.084
171.980	84.494	233.509
174.481	84.545	232.974
177.019	84.601	232.433
179.594	84.673	231.816
182.206	84.763	231.125
184.856	84.863	230.404
187.545	84.961	229.760
190.273	85.053	229.188
193.041	85.143	228.559
195.849	85.228	227.798
198.697	85.307	227.052
201.587	85.399	226.401
204.520	85.505	225.762
207.494	85.612	225.126
210.512	85.711	224.494
213.574	85.804	223.854
216.681	85.903	223.087
219.833	86.018	222.084
223.030	86.129	221.039
226.274	86.210	220.278
229.565	86.282	219.611
232.905	86.360	218.768
236.292	86.438	217.824
239.729	86.508	216.887
243.216	86.578	215.962
246.754	86.647	214.964
250.343	86.715	213.952
253.984	86.794	213.003
257.678	86.866	212.019
261.426	86.929	210.999
265.229	86.995	209.972
269.087	87.061	208.910
273.001	87.117	207.795
276.972	87.155	206.679
281.000	87.185	205.545
285.088	87.211	204.358
289.234	87.237	203.184
293.441	87.262	202.109
297.710	87.279	200.989
302.040	87.279	199.715
306.433	87.267	198.430
310.890	87.248	197.225
315.412	87.224	196.120
320.000	87.203	195.085
324.655	87.185	194.028
329.377	87.167	192.900
334.168	87.141	191.771
339.028	87.106	190.685
343.959	87.066	189.596
348.962	87.023	188.464
354.038	86.969	187.277
359.188	86.904	186.054
364.412	86.830	184.893
369.713	86.746	183.825
375.090	86.655	182.789
380.546	86.560	181.779
386.081	86.454	180.764
391.697	86.341	179.768
397.395	86.223	178.855
403.175	86.103	178.000
409.039	85.975	177.167
414.989	85.839	176.374
421.025	85.702	175.635
427.149	85.563	174.967
433.362	85.414	174.327
439.665	85.258	173.685
446.060	85.105	173.093
452.548	84.968	172.582
459.131	84.832	172.145
465.809	84.670	171.730
472.584	84.497	171.327
479.458	84.336	170.996
486.432	84.186	170.750
493.507	84.040	170.538
500.686	83.889	170.349
507.968	83.729	170.197
515.357	83.568	170.113
522.853	83.416	170.072
530.458	83.276	170.061
538.174	83.132	170.116
546.002	82.977	170.252
553.943	82.816	170.410
562.001	82.648	170.576
570.175	82.480	170.816
578.469	82.316	171.122
586.883	82.158	171.458
595.419	82.004	171.842
604.080	81.841	172.265
612.866	81.671	172.713
621.780	81.508	173.216
630.824	81.350	173.790
640.000	81.193	174.422
649.309	81.041	175.080
658.753	80.893	175.800
668.335	80.748	176.580
678.056	80.608	177.406
687.919	80.474	178.294
697.925	80.346	179.236
708.076	80.213	180.176
718.376	80.086	181.145
728.825	79.971	182.179
739.426	79.872	183.295
750.181	79.783	184.459
761.093	79.697	185.638
772.163	79.612	186.864
783.394	79.532	188.132
794.789	79.467	189.427
806.349	79.405	190.778
818.078	79.339	192.193
829.977	79.275	193.648
842.050	79.214	195.142
854.297	79.172	196.649
866.724	79.156	198.157
879.330	79.163	199.713
892.120	79.181	201.309
905.097	79.205	202.911
918.262	79.229	204.526
931.618	79.251	206.148
945.169	79.275	207.740
958.917	79.311	209.356
972.864	79.369	211.017
987.015	79.447	212.666
1001.371	79.540	214.277
1015.937	79.644	215.861
1030.714	79.759	217.416
1045.706	79.886	218.949
1060.916	80.028	220.448
1076.347	80.179	221.914
1092.003	80.334	223.375
1107.887	80.500	224.810
1124.001	80.682	226.234
1140.350	80.885	227.664
1156.937	81.108	228.994
1173.765	81.334	230.169
1190.838	81.558	231.272
1208.159	81.785	232.367
1225.732	82.021	233.434
1243.561	82.271	234.452
1261.649	82.542	235.409
1280.000	82.834	236.286
1298.618	83.140	237.080
1317.507	83.448	237.790
1336.670	83.759	238.398
1356.113	84.078	238.873
1375.838	84.401	239.185
1395.850	84.725	239.322
1416.153	85.041	239.315
1436.751	85.346	239.249
1457.649	85.661	239.157
1478.851	85.994	238.909
1500.362	86.329	238.417
1522.185	86.651	237.698
1544.326	86.955	236.775
1566.789	87.239	235.662
1589.578	87.499	234.396
1612.699	87.731	233.005
1636.156	87.937	231.522
1659.955	88.124	229.981
1684.099	88.296	228.414
1708.595	88.441	226.861
1733.447	88.547	225.358
1758.661	88.609	223.929
1784.241	88.633	222.602
1810.193	88.630	221.397
1836.523	88.608	220.328
1863.236	88.571	219.403
1890.338	88.524	218.630
1917.833	88.470	218.016
1945.729	88.413	217.549
1974.030	88.357	217.224
2002.743	88.304	217.035
2031.873	88.257	216.977
2061.428	88.219	217.033
2091.412	88.189	217.187
2121.832	88.170	217.434
2152.695	88.164	217.755
2184.007	88.171	218.136
2215.774	88.194	218.566
2248.003	88.235	219.033
2280.701	88.299	219.532
2313.874	88.382	220.046
2347.530	88.479	220.559
2381.676	88.583	221.062
2416.318	88.689	221.549
2451.464	88.797	222.012
2487.122	88.918	222.445
2523.298	89.064	222.837
2560.000	89.226	223.171
2597.236	89.389	223.429
2635.014	89.553	223.602
2673.341	89.724	223.688
2712.226	89.907	223.679
2751.676	90.101	223.563
2791.700	90.299	223.329
2832.306	90.496	222.981
2873.503	90.688	222.521
2915.299	90.871	221.951
2957.703	91.041	221.278
3000.724	91.194	220.531
3044.370	91.325	219.750
3088.652	91.426	218.965
3133.577	91.506	218.206
3179.156	91.579	217.497
3225.398	91.650	216.867
3272.312	91.724	216.340
3319.909	91.806	215.921
3368.198	91.909	215.591
3417.190	92.047	215.293
3466.894	92.215	214.929
3517.321	92.388	214.412
3568.482	92.554	213.717
3620.387	92.714	212.829
3673.046	92.855	211.703
3726.472	92.956	210.415
3780.675	93.014	209.141
3835.666	93.045	208.006
3891.457	93.071	207.066
3948.060	93.100	206.338
4005.486	93.127	205.815
4063.747	93.146	205.479
4122.855	93.157	205.307
4182.824	93.158	205.275
4243.664	93.155	205.364
4305.390	93.160	205.582
4368.013	93.189	205.957
4431.547	93.259	206.496
4496.005	93.405	207.145
4561.401	93.648	207.795
4627.749	93.980	208.301
4695.061	94.391	208.516
4763.352	94.884	208.304
4832.637	95.456	207.524
4902.929	96.090	205.997
4974.244	96.776	203.491
5046.596	97.493	199.743
5120.000	98.188	194.495
5194.472	98.770	187.598
5270.027	99.122	179.197
5346.682	99.154	169.867
5424.451	98.835	160.528
5503.352	98.200	152.126
5583.399	97.327	145.293
5664.612	96.306	140.226
5747.006	95.216	136.801
5830.598	94.134	134.755
5915.406	93.125	133.801
6001.447	92.207	133.684
6088.740	91.373	134.206
6177.303	90.599	135.256
6267.154	89.883	136.808
6358.312	89.256	138.887
6450.796	88.767	141.261
6544.625	88.398	143.401
6639.818	88.058	145.389
6736.397	87.749	147.658
6834.380	87.525	150.214
6933.789	87.418	152.892
7034.643	87.441	155.537
7136.964	87.602	157.992
7240.773	87.913	160.082
7346.093	88.400	161.592
7452.944	89.101	162.180
7561.350	90.033	161.268
7671.332	91.145	157.938
7782.915	92.264	150.975
7896.120	93.082	139.510
8010.971	93.250	124.446
8127.493	92.561	109.031
8245.711	91.075	96.810
8365.647	89.081	89.201
8487.328	86.912	85.573
8610.779	84.803	84.724
8736.026	82.855	85.733
8863.095	81.071	88.033
8992.011	79.434	91.265
9122.803	77.931	95.166
9255.497	76.554	99.545
9390.121	75.300	104.290
9526.704	74.162	109.348
9665.273	73.123	114.645
9805.857	72.164	120.101
9948.487	71.276	125.705
10093.191	70.466	131.440
10240.000	69.751	137.276
10388.944	69.124	143.245
10540.055	68.550	149.349
10693.363	68.007	155.543
10848.902	67.507	161.803
11006.703	67.058	168.224
11166.799	66.666	174.868
11329.224	66.350	181.657
11494.012	66.126	188.528
11661.195	65.970	195.512
11830.812	65.864	202.666
12002.895	65.831	209.995
12177.480	65.881	217.457
12354.606	66.018	225.025
12534.309	66.243	232.688
12716.624	66.558	240.366
12901.592	66.990	247.942
13089.250	67.595	255.392
13279.637	68.461	262.647
13472.794	69.723	269.657
13668.760	71.526	276.357
13867.577	73.916	282.218
14069.285	76.833	285.995
14273.928	80.016	285.172
14481.547	82.831	275.352
14692.186	84.407	253.988
14905.889	84.194	228.345
15122.700	82.440	210.546
15342.664	80.088	203.566
15565.829	78.186	203.122
15792.239	77.253	204.991
16021.942	77.235	206.372
16254.986	77.813	204.718
16491.422	78.502	196.846
16731.295	78.548	181.121
16974.656	77.301	162.561
17221.559	74.654	149.756
17472.053	71.012	146.374
17726.189	66.980	151.461
17984.021	63.087	163.675
18245.605	59.790	181.996
18510.994	57.787	204.792
18780.242	57.934	227.722
19053.408	59.902	245.088
19330.547	62.462	253.735
19611.715	64.757	253.056
19896.975	66.191	247.011
