* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 07.09.2021 16:09:49
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 10rub R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	97.054	53.909
20.586	97.063	53.638
20.885	97.083	53.110
21.189	97.104	52.528
21.497	97.120	51.929
21.810	97.127	51.315
22.127	97.125	50.679
22.449	97.115	50.018
22.776	97.102	49.336
23.107	97.093	48.633
23.443	97.092	47.911
23.784	97.095	47.171
24.130	97.097	46.414
24.481	97.093	45.645
24.837	97.084	44.869
25.198	97.075	44.093
25.565	97.072	43.324
25.937	97.075	42.564
26.314	97.080	41.813
26.697	97.082	41.069
27.085	97.078	40.328
27.479	97.066	39.592
27.879	97.052	38.864
28.284	97.043	38.151
28.696	97.040	37.454
29.113	97.036	36.769
29.537	97.022	36.086
29.966	96.999	35.397
30.402	96.979	34.697
30.844	96.967	33.985
31.293	96.960	33.265
31.748	96.947	32.538
32.210	96.932	31.806
32.678	96.919	31.070
33.154	96.909	30.328
33.636	96.896	29.582
34.125	96.879	28.831
34.621	96.864	28.081
35.125	96.855	27.338
35.636	96.843	26.607
36.154	96.826	25.889
36.680	96.811	25.180
37.214	96.803	24.473
37.755	96.793	23.766
38.304	96.778	23.060
38.861	96.762	22.361
39.427	96.750	21.667
40.000	96.737	20.961
40.582	96.716	20.236
41.172	96.689	19.507
41.771	96.670	18.790
42.379	96.664	18.083
42.995	96.658	17.368
43.620	96.639	16.638
44.255	96.610	15.904
44.898	96.586	15.181
45.552	96.581	14.477
46.214	96.592	13.773
46.886	96.602	13.048
47.568	96.591	12.339
48.260	96.571	11.686
48.962	96.562	10.988
49.674	96.556	10.146
50.397	96.528	9.297
51.130	96.484	8.644
51.874	96.445	8.125
52.628	96.405	7.555
53.394	96.358	6.918
54.170	96.322	6.269
54.958	96.304	5.606
55.758	96.294	4.927
56.569	96.284	4.245
57.391	96.272	3.559
58.226	96.251	2.876
59.073	96.220	2.205
59.932	96.185	1.532
60.804	96.146	0.857
61.688	96.103	0.198
62.586	96.064	-0.443
63.496	96.036	-1.079
64.420	96.015	-1.721
65.357	95.994	-2.376
66.307	95.971	-3.030
67.272	95.949	-3.660
68.250	95.929	-4.290
69.243	95.909	-4.929
70.250	95.888	-5.561
71.272	95.863	-6.206
72.309	95.832	-6.819
73.360	95.804	-7.393
74.427	95.777	-8.004
75.510	95.744	-8.646
76.608	95.703	-9.329
77.723	95.648	-10.043
78.853	95.587	-10.733
80.000	95.528	-11.357
81.164	95.470	-11.888
82.344	95.416	-12.394
83.542	95.365	-12.924
84.757	95.321	-13.471
85.990	95.278	-14.059
87.241	95.231	-14.677
88.510	95.183	-15.314
89.797	95.133	-15.955
91.103	95.080	-16.539
92.428	95.032	-17.068
93.773	94.981	-17.596
95.137	94.921	-18.095
96.520	94.860	-18.577
97.924	94.797	-19.094
99.349	94.735	-19.567
100.794	94.696	-20.041
102.260	94.664	-20.619
103.747	94.626	-21.208
105.256	94.584	-21.771
106.787	94.536	-22.310
108.340	94.484	-22.821
109.916	94.428	-23.352
111.515	94.366	-23.909
113.137	94.306	-24.503
114.783	94.247	-25.095
116.452	94.198	-25.554
118.146	94.168	-25.961
119.865	94.113	-26.496
121.608	93.999	-26.969
123.377	93.884	-27.265
125.171	93.802	-27.678
126.992	93.729	-28.223
128.839	93.646	-28.736
130.713	93.551	-29.184
132.615	93.453	-29.623
134.543	93.358	-30.078
136.500	93.271	-30.530
138.486	93.195	-30.974
140.500	93.125	-31.416
142.544	93.052	-31.843
144.617	92.972	-32.250
146.721	92.887	-32.655
148.855	92.800	-33.042
151.020	92.737	-33.423
153.217	92.702	-33.875
155.445	92.677	-34.331
157.706	92.638	-34.724
160.000	92.575	-35.090
162.327	92.495	-35.464
164.688	92.410	-35.830
167.084	92.321	-36.182
169.514	92.221	-36.536
171.980	92.103	-36.885
174.481	91.973	-37.224
177.019	91.847	-37.561
179.594	91.732	-37.890
182.206	91.632	-38.200
184.856	91.540	-38.497
187.545	91.449	-38.794
190.273	91.359	-39.090
193.041	91.269	-39.378
195.849	91.176	-39.656
198.697	91.078	-39.932
201.587	90.980	-40.202
204.520	90.885	-40.472
207.494	90.790	-40.730
210.512	90.693	-40.976
213.574	90.597	-41.218
216.681	90.499	-41.446
219.833	90.400	-41.659
223.030	90.299	-41.870
226.274	90.200	-42.084
229.565	90.099	-42.297
232.905	89.998	-42.489
236.292	89.897	-42.666
239.729	89.794	-42.845
243.216	89.689	-43.004
246.754	89.576	-43.117
250.343	89.465	-43.225
253.984	89.369	-43.409
257.678	89.272	-43.597
261.426	89.166	-43.746
265.229	89.059	-43.873
269.087	88.952	-43.981
273.001	88.844	-44.079
276.972	88.738	-44.174
281.000	88.630	-44.268
285.088	88.522	-44.353
289.234	88.416	-44.435
293.441	88.311	-44.515
297.710	88.202	-44.595
302.040	88.087	-44.654
306.433	87.974	-44.683
310.890	87.862	-44.707
315.412	87.751	-44.730
320.000	87.640	-44.748
324.655	87.527	-44.753
329.377	87.415	-44.748
334.168	87.303	-44.740
339.028	87.191	-44.723
343.959	87.076	-44.714
348.962	86.956	-44.719
354.038	86.841	-44.654
359.188	86.733	-44.536
364.412	86.620	-44.434
369.713	86.505	-44.344
375.090	86.388	-44.264
380.546	86.272	-44.187
386.081	86.159	-44.087
391.697	86.043	-43.953
397.395	85.924	-43.804
403.175	85.804	-43.658
409.039	85.684	-43.506
414.989	85.565	-43.327
421.025	85.446	-43.121
427.149	85.329	-42.906
433.362	85.216	-42.685
439.665	85.100	-42.463
446.060	84.983	-42.254
452.548	84.881	-42.054
459.131	84.788	-41.842
465.809	84.672	-41.618
472.584	84.540	-41.380
479.458	84.417	-41.124
486.432	84.308	-40.830
493.507	84.208	-40.489
500.686	84.104	-40.152
507.968	83.993	-39.881
515.357	83.879	-39.594
522.853	83.771	-39.262
530.458	83.676	-38.897
538.174	83.582	-38.490
546.002	83.477	-38.047
553.943	83.357	-37.627
562.001	83.229	-37.234
570.175	83.105	-36.816
578.469	82.983	-36.368
586.883	82.859	-35.900
595.419	82.734	-35.422
604.080	82.612	-34.897
612.866	82.494	-34.331
621.780	82.376	-33.764
630.824	82.256	-33.189
640.000	82.138	-32.574
649.309	82.020	-31.935
658.753	81.897	-31.315
668.335	81.772	-30.669
678.056	81.649	-29.981
687.919	81.527	-29.245
697.925	81.407	-28.467
708.076	81.291	-27.732
718.376	81.177	-27.002
728.825	81.068	-26.211
739.426	80.968	-25.351
750.181	80.873	-24.454
761.093	80.781	-23.596
772.163	80.686	-22.732
783.394	80.589	-21.802
794.789	80.501	-20.823
806.349	80.407	-19.824
818.078	80.300	-18.798
829.977	80.188	-17.722
842.050	80.080	-16.585
854.297	79.982	-15.417
866.724	79.899	-14.254
879.330	79.836	-13.079
892.120	79.783	-11.887
905.097	79.717	-10.636
918.262	79.630	-9.335
931.618	79.534	-7.994
945.169	79.439	-6.646
958.917	79.355	-5.265
972.864	79.288	-3.803
987.015	79.230	-2.294
1001.371	79.173	-0.756
1015.937	79.128	0.840
1030.714	79.091	2.500
1045.706	79.059	4.185
1060.916	79.031	5.906
1076.347	78.997	7.814
1092.003	78.976	10.043
1107.887	79.011	12.459
1124.001	79.101	14.829
1140.350	79.223	17.089
1156.937	79.378	19.269
1173.765	79.570	21.369
1190.838	79.798	23.369
1208.159	80.057	25.208
1225.732	80.343	26.818
1243.561	80.655	28.150
1261.649	80.987	29.178
1280.000	81.328	29.896
1298.618	81.663	30.327
1317.507	81.973	30.505
1336.670	82.249	30.455
1356.113	82.491	30.219
1375.838	82.700	29.869
1395.850	82.877	29.453
1416.153	83.025	28.986
1436.751	83.148	28.507
1457.649	83.245	28.069
1478.851	83.319	27.700
1500.362	83.374	27.403
1522.185	83.413	27.187
1544.326	83.443	27.060
1566.789	83.464	27.000
1589.578	83.479	27.015
1612.699	83.489	27.121
1636.156	83.500	27.318
1659.955	83.525	27.594
1684.099	83.567	27.942
1708.595	83.615	28.369
1733.447	83.660	28.867
1758.661	83.693	29.430
1784.241	83.718	30.053
1810.193	83.743	30.736
1836.523	83.774	31.479
