* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 01.09.2021 2:19:32
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: IER-Z1R L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	92.454	-100.950
20.586	92.501	-101.495
20.885	92.599	-102.520
21.189	92.695	-103.562
21.497	92.779	-104.548
21.810	92.851	-105.495
22.127	92.911	-106.422
22.449	92.962	-107.335
22.776	93.008	-108.235
23.107	93.055	-109.126
23.443	93.104	-110.012
23.784	93.153	-110.894
24.130	93.196	-111.773
24.481	93.227	-112.650
24.837	93.250	-113.527
25.198	93.270	-114.405
25.565	93.292	-115.283
25.937	93.316	-116.164
26.314	93.339	-117.047
26.697	93.357	-117.934
27.085	93.365	-118.824
27.479	93.367	-119.716
27.879	93.367	-120.610
28.284	93.374	-121.505
28.696	93.388	-122.400
29.113	93.401	-123.297
29.537	93.404	-124.195
29.966	93.398	-125.094
30.402	93.394	-125.994
30.844	93.400	-126.894
31.293	93.411	-127.793
31.748	93.417	-128.689
32.210	93.419	-129.582
32.678	93.424	-130.473
33.154	93.429	-131.363
33.636	93.429	-132.252
34.125	93.425	-133.141
34.621	93.423	-134.029
35.125	93.425	-134.916
35.636	93.424	-135.799
36.154	93.416	-136.676
36.680	93.409	-137.547
37.214	93.408	-138.412
37.755	93.407	-139.272
38.304	93.402	-140.128
38.861	93.397	-140.982
39.427	93.396	-141.833
40.000	93.394	-142.682
40.582	93.386	-143.531
41.172	93.374	-144.379
41.771	93.371	-145.225
42.379	93.379	-146.069
42.995	93.383	-146.908
43.620	93.373	-147.741
44.255	93.352	-148.566
44.898	93.335	-149.381
45.552	93.334	-150.182
46.214	93.343	-150.958
46.886	93.350	-151.699
47.568	93.347	-152.411
48.260	93.340	-153.133
48.962	93.337	-153.928
49.674	93.339	-154.827
50.397	93.336	-155.784
51.130	93.316	-156.711
51.874	93.275	-157.550
52.628	93.220	-158.312
53.394	93.166	-159.041
54.170	93.130	-159.766
54.958	93.113	-160.492
55.758	93.103	-161.217
56.569	93.093	-161.930
57.391	93.078	-162.627
58.226	93.054	-163.307
59.073	93.021	-163.970
59.932	92.986	-164.618
60.804	92.956	-165.261
61.688	92.932	-165.928
62.586	92.916	-166.645
63.496	92.907	-167.404
64.420	92.899	-168.167
65.357	92.890	-168.919
66.307	92.880	-169.676
67.272	92.864	-170.450
68.250	92.840	-171.211
69.243	92.809	-171.934
70.250	92.775	-172.612
71.272	92.741	-173.242
72.309	92.709	-173.829
73.360	92.684	-174.412
74.427	92.658	-175.028
75.510	92.623	-175.666
76.608	92.573	-176.287
77.723	92.514	-176.867
78.853	92.457	-177.414
80.000	92.409	-177.950
81.164	92.361	-178.487
82.344	92.307	-179.033
83.542	92.258	-179.599
84.757	92.218	179.818
85.990	92.182	179.226
87.241	92.147	178.624
88.510	92.110	178.021
89.797	92.071	177.430
91.103	92.031	176.845
92.428	91.991	176.266
93.773	91.949	175.701
95.137	91.906	175.159
96.520	91.865	174.651
97.924	91.830	174.137
99.349	91.794	173.540
100.794	91.739	172.904
102.260	91.668	172.367
103.747	91.599	171.931
105.256	91.537	171.510
106.787	91.478	171.073
108.340	91.417	170.626
109.916	91.353	170.191
111.515	91.290	169.785
113.137	91.230	169.400
114.783	91.175	168.997
116.452	91.116	168.559
118.146	91.046	168.146
119.865	90.968	167.768
121.608	90.889	167.372
123.377	90.812	166.981
125.171	90.741	166.632
126.992	90.669	166.324
128.839	90.584	166.040
130.713	90.484	165.750
132.615	90.382	165.442
134.543	90.289	165.137
136.500	90.205	164.869
138.486	90.132	164.628
140.500	90.063	164.380
142.544	89.997	164.108
144.617	89.930	163.801
146.721	89.860	163.462
148.855	89.785	163.141
151.020	89.719	162.919
153.217	89.680	162.752
155.445	89.659	162.565
157.706	89.626	162.370
160.000	89.565	162.179
162.327	89.487	162.008
164.688	89.404	161.861
167.084	89.319	161.724
169.514	89.223	161.593
171.980	89.109	161.475
174.481	88.985	161.373
177.019	88.864	161.281
179.594	88.755	161.204
182.206	88.663	161.145
184.856	88.579	161.099
187.545	88.498	161.055
190.273	88.415	161.022
193.041	88.330	161.018
195.849	88.248	161.055
198.697	88.169	161.112
201.587	88.091	161.140
204.520	88.008	161.155
207.494	87.924	161.198
210.512	87.842	161.263
213.574	87.760	161.343
216.681	87.679	161.441
219.833	87.600	161.556
223.030	87.525	161.684
226.274	87.452	161.810
229.565	87.378	161.943
232.905	87.302	162.095
236.292	87.225	162.284
239.729	87.151	162.490
243.216	87.083	162.680
246.754	87.017	162.843
