* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 01.09.2021 2:18:12
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: IER-Z1R R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	92.137	-98.113
20.586	92.186	-98.655
20.885	92.288	-99.675
21.189	92.387	-100.710
21.497	92.475	-101.689
21.810	92.552	-102.628
22.127	92.618	-103.547
22.449	92.675	-104.453
22.776	92.728	-105.349
23.107	92.783	-106.241
23.443	92.841	-107.133
23.784	92.899	-108.026
24.130	92.950	-108.923
24.481	92.991	-109.822
24.837	93.021	-110.721
25.198	93.048	-111.619
25.565	93.076	-112.513
25.937	93.105	-113.403
26.314	93.133	-114.286
26.697	93.156	-115.163
27.085	93.170	-116.035
27.479	93.177	-116.902
27.879	93.184	-117.768
28.284	93.197	-118.634
28.696	93.217	-119.501
29.113	93.235	-120.367
29.537	93.242	-121.228
29.966	93.239	-122.079
30.402	93.239	-122.920
30.844	93.250	-123.753
31.293	93.268	-124.586
31.748	93.284	-125.431
32.210	93.297	-126.299
32.678	93.312	-127.194
33.154	93.325	-128.112
33.636	93.330	-129.042
34.125	93.328	-129.973
34.621	93.325	-130.897
35.125	93.327	-131.812
35.636	93.328	-132.722
36.154	93.323	-133.632
36.680	93.320	-134.546
37.214	93.323	-135.463
37.755	93.326	-136.383
38.304	93.324	-137.304
38.861	93.322	-138.225
39.427	93.323	-139.144
40.000	93.320	-140.055
40.582	93.310	-140.952
41.172	93.297	-141.831
41.771	93.294	-142.691
42.379	93.304	-143.536
42.995	93.314	-144.377
43.620	93.313	-145.224
44.255	93.302	-146.082
44.898	93.297	-146.957
45.552	93.307	-147.842
46.214	93.327	-148.733
46.886	93.342	-149.630
47.568	93.340	-150.541
48.260	93.318	-151.474
48.962	93.282	-152.398
49.674	93.246	-153.250
50.397	93.219	-153.986
51.130	93.205	-154.636
51.874	93.193	-155.278
52.628	93.174	-155.967
53.394	93.152	-156.704
54.170	93.143	-157.470
54.958	93.148	-158.258
55.758	93.158	-159.068
56.569	93.161	-159.888
57.391	93.153	-160.697
58.226	93.131	-161.479
59.073	93.094	-162.232
59.932	93.051	-162.956
60.804	93.007	-163.648
61.688	92.966	-164.310
62.586	92.936	-164.955
63.496	92.921	-165.604
64.420	92.918	-166.276
65.357	92.918	-166.980
66.307	92.914	-167.717
67.272	92.903	-168.459
68.250	92.886	-169.166
69.243	92.871	-169.822
70.250	92.866	-170.472
71.272	92.867	-171.205
72.309	92.859	-172.064
73.360	92.824	-172.967
74.427	92.763	-173.761
75.510	92.693	-174.379
76.608	92.627	-174.883
77.723	92.571	-175.370
78.853	92.525	-175.894
80.000	92.486	-176.461
81.164	92.441	-177.039
82.344	92.390	-177.598
83.542	92.348	-178.159
84.757	92.317	-178.758
85.990	92.289	-179.392
87.241	92.257	179.968
88.510	92.221	179.340
89.797	92.180	178.731
