* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 14:28:19
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MH 755 L EQ
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	98.057	-149.781
20.586	98.041	-150.163
20.885	98.007	-150.896
21.189	97.975	-151.681
21.497	97.940	-152.473
21.810	97.899	-153.279
22.127	97.846	-154.109
22.449	97.786	-154.965
22.776	97.722	-155.841
23.107	97.663	-156.733
23.443	97.610	-157.640
23.784	97.562	-158.558
24.130	97.513	-159.484
24.481	97.457	-160.412
24.837	97.396	-161.334
25.198	97.336	-162.245
25.565	97.281	-163.142
25.937	97.231	-164.025
26.314	97.183	-164.895
26.697	97.131	-165.752
27.085	97.070	-166.596
27.479	97.001	-167.429
27.879	96.929	-168.247
28.284	96.860	-169.052
28.696	96.798	-169.847
29.113	96.732	-170.634
29.537	96.655	-171.421
29.966	96.568	-172.213
30.402	96.482	-173.012
30.844	96.406	-173.819
31.293	96.334	-174.632
31.748	96.259	-175.448
32.210	96.181	-176.266
32.678	96.107	-177.087
33.154	96.035	-177.905
33.636	95.960	-178.716
34.125	95.881	-179.512
34.621	95.806	179.707
35.125	95.736	178.938
35.636	95.664	178.180
36.154	95.584	177.436
36.680	95.502	176.708
37.214	95.427	175.993
37.755	95.350	175.284
38.304	95.267	174.578
38.861	95.184	173.874
39.427	95.105	173.170
40.000	95.024	172.466
40.582	94.937	171.765
41.172	94.847	171.072
41.771	94.766	170.389
42.379	94.696	169.726
42.995	94.625	169.083
43.620	94.542	168.442
44.255	94.446	167.793
44.898	94.352	167.152
45.552	94.275	166.517
46.214	94.210	165.854
46.886	94.138	165.182
47.568	94.058	164.530
48.260	93.978	163.764
48.962	93.877	162.806
49.674	93.739	161.964
50.397	93.610	161.556
51.130	93.539	161.349
51.874	93.495	160.941
52.628	93.421	160.379
53.394	93.325	159.869
54.170	93.240	159.403
54.958	93.171	158.927
55.758	93.106	158.419
56.569	93.033	157.862
57.391	92.944	157.312
58.226	92.846	156.809
59.073	92.741	156.318
59.932	92.634	155.854
60.804	92.532	155.427
61.688	92.435	154.977
62.586	92.333	154.516
63.496	92.234	154.141
64.420	92.152	153.821
65.357	92.082	153.423
66.307	92.006	152.940
67.272	91.925	152.457
68.250	91.845	152.002
69.243	91.768	151.585
70.250	91.698	151.210
71.272	91.633	150.823
72.309	91.557	150.417
73.360	91.472	150.075
74.427	91.389	149.754
75.510	91.299	149.379
76.608	91.196	149.013
77.723	91.090	148.673
78.853	90.990	148.326
80.000	90.895	147.971
81.164	90.793	147.630
82.344	90.682	147.321
83.542	90.573	147.012
84.757	90.467	146.721
85.990	90.366	146.491
87.241	90.277	146.310
88.510	90.201	146.070
89.797	90.119	145.763
91.103	90.030	145.488
92.428	89.947	145.259
93.773	89.871	145.048
95.137	89.794	144.830
96.520	89.704	144.637
97.924	89.600	144.556
99.349	89.508	144.545
100.794	89.432	144.316
102.260	89.333	143.917
103.747	89.226	143.595
105.256	89.130	143.341
106.787	89.041	143.143
108.340	88.952	143.001
109.916	88.862	142.879
111.515	88.770	142.734
113.137	88.676	142.568
114.783	88.583	142.415
116.452	88.490	142.279
118.146	88.389	142.162
119.865	88.278	142.053
121.608	88.165	141.943
123.377	88.064	141.840
125.171	87.975	141.748
126.992	87.884	141.663
128.839	87.772	141.591
130.713	87.643	141.529
132.615	87.518	141.461
134.543	87.404	141.402
136.500	87.299	141.364
138.486	87.202	141.324
140.500	87.110	141.269
142.544	87.021	141.238
144.617	86.923	141.249
146.721	86.806	141.268
148.855	86.679	141.337
151.020	86.600	141.412
153.217	86.573	141.297
155.445	86.551	141.187
157.706	86.506	141.204
160.000	86.430	141.267
162.327	86.338	141.306
164.688	86.245	141.335
167.084	86.146	141.380
169.514	86.036	141.436
171.980	85.909	141.491
174.481	85.774	141.553
177.019	85.641	141.628
179.594	85.518	141.714
182.206	85.412	141.812
184.856	85.313	141.912
187.545	85.214	142.017
190.273	85.118	142.142
193.041	85.024	142.278
195.849	84.925	142.388
198.697	84.820	142.484
201.587	84.720	142.647
204.520	84.629	142.851
207.494	84.536	143.044
210.512	84.438	143.233
213.574	84.340	143.434
216.681	84.243	143.643
219.833	84.147	143.855
223.030	84.049	144.079
226.274	83.949	144.315
229.565	83.849	144.562
232.905	83.751	144.831
236.292	83.654	145.112
239.729	83.557	145.395
243.216	83.454	145.646
246.754	83.346	145.789
250.343	83.242	146.015
253.984	83.155	146.541
257.678	83.066	147.085
261.426	82.969	147.516
265.229	82.870	147.923
269.087	82.775	148.349
273.001	82.684	148.802
276.972	82.594	149.294
281.000	82.502	149.811
285.088	82.409	150.340
289.234	82.320	150.897
293.441	82.235	151.497
297.710	82.159	152.132
302.040	82.085	152.782
306.433	82.016	153.442
310.890	81.957	154.098
315.412	81.908	154.721
320.000	81.864	155.308
324.655	81.820	155.856
329.377	81.772	156.395
334.168	81.724	156.947
339.028	81.678	157.519
343.959	81.633	158.144
348.962	81.590	158.798
354.038	81.542	159.327
359.188	81.493	159.835
364.412	81.449	160.417
369.713	81.411	161.015
375.090	81.376	161.627
380.546	81.345	162.258
386.081	81.320	162.885
391.697	81.295	163.516
397.395	81.265	164.159
403.175	81.245	164.757
409.039	81.237	165.318
414.989	81.228	165.901
421.025	81.220	166.482
427.149	81.214	167.044
433.362	81.209	167.599
439.665	81.201	168.183
446.060	81.190	168.816
452.548	81.203	169.351
459.131	81.233	169.756
465.809	81.240	170.191
472.584	81.230	170.661
479.458	81.233	171.129
486.432	81.253	171.590
493.507	81.287	172.058
500.686	81.315	172.501
507.968	81.328	172.880
515.357	81.337	173.249
522.853	81.355	173.626
530.458	81.386	173.988
538.174	81.416	174.335
546.002	81.433	174.677
553.943	81.433	175.025
562.001	81.424	175.384
570.175	81.417	175.753
578.469	81.411	176.135
586.883	81.407	176.503
595.419	81.409	176.840
604.080	81.407	177.248
612.866	81.400	177.735
621.780	81.396	178.182
630.824	81.392	178.595
640.000	81.387	178.995
649.309	81.380	179.394
658.753	81.381	179.802
668.335	81.384	-179.773
678.056	81.384	-179.331
687.919	81.385	-178.900
697.925	81.387	-178.481
708.076	81.383	-178.005
718.376	81.379	-177.489
728.825	81.388	-176.976
739.426	81.410	-176.467
750.181	81.441	-175.961
761.093	81.479	-175.473
772.163	81.510	-175.091
783.394	81.513	-174.798
794.789	81.494	-174.346
806.349	81.497	-173.668
818.078	81.514	-172.956
829.977	81.526	-172.271
842.050	81.540	-171.567
854.297	81.561	-170.884
866.724	81.597	-170.250
879.330	81.652	-169.623
892.120	81.720	-168.989
905.097	81.782	-168.358
918.262	81.835	-167.746
931.618	81.877	-167.156
945.169	81.918	-166.585
958.917	81.975	-166.016
972.864	82.045	-165.471
987.015	82.122	-164.969
1001.371	82.205	-164.503
1015.937	82.294	-164.068
1030.714	82.385	-163.662
1045.706	82.475	-163.286
1060.916	82.566	-162.979
1076.347	82.659	-162.724
1092.003	82.752	-162.499
1107.887	82.841	-162.318
1124.001	82.929	-162.181
1140.350	83.018	-162.079
1156.937	83.103	-161.991
1173.765	83.181	-161.906
1190.838	83.254	-161.862
1208.159	83.326	-161.831
1225.732	83.396	-161.783
1243.561	83.464	-161.751
1261.649	83.536	-161.747
1280.000	83.611	-161.771
1298.618	83.689	-161.796
1317.507	83.759	-161.785
1336.670	83.816	-161.764
1356.113	83.862	-161.755
1375.838	83.902	-161.740
1395.850	83.941	-161.715
1416.153	83.983	-161.675
1436.751	84.025	-161.615
1457.649	84.064	-161.544
1478.851	84.101	-161.474
1500.362	84.139	-161.392
1522.185	84.180	-161.278
1544.326	84.221	-161.157
1566.789	84.259	-161.048
1589.578	84.297	-160.932
1612.699	84.340	-160.797
1636.156	84.388	-160.653
1659.955	84.450	-160.502
1684.099	84.532	-160.348
1708.595	84.621	-160.187
1733.447	84.705	-160.015
1758.661	84.773	-159.841
1784.241	84.830	-159.667
1810.193	84.884	-159.486
1836.523	84.938	-159.307
1863.236	84.994	-159.128
1890.338	85.054	-158.932
1917.833	85.116	-158.733
1945.729	85.183	-158.543
1974.030	85.253	-158.363
2002.743	85.327	-158.182
2031.873	85.405	-157.997
2061.428	85.485	-157.808
2091.412	85.571	-157.623
2121.832	85.666	-157.450
2152.695	85.767	-157.313
2184.007	85.876	-157.232
2215.774	85.992	-157.211
2248.003	86.117	-157.253
2280.701	86.252	-157.374
2313.874	86.388	-157.579
2347.530	86.514	-157.845
2381.676	86.625	-158.148
2416.318	86.719	-158.463
2451.464	86.797	-158.780
2487.122	86.870	-159.107
2523.298	86.954	-159.443
2560.000	87.040	-159.786
2597.236	87.116	-160.143
2635.014	87.181	-160.515
2673.341	87.245	-160.906
2712.226	87.313	-161.332
2751.676	87.387	-161.797
2791.700	87.461	-162.291
2832.306	87.532	-162.820
2873.503	87.599	-163.385
2915.299	87.659	-163.982
2957.703	87.710	-164.602
3000.724	87.749	-165.226
3044.370	87.773	-165.831
3088.652	87.777	-166.384
3133.577	87.773	-166.846
3179.156	87.783	-167.205
3225.398	87.824	-167.517
3272.312	87.900	-167.908
