* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 14:30:08
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MH 755 R EQ
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	96.531	-151.105
20.586	96.512	-151.485
20.885	96.470	-152.213
21.189	96.429	-152.994
21.497	96.388	-153.782
21.810	96.338	-154.585
22.127	96.278	-155.413
22.449	96.209	-156.264
22.776	96.136	-157.131
23.107	96.068	-158.008
23.443	96.006	-158.893
23.784	95.950	-159.786
24.130	95.893	-160.687
24.481	95.830	-161.594
24.837	95.762	-162.502
25.198	95.694	-163.401
25.565	95.631	-164.287
25.937	95.571	-165.155
26.314	95.513	-166.004
26.697	95.450	-166.834
27.085	95.380	-167.646
27.479	95.301	-168.442
27.879	95.220	-169.222
28.284	95.145	-169.992
28.696	95.075	-170.758
29.113	95.003	-171.524
29.537	94.919	-172.296
29.966	94.825	-173.071
30.402	94.731	-173.850
30.844	94.648	-174.632
31.293	94.570	-175.419
31.748	94.490	-176.210
32.210	94.407	-177.005
32.678	94.329	-177.796
33.154	94.253	-178.582
33.636	94.175	-179.359
34.125	94.095	179.875
34.621	94.016	179.127
35.125	93.942	178.404
35.636	93.866	177.708
36.154	93.783	177.035
36.680	93.701	176.377
37.214	93.623	175.728
37.755	93.543	175.084
38.304	93.456	174.446
38.861	93.368	173.817
39.427	93.283	173.187
40.000	93.198	172.550
40.582	93.106	171.904
41.172	93.011	171.258
41.771	92.925	170.618
42.379	92.851	169.992
42.995	92.776	169.381
43.620	92.691	168.770
44.255	92.595	168.146
44.898	92.501	167.532
45.552	92.424	166.940
46.214	92.362	166.335
46.886	92.295	165.715
47.568	92.218	165.126
48.260	92.143	164.475
48.962	92.061	163.612
49.674	91.943	162.731
50.397	91.809	162.224
51.130	91.715	162.055
51.874	91.658	161.817
52.628	91.584	161.405
53.394	91.489	160.995
54.170	91.400	160.620
54.958	91.322	160.236
55.758	91.244	159.866
56.569	91.166	159.480
57.391	91.084	159.029
58.226	90.988	158.542
59.073	90.883	158.064
59.932	90.782	157.595
60.804	90.688	157.125
61.688	90.599	156.658
62.586	90.513	156.229
63.496	90.436	155.869
64.420	90.366	155.546
65.357	90.293	155.224
66.307	90.212	154.911
67.272	90.128	154.608
68.250	90.044	154.284
69.243	89.961	153.921
70.250	89.877	153.553
71.272	89.795	153.217
72.309	89.718	152.908
73.360	89.643	152.625
74.427	89.567	152.348
75.510	89.480	152.070
76.608	89.382	151.809
77.723	89.277	151.541
78.853	89.173	151.250
80.000	89.075	150.947
81.164	88.975	150.678
82.344	88.873	150.440
83.542	88.776	150.233
84.757	88.689	150.040
85.990	88.601	149.850
87.241	88.511	149.674
88.510	88.423	149.504
89.797	88.343	149.300
91.103	88.266	149.068
92.428	88.190	148.848
93.773	88.111	148.677
95.137	88.027	148.558
96.520	87.933	148.454
97.924	87.824	148.372
99.349	87.716	148.383
100.794	87.644	148.333
102.260	87.582	148.047
103.747	87.506	147.755
105.256	87.429	147.566
106.787	87.351	147.457
108.340	87.270	147.383
109.916	87.185	147.317
111.515	87.098	147.243
113.137	87.013	147.157
114.783	86.928	147.079
116.452	86.841	147.021
118.146	86.749	146.973
119.865	86.648	146.923
121.608	86.546	146.874
123.377	86.453	146.837
125.171	86.370	146.817
126.992	86.285	146.801
128.839	86.183	146.787
130.713	86.065	146.776
132.615	85.947	146.768
134.543	85.842	146.767
136.500	85.748	146.761
138.486	85.661	146.755
140.500	85.577	146.783
142.544	85.492	146.835
144.617	85.404	146.834
146.721	85.313	146.711
148.855	85.221	146.548
151.020	85.143	146.620
153.217	85.109	146.875
155.445	85.087	147.081
157.706	85.045	147.201
160.000	84.978	147.276
162.327	84.901	147.365
164.688	84.820	147.473
167.084	84.731	147.579
169.514	84.632	147.677
171.980	84.517	147.788
174.481	84.391	147.920
177.019	84.265	148.058
179.594	84.152	148.192
182.206	84.057	148.335
184.856	83.971	148.494
187.545	83.885	148.657
190.273	83.799	148.820
193.041	83.715	148.975
195.849	83.637	149.134
198.697	83.562	149.310
201.587	83.472	149.513
204.520	83.374	149.767
207.494	83.280	150.018
210.512	83.190	150.254
213.574	83.101	150.496
216.681	83.015	150.739
219.833	82.927	150.998
223.030	82.838	151.279
226.274	82.749	151.571
229.565	82.660	151.876
232.905	82.568	152.200
236.292	82.476	152.545
239.729	82.384	152.920
243.216	82.300	153.322
246.754	82.235	153.806
250.343	82.163	154.316
253.984	82.051	154.755
257.678	81.932	155.212
261.426	81.831	155.764
265.229	81.738	156.425
269.087	81.658	157.176
273.001	81.597	158.000
276.972	81.562	158.845
281.000	81.553	159.637
285.088	81.561	160.266
289.234	81.569	160.676
293.441	81.560	160.921
297.710	81.528	161.111
302.040	81.481	161.344
306.433	81.427	161.651
310.890	81.366	162.022
315.412	81.304	162.461
320.000	81.242	162.956
324.655	81.180	163.495
329.377	81.119	164.059
334.168	81.064	164.632
339.028	81.014	165.208
343.959	80.971	165.763
348.962	80.935	166.309
354.038	80.899	166.981
359.188	80.866	167.717
364.412	80.837	168.386
369.713	80.812	169.020
375.090	80.793	169.662
380.546	80.778	170.305
386.081	80.769	170.933
391.697	80.767	171.575
397.395	80.769	172.231
403.175	80.764	172.860
409.039	80.754	173.446
414.989	80.752	174.022
421.025	80.756	174.614
427.149	80.765	175.205
433.362	80.775	175.777
439.665	80.791	176.352
446.060	80.825	176.943
452.548	80.864	177.473
459.131	80.885	177.895
465.809	80.890	178.316
472.584	80.888	178.756
479.458	80.899	179.206
486.432	80.930	179.666
493.507	80.977	-179.862
500.686	81.018	-179.407
507.968	81.040	-178.994
515.357	81.060	-178.608
522.853	81.091	-178.217
530.458	81.137	-177.824
538.174	81.183	-177.434
546.002	81.212	-177.058
553.943	81.228	-176.696
562.001	81.243	-176.339
570.175	81.260	-175.987
578.469	81.274	-175.637
586.883	81.289	-175.307
595.419	81.307	-174.985
604.080	81.317	-174.590
612.866	81.322	-174.142
621.780	81.330	-173.735
630.824	81.340	-173.355
640.000	81.347	-172.989
649.309	81.355	-172.621
658.753	81.370	-172.216
668.335	81.385	-171.801
678.056	81.396	-171.399
687.919	81.407	-170.982
697.925	81.418	-170.526
708.076	81.423	-170.081
718.376	81.426	-169.635
728.825	81.439	-169.162
739.426	81.462	-168.652
750.181	81.489	-168.106
761.093	81.519	-167.534
772.163	81.549	-166.934
783.394	81.581	-166.294
794.789	81.630	-165.614
806.349	81.694	-164.984
818.078	81.747	-164.480
829.977	81.780	-164.031
842.050	81.801	-163.537
854.297	81.832	-162.966
866.724	81.886	-162.339
879.330	81.960	-161.710
892.120	82.042	-161.097
905.097	82.120	-160.498
918.262	82.188	-159.900
931.618	82.247	-159.311
945.169	82.306	-158.734
958.917	82.372	-158.206
972.864	82.450	-157.718
987.015	82.540	-157.249
1001.371	82.636	-156.812
1015.937	82.739	-156.406
