* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 14:15:11
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MH 755 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	102.702	-149.925
20.586	102.685	-150.303
20.885	102.649	-151.028
21.189	102.615	-151.805
21.497	102.579	-152.590
21.810	102.536	-153.390
22.127	102.483	-154.217
22.449	102.421	-155.071
22.776	102.357	-155.946
23.107	102.296	-156.835
23.443	102.243	-157.735
23.784	102.195	-158.641
24.130	102.145	-159.552
24.481	102.090	-160.466
24.837	102.031	-161.376
25.198	101.971	-162.278
25.565	101.916	-163.164
25.937	101.865	-164.028
26.314	101.815	-164.868
26.697	101.761	-165.684
27.085	101.699	-166.481
27.479	101.629	-167.263
27.879	101.556	-168.035
28.284	101.488	-168.799
28.696	101.424	-169.560
29.113	101.357	-170.319
29.537	101.276	-171.081
29.966	101.186	-171.850
30.402	101.096	-172.627
30.844	101.016	-173.416
31.293	100.941	-174.217
31.748	100.863	-175.028
32.210	100.782	-175.844
32.678	100.705	-176.659
33.154	100.632	-177.469
33.636	100.557	-178.266
34.125	100.479	-179.049
34.621	100.405	-179.816
35.125	100.337	179.434
35.636	100.266	178.704
36.154	100.186	177.999
36.680	100.105	177.318
37.214	100.030	176.651
37.755	99.953	175.986
38.304	99.868	175.313
38.861	99.781	174.636
39.427	99.695	173.963
40.000	99.610	173.295
40.582	99.521	172.618
41.172	99.433	171.921
41.771	99.353	171.216
42.379	99.285	170.528
42.995	99.216	169.870
43.620	99.136	169.241
44.255	99.047	168.638
44.898	98.963	168.049
45.552	98.891	167.469
46.214	98.825	166.914
46.886	98.754	166.385
47.568	98.666	165.824
48.260	98.551	165.230
48.962	98.422	164.741
49.674	98.320	164.391
50.397	98.266	163.952
51.130	98.218	163.270
51.874	98.134	162.518
52.628	98.023	161.880
53.394	97.914	161.318
54.170	97.822	160.768
54.958	97.746	160.253
55.758	97.677	159.773
56.569	97.606	159.315
57.391	97.532	158.874
58.226	97.449	158.427
59.073	97.354	157.968
59.932	97.253	157.527
60.804	97.158	157.094
61.688	97.066	156.621
62.586	96.972	156.134
63.496	96.879	155.701
64.420	96.792	155.343
65.357	96.712	155.031
66.307	96.639	154.699
67.272	96.565	154.318
68.250	96.488	153.909
69.243	96.410	153.488
70.250	96.329	153.082
71.272	96.249	152.708
72.309	96.169	152.355
73.360	96.086	152.037
74.427	96.001	151.772
75.510	95.917	151.509
76.608	95.825	151.201
77.723	95.720	150.863
78.853	95.610	150.546
80.000	95.509	150.270
81.164	95.409	150.006
82.344	95.303	149.760
83.542	95.201	149.524
84.757	95.109	149.277
85.990	95.019	149.021
87.241	94.930	148.780
88.510	94.844	148.550
89.797	94.760	148.327
91.103	94.677	148.122
92.428	94.593	147.934
93.773	94.506	147.758
95.137	94.415	147.574
96.520	94.323	147.360
97.924	94.231	147.096
99.349	94.129	146.847
100.794	94.035	146.756
102.260	93.964	146.697
103.747	93.894	146.585
105.256	93.815	146.477
106.787	93.728	146.378
108.340	93.639	146.270
109.916	93.549	146.158
111.515	93.460	146.057
113.137	93.373	145.975
114.783	93.287	145.904
116.452	93.198	145.836
118.146	93.103	145.770
119.865	93.000	145.708
121.608	92.895	145.655
123.377	92.800	145.610
125.171	92.715	145.570
126.992	92.629	145.540
128.839	92.527	145.517
130.713	92.407	145.502
132.615	92.288	145.499
134.543	92.181	145.500
136.500	92.085	145.500
138.486	91.996	145.505
140.500	91.912	145.530
142.544	91.828	145.577
144.617	91.740	145.617
146.721	91.643	145.620
148.855	91.544	145.634
151.020	91.474	145.722
153.217	91.443	145.788
155.445	91.422	145.845
157.706	91.382	145.934
160.000	91.316	146.022
162.327	91.236	146.097
164.688	91.152	146.183
167.084	91.066	146.290
169.514	90.969	146.400
171.980	90.856	146.510
174.481	90.732	146.629
177.019	90.609	146.764
179.594	90.500	146.908
182.206	90.410	147.051
184.856	90.327	147.205
187.545	90.245	147.373
190.273	90.164	147.541
193.041	90.085	147.702
195.849	90.004	147.882
198.697	89.920	148.089
201.587	89.837	148.286
204.520	89.758	148.454
207.494	89.680	148.636
210.512	89.601	148.845
213.574	89.523	149.068
216.681	89.445	149.293
219.833	89.367	149.519
223.030	89.290	149.747
226.274	89.214	149.985
229.565	89.136	150.240
232.905	89.057	150.501
236.292	88.980	150.765
239.729	88.905	151.030
243.216	88.832	151.324
246.754	88.764	151.712
250.343	88.695	152.092
253.984	88.612	152.329
257.678	88.527	152.562
261.426	88.450	152.886
265.229	88.376	153.264
269.087	88.304	153.652
273.001	88.234	154.060
276.972	88.168	154.503
281.000	88.107	154.969
285.088	88.053	155.427
289.234	88.007	155.872
293.441	87.968	156.309
297.710	87.932	156.706
302.040	87.900	157.020
306.433	87.865	157.250
310.890	87.822	157.458
315.412	87.770	157.674
320.000	87.710	157.918
324.655	87.646	158.192
329.377	87.581	158.489
334.168	87.515	158.815
339.028	87.451	159.172
343.959	87.392	159.553
348.962	87.337	159.950
354.038	87.274	160.324
359.188	87.205	160.690
364.412	87.143	161.072
369.713	87.086	161.466
375.090	87.031	161.881
380.546	86.976	162.320
386.081	86.922	162.772
391.697	86.869	163.219
397.395	86.819	163.655
403.175	86.766	164.092
409.039	86.712	164.552
414.989	86.658	165.039
421.025	86.605	165.527
427.149	86.555	166.005
433.362	86.507	166.480
439.665	86.460	166.927
446.060	86.417	167.339
452.548	86.385	167.826
459.131	86.358	168.407
465.809	86.311	168.961
472.584	86.253	169.483
479.458	86.207	169.992
486.432	86.177	170.514
493.507	86.157	171.075
500.686	86.131	171.635
507.968	86.095	172.155
515.357	86.056	172.690
522.853	86.027	173.254
530.458	86.014	173.842
538.174	86.002	174.444
546.002	85.978	175.060
553.943	85.943	175.701
562.001	85.906	176.361
570.175	85.871	177.015
578.469	85.839	177.680
586.883	85.808	178.379
595.419	85.780	179.107
604.080	85.751	179.791
612.866	85.723	-179.570
621.780	85.696	-178.890
630.824	85.672	-178.175
640.000	85.649	-177.457
649.309	85.627	-176.739
658.753	85.610	-175.972
668.335	85.594	-175.188
678.056	85.581	-174.407
687.919	85.570	-173.640
697.925	85.559	-172.887
708.076	85.554	-172.060
718.376	85.556	-171.191
728.825	85.567	-170.333
