* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 14:15:48
* REW Settings:
*  C-weighting compensation: On
*  Target level: 87.5 dB
* Note: ; 
* Measurement: MH 755 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	101.559	-151.162
20.586	101.539	-151.542
20.885	101.496	-152.270
21.189	101.454	-153.047
21.497	101.411	-153.829
21.810	101.361	-154.623
22.127	101.301	-155.440
22.449	101.232	-156.279
22.776	101.160	-157.135
23.107	101.093	-158.003
23.443	101.033	-158.881
23.784	100.978	-159.768
24.130	100.922	-160.663
24.481	100.861	-161.563
24.837	100.794	-162.462
25.198	100.727	-163.351
25.565	100.664	-164.222
25.937	100.605	-165.071
26.314	100.548	-165.897
26.697	100.487	-166.701
27.085	100.417	-167.486
27.479	100.340	-168.255
27.879	100.260	-169.010
28.284	100.185	-169.752
28.696	100.115	-170.486
29.113	100.043	-171.217
29.537	99.959	-171.948
29.966	99.864	-172.684
30.402	99.770	-173.427
30.844	99.687	-174.179
31.293	99.608	-174.942
31.748	99.527	-175.716
32.210	99.442	-176.496
32.678	99.360	-177.276
33.154	99.282	-178.049
33.636	99.200	-178.810
34.125	99.117	-179.557
34.621	99.037	179.715
35.125	98.963	179.006
35.636	98.888	178.319
36.154	98.806	177.651
36.680	98.723	177.000
37.214	98.645	176.363
37.755	98.564	175.737
38.304	98.477	175.120
38.861	98.388	174.507
39.427	98.302	173.893
40.000	98.215	173.269
40.582	98.121	172.632
41.172	98.024	171.993
41.771	97.937	171.359
42.379	97.865	170.731
42.995	97.792	170.109
43.620	97.708	169.503
44.255	97.617	168.910
44.898	97.531	168.325
45.552	97.460	167.771
46.214	97.401	167.263
46.886	97.341	166.770
47.568	97.260	166.300
48.260	97.165	165.929
48.962	97.090	165.580
49.674	97.038	165.023
50.397	96.967	164.265
51.130	96.855	163.611
51.874	96.730	163.186
52.628	96.612	162.807
53.394	96.497	162.367
54.170	96.395	161.915
54.958	96.314	161.466
55.758	96.243	161.010
56.569	96.173	160.562
57.391	96.100	160.127
58.226	96.017	159.708
59.073	95.922	159.313
59.932	95.823	158.933
60.804	95.723	158.565
61.688	95.624	158.196
62.586	95.530	157.821
63.496	95.445	157.448
64.420	95.367	157.085
65.357	95.293	156.731
66.307	95.218	156.390
67.272	95.144	156.071
68.250	95.071	155.772
69.243	94.998	155.478
70.250	94.922	155.187
71.272	94.844	154.904
72.309	94.764	154.629
73.360	94.684	154.355
74.427	94.603	154.087
75.510	94.519	153.823
76.608	94.427	153.571
77.723	94.329	153.342
78.853	94.234	153.129
80.000	94.144	152.903
81.164	94.046	152.677
82.344	93.940	152.466
83.542	93.837	152.263
84.757	93.746	152.071
85.990	93.664	151.890
87.241	93.586	151.724
88.510	93.507	151.577
89.797	93.427	151.438
91.103	93.343	151.301
92.428	93.260	151.150
93.773	93.179	150.966
95.137	93.101	150.772
96.520	93.025	150.625
97.924	92.962	150.582
99.349	92.912	150.490
100.794	92.838	150.332
102.260	92.741	150.293
103.747	92.649	150.292
105.256	92.561	150.236
106.787	92.477	150.153
108.340	92.397	150.079
109.916	92.321	150.024
111.515	92.245	149.980
113.137	92.167	149.933
114.783	92.086	149.885
116.452	92.004	149.847
118.146	91.919	149.819
119.865	91.826	149.800
121.608	91.731	149.789
123.377	91.644	149.788
125.171	91.567	149.796
126.992	91.490	149.809
128.839	91.396	149.828
130.713	91.284	149.852
132.615	91.173	149.891
134.543	91.074	149.944
136.500	90.987	149.995
138.486	90.908	150.042
140.500	90.833	150.101
142.544	90.758	150.185
144.617	90.678	150.270
146.721	90.590	150.302
148.855	90.500	150.323
151.020	90.439	150.445
153.217	90.420	150.588
155.445	90.410	150.722
157.706	90.381	150.864
160.000	90.325	150.985
162.327	90.257	151.099
164.688	90.185	151.227
167.084	90.108	151.367
169.514	90.020	151.507
171.980	89.916	151.647
174.481	89.802	151.803
177.019	89.692	151.973
179.594	89.594	152.146
182.206	89.513	152.325
184.856	89.441	152.500
187.545	89.371	152.670
190.273	89.301	152.852
193.041	89.235	153.055
195.849	89.171	153.287
198.697	89.105	153.538
201.587	89.034	153.751
204.520	88.958	153.941
207.494	88.887	154.155
210.512	88.819	154.393
213.574	88.752	154.642
216.681	88.685	154.897
219.833	88.620	155.159
223.030	88.557	155.428
226.274	88.493	155.705
229.565	88.429	155.990
232.905	88.367	156.283
236.292	88.306	156.587
239.729	88.245	156.897
243.216	88.180	157.204
246.754	88.104	157.474
250.343	88.033	157.769
253.984	87.986	158.142
257.678	87.941	158.527
261.426	87.886	158.903
265.229	87.830	159.287
269.087	87.774	159.684
273.001	87.722	160.098
276.972	87.674	160.546
281.000	87.630	161.019
285.088	87.592	161.495
289.234	87.563	161.972
293.441	87.541	162.434
297.710	87.525	162.845
302.040	87.517	163.174
306.433	87.510	163.419
310.890	87.494	163.604
315.412	87.468	163.754
320.000	87.433	163.903
324.655	87.389	164.078
329.377	87.342	164.292
334.168	87.292	164.545
339.028	87.242	164.813
343.959	87.195	165.080
348.962	87.148	165.364
354.038	87.096	165.723
359.188	87.044	166.109
364.412	86.996	166.482
369.713	86.951	166.858
375.090	86.907	167.240
380.546	86.863	167.630
386.081	86.822	168.029
391.697	86.780	168.441
397.395	86.735	168.864
403.175	86.695	169.287
409.039	86.662	169.703
414.989	86.627	170.119
421.025	86.591	170.548
427.149	86.557	170.988
433.362	86.524	171.423
439.665	86.496	171.832
446.060	86.476	172.207
452.548	86.462	172.647
459.131	86.442	173.171
465.809	86.406	173.664
472.584	86.363	174.124
479.458	86.331	174.575
486.432	86.317	175.032
493.507	86.317	175.491
500.686	86.309	175.947
507.968	86.284	176.401
515.357	86.255	176.877
522.853	86.239	177.371
530.458	86.236	177.881
538.174	86.232	178.417
546.002	86.214	178.988
553.943	86.188	179.568
562.001	86.162	-179.856
570.175	86.139	-179.268
578.469	86.118	-178.658
586.883	86.097	-178.027
595.419	86.074	-177.379
604.080	86.061	-176.751
612.866	86.056	-176.141
621.780	86.048	-175.511
630.824	86.039	-174.863
640.000	86.028	-174.213
649.309	86.018	-173.555
658.753	86.016	-172.885
668.335	86.018	-172.207
678.056	86.019	-171.518
687.919	86.019	-170.796
697.925	86.022	-170.046
708.076	86.026	-169.331
718.376	86.034	-168.623
728.825	86.051	-167.891
739.426	86.078	-167.132
750.181	86.112	-166.340
761.093	86.145	-165.511
772.163	86.176	-164.651
783.394	86.212	-163.755
794.789	86.269	-162.835
806.349	86.345	-161.958
818.078	86.417	-161.198
829.977	86.465	-160.506
842.050	86.501	-159.787
854.297	86.547	-159.012
866.724	86.615	-158.193
879.330	86.701	-157.377
892.120	86.798	-156.573
905.097	86.892	-155.783
918.262	86.977	-155.015
931.618	87.054	-154.275
945.169	87.131	-153.567
958.917	87.217	-152.865
972.864	87.314	-152.183
987.015	87.423	-151.541
1001.371	87.537	-150.939
1015.937	87.656	-150.383
1030.714	87.778	-149.863
1045.706	87.901	-149.379
1060.916	88.025	-148.956
1076.347	88.148	-148.584
