* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 20:34:23
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Spaceship L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	87.535	-64.844
20.586	87.595	-65.208
20.885	87.721	-65.909
21.189	87.844	-66.661
21.497	87.956	-67.417
21.810	88.058	-68.177
22.127	88.151	-68.949
22.449	88.238	-69.737
22.776	88.324	-70.545
23.107	88.415	-71.382
23.443	88.513	-72.253
23.784	88.612	-73.156
24.130	88.704	-74.074
24.481	88.785	-74.984
24.837	88.859	-75.864
25.198	88.936	-76.712
25.565	89.022	-77.540
25.937	89.118	-78.374
26.314	89.218	-79.233
26.697	89.313	-80.117
27.085	89.396	-81.013
27.479	89.471	-81.902
27.879	89.543	-82.777
28.284	89.622	-83.647
28.696	89.708	-84.524
29.113	89.791	-85.408
29.537	89.860	-86.291
29.966	89.919	-87.159
30.402	89.981	-88.013
30.844	90.056	-88.868
31.293	90.138	-89.740
31.748	90.215	-90.631
32.210	90.286	-91.533
32.678	90.358	-92.432
33.154	90.431	-93.322
33.636	90.498	-94.203
34.125	90.563	-95.079
34.621	90.632	-95.956
35.125	90.706	-96.844
35.636	90.776	-97.746
36.154	90.837	-98.655
36.680	90.897	-99.553
37.214	90.963	-100.439
37.755	91.031	-101.327
38.304	91.094	-102.232
38.861	91.155	-103.147
39.427	91.216	-104.047
40.000	91.275	-104.912
40.582	91.332	-105.752
41.172	91.390	-106.598
41.771	91.455	-107.461
42.379	91.528	-108.312
42.995	91.598	-109.135
43.620	91.659	-109.974
44.255	91.708	-110.873
44.898	91.755	-111.799
45.552	91.817	-112.721
46.214	91.890	-113.663
46.886	91.958	-114.612
47.568	92.021	-115.541
48.260	92.086	-116.610
48.962	92.124	-117.916
49.674	92.111	-119.082
50.397	92.104	-119.715
51.130	92.166	-120.119
51.874	92.251	-120.789
52.628	92.293	-121.607
53.394	92.318	-122.316
54.170	92.367	-123.042
54.958	92.423	-123.875
55.758	92.473	-124.705
56.569	92.523	-125.529
57.391	92.568	-126.381
58.226	92.606	-127.231
59.073	92.637	-128.094
59.932	92.662	-128.946
60.804	92.689	-129.740
61.688	92.718	-130.534
62.586	92.742	-131.294
63.496	92.776	-131.949
64.420	92.830	-132.647
65.357	92.880	-133.483
66.307	92.915	-134.379
67.272	92.941	-135.278
68.250	92.965	-136.120
69.243	93.003	-136.883
70.250	93.055	-137.667
71.272	93.097	-138.487
72.309	93.121	-139.167
73.360	93.157	-139.712
74.427	93.200	-140.360
75.510	93.225	-141.147
76.608	93.226	-141.997
77.723	93.217	-142.812
78.853	93.225	-143.612
80.000	93.245	-144.470
81.164	93.251	-145.260
82.344	93.250	-145.877
83.542	93.260	-146.446
84.757	93.269	-147.064
85.990	93.273	-147.700
87.241	93.280	-148.378
88.510	93.291	-149.121
89.797	93.305	-149.902
91.103	93.317	-150.631
92.428	93.331	-151.284
93.773	93.339	-151.909
95.137	93.336	-152.518
96.520	93.328	-153.143
97.924	93.317	-153.839
99.349	93.303	-154.515
100.794	93.306	-155.093
102.260	93.329	-155.706
103.747	93.344	-156.347
105.256	93.347	-156.938
106.787	93.341	-157.489
108.340	93.328	-158.020
109.916	93.316	-158.529
111.515	93.312	-159.032
113.137	93.317	-159.587
114.783	93.320	-160.184
116.452	93.318	-160.763
118.146	93.308	-161.317
119.865	93.287	-161.861
121.608	93.258	-162.421
123.377	93.232	-162.985
125.171	93.217	-163.546
126.992	93.200	-164.102
128.839	93.164	-164.642
130.713	93.107	-165.164
132.615	93.049	-165.660
134.543	93.003	-166.136
136.500	92.970	-166.576
138.486	92.942	-167.000
140.500	92.914	-167.434
142.544	92.888	-167.899
144.617	92.867	-168.370
146.721	92.855	-168.786
148.855	92.855	-169.173
151.020	92.855	-169.635
153.217	92.847	-170.106
155.445	92.852	-170.521
157.706	92.859	-170.935
160.000	92.847	-171.318
162.327	92.824	-171.658
164.688	92.798	-172.008
167.084	92.765	-172.375
169.514	92.715	-172.693
171.980	92.655	-173.000
174.481	92.580	-173.358
177.019	92.503	-173.702
