* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 20:36:00
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Spaceship R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	86.126	-60.497
20.586	86.193	-60.859
20.885	86.332	-61.554
21.189	86.466	-62.299
21.497	86.588	-63.040
21.810	86.699	-63.774
22.127	86.802	-64.510
22.449	86.899	-65.258
22.776	86.994	-66.025
23.107	87.094	-66.818
23.443	87.198	-67.636
23.784	87.303	-68.467
24.130	87.401	-69.293
24.481	87.492	-70.100
24.837	87.579	-70.888
25.198	87.672	-71.672
25.565	87.773	-72.477
25.937	87.879	-73.320
26.314	87.983	-74.197
26.697	88.076	-75.082
27.085	88.157	-75.942
27.479	88.231	-76.762
27.879	88.308	-77.549
28.284	88.400	-78.337
28.696	88.502	-79.158
29.113	88.603	-80.020
29.537	88.688	-80.907
29.966	88.760	-81.790
30.402	88.831	-82.651
30.844	88.914	-83.492
31.293	89.002	-84.327
31.748	89.085	-85.162
32.210	89.165	-85.994
32.678	89.246	-86.820
33.154	89.329	-87.642
33.636	89.408	-88.469
34.125	89.482	-89.301
34.621	89.558	-90.135
35.125	89.641	-90.975
35.636	89.723	-91.832
36.154	89.797	-92.717
36.680	89.870	-93.617
37.214	89.947	-94.509
37.755	90.023	-95.376
38.304	90.098	-96.223
38.861	90.178	-97.068
39.427	90.264	-97.927
40.000	90.348	-98.807
40.582	90.420	-99.699
41.172	90.485	-100.575
41.771	90.555	-101.421
42.379	90.637	-102.246
42.995	90.717	-103.074
43.620	90.786	-103.936
44.255	90.843	-104.845
44.898	90.899	-105.771
45.552	90.973	-106.670
46.214	91.068	-107.569
46.886	91.165	-108.524
47.568	91.245	-109.512
48.260	91.312	-110.494
48.962	91.375	-111.530
49.674	91.423	-112.582
50.397	91.457	-113.420
51.130	91.506	-113.991
51.874	91.575	-114.555
52.628	91.633	-115.271
53.394	91.674	-116.060
54.170	91.722	-116.870
54.958	91.780	-117.699
55.758	91.844	-118.508
56.569	91.913	-119.315
57.391	91.980	-120.155
58.226	92.035	-120.983
59.073	92.082	-121.780
59.932	92.127	-122.569
60.804	92.173	-123.361
61.688	92.221	-124.203
62.586	92.263	-125.113
63.496	92.299	-125.998
64.420	92.340	-126.792
65.357	92.392	-127.556
66.307	92.448	-128.358
67.272	92.498	-129.168
68.250	92.546	-129.968
69.243	92.585	-130.770
70.250	92.616	-131.525
71.272	92.647	-132.248
72.309	92.681	-132.910
73.360	92.739	-133.586
74.427	92.799	-134.458
75.510	92.836	-135.352
76.608	92.867	-136.192
77.723	92.891	-137.017
78.853	92.916	-137.814
80.000	92.942	-138.585
81.164	92.968	-139.307
82.344	92.988	-140.085
83.542	92.992	-140.875
84.757	92.997	-141.548
85.990	93.017	-142.185
87.241	93.042	-142.852
88.510	93.068	-143.555
89.797	93.090	-144.281
91.103	93.112	-144.968
92.428	93.139	-145.665
93.773	93.162	-146.376
95.137	93.184	-147.034
96.520	93.218	-147.713
97.924	93.251	-148.510
99.349	93.262	-149.330
100.794	93.257	-149.987
102.260	93.265	-150.505
103.747	93.281	-151.064
105.256	93.295	-151.685
106.787	93.306	-152.352
108.340	93.318	-153.071
109.916	93.324	-153.805
111.515	93.324	-154.473
113.137	93.325	-155.068
114.783	93.328	-155.651
116.452	93.328	-156.256
118.146	93.318	-156.884
119.865	93.295	-157.509
121.608	93.269	-158.116
123.377	93.253	-158.711
