* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 20:27:27
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Spacesihp R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	79.609	-60.912
20.586	79.681	-61.293
20.885	79.828	-62.030
21.189	79.961	-62.825
21.497	80.074	-63.585
21.810	80.172	-64.279
22.127	80.264	-64.912
22.449	80.358	-65.516
22.776	80.461	-66.142
23.107	80.574	-66.836
23.443	80.693	-67.614
23.784	80.808	-68.451
24.130	80.910	-69.300
24.481	81.001	-70.126
24.837	81.087	-70.922
25.198	81.178	-71.715
25.565	81.278	-72.540
25.937	81.382	-73.417
26.314	81.480	-74.329
26.697	81.566	-75.234
27.085	81.640	-76.091
27.479	81.711	-76.891
27.879	81.791	-77.659
28.284	81.887	-78.438
28.696	81.997	-79.263
29.113	82.105	-80.140
29.537	82.199	-81.051
29.966	82.279	-81.973
30.402	82.357	-82.889
30.844	82.441	-83.790
31.293	82.525	-84.662
31.748	82.602	-85.492
32.210	82.679	-86.283
32.678	82.764	-87.068
33.154	82.853	-87.883
33.636	82.934	-88.738
34.125	83.006	-89.603
34.621	83.077	-90.447
35.125	83.158	-91.286
35.636	83.241	-92.162
36.154	83.314	-93.086
36.680	83.383	-94.012
37.214	83.457	-94.893
37.755	83.538	-95.741
38.304	83.621	-96.600
38.861	83.705	-97.484
39.427	83.790	-98.364
40.000	83.871	-99.218
40.582	83.946	-100.062
41.172	84.015	-100.924
41.771	84.083	-101.798
42.379	84.153	-102.645
42.995	84.218	-103.447
43.620	84.277	-104.272
44.255	84.326	-105.188
44.898	84.373	-106.129
45.552	84.444	-107.021
46.214	84.547	-107.969
46.886	84.647	-109.019
47.568	84.733	-109.946
48.260	84.857	-110.814
48.962	85.007	-112.173
49.674	85.067	-113.948
50.397	85.015	-115.120
51.130	84.993	-115.298
51.874	85.073	-115.350
52.628	85.159	-115.877
53.394	85.199	-116.574
54.170	85.237	-117.219
54.958	85.294	-117.918
55.758	85.355	-118.687
56.569	85.419	-119.515
57.391	85.481	-120.422
58.226	85.532	-121.358
59.073	85.574	-122.271
59.932	85.614	-123.159
60.804	85.652	-124.014
61.688	85.689	-124.816
62.586	85.732	-125.579
63.496	85.786	-126.361
64.420	85.839	-127.182
65.357	85.885	-127.979
66.307	85.936	-128.735
67.272	85.997	-129.536
68.250	86.054	-130.389
69.243	86.106	-131.223
70.250	86.156	-132.026
71.272	86.204	-132.798
72.309	86.251	-133.553
73.360	86.296	-134.330
74.427	86.334	-135.135
75.510	86.363	-135.957
76.608	86.382	-136.770
77.723	86.397	-137.587
78.853	86.407	-138.391
80.000	86.422	-139.090
81.164	86.444	-139.733
82.344	86.461	-140.421
83.542	86.475	-141.147
84.757	86.492	-141.933
85.990	86.506	-142.756
87.241	86.522	-143.576
88.510	86.542	-144.355
89.797	86.572	-145.075
91.103	86.604	-145.776
92.428	86.629	-146.430
93.773	86.655	-147.083
95.137	86.679	-147.887
96.520	86.687	-148.775
97.924	86.705	-149.645
99.349	86.724	-150.593
100.794	86.715	-151.311
102.260	86.722	-151.726
103.747	86.739	-152.165
105.256	86.743	-152.699
106.787	86.745	-153.329
108.340	86.748	-154.092
109.916	86.745	-154.861
111.515	86.745	-155.502
113.137	86.751	-156.091
114.783	86.750	-156.675
116.452	86.745	-157.259
118.146	86.734	-157.864
119.865	86.715	-158.485
121.608	86.691	-159.113
123.377	86.673	-159.734
125.171	86.665	-160.322
126.992	86.660	-160.869
128.839	86.638	-161.435
130.713	86.576	-162.032
132.615	86.496	-162.550
134.543	86.447	-163.025
136.500	86.434	-163.613
138.486	86.435	-164.277
140.500	86.423	-164.950
142.544	86.384	-165.520
144.617	86.334	-166.010
146.721	86.282	-166.546
148.855	86.239	-167.077
151.020	86.230	-167.581
153.217	86.250	-168.145
155.445	86.268	-168.722
157.706	86.257	-169.243
160.000	86.212	-169.741
162.327	86.148	-170.247
164.688	86.074	-170.744
167.084	85.984	-171.167
169.514	85.871	-171.495
171.980	85.724	-171.690
174.481	85.547	-171.617
177.019	85.369	-171.103
179.594	85.246	-170.111
182.206	85.235	-168.891
184.856	85.347	-167.890
187.545	85.538	-167.508
190.273	85.727	-167.889
193.041	85.860	-168.734
195.849	85.937	-169.664
198.697	85.974	-170.561
201.587	85.967	-171.414
204.520	85.927	-172.141
