* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 20.09.2021 16:45:10
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanya L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	91.199	-76.723
20.586	91.251	-77.110
20.885	91.362	-77.855
21.189	91.472	-78.659
21.497	91.571	-79.476
21.810	91.658	-80.313
22.127	91.735	-81.175
22.449	91.802	-82.062
22.776	91.864	-82.966
23.107	91.929	-83.881
23.443	92.001	-84.804
23.784	92.078	-85.737
24.130	92.153	-86.685
24.481	92.222	-87.651
24.837	92.286	-88.632
25.198	92.351	-89.621
25.565	92.419	-90.609
25.937	92.491	-91.590
26.314	92.566	-92.562
26.697	92.637	-93.530
27.085	92.700	-94.494
27.479	92.757	-95.455
27.879	92.813	-96.410
28.284	92.875	-97.360
28.696	92.944	-98.313
29.113	93.009	-99.275
29.537	93.062	-100.248
29.966	93.101	-101.221
30.402	93.140	-102.183
30.844	93.189	-103.134
31.293	93.244	-104.084
31.748	93.296	-105.050
32.210	93.344	-106.037
32.678	93.394	-107.036
33.154	93.442	-108.034
33.636	93.486	-109.025
34.125	93.528	-110.011
34.621	93.573	-110.998
35.125	93.624	-111.983
35.636	93.672	-112.963
36.154	93.713	-113.935
36.680	93.755	-114.901
37.214	93.802	-115.859
37.755	93.848	-116.809
38.304	93.888	-117.758
38.861	93.927	-118.714
39.427	93.966	-119.678
40.000	94.001	-120.640
40.582	94.027	-121.595
41.172	94.052	-122.549
41.771	94.087	-123.522
42.379	94.132	-124.512
42.995	94.172	-125.498
43.620	94.200	-126.471
44.255	94.223	-127.455
44.898	94.251	-128.455
45.552	94.292	-129.433
46.214	94.347	-130.373
46.886	94.402	-131.307
47.568	94.436	-132.216
48.260	94.460	-133.044
48.962	94.501	-133.895
49.674	94.551	-134.939
50.397	94.575	-136.082
51.130	94.571	-137.063
51.874	94.563	-137.869
52.628	94.555	-138.690
53.394	94.544	-139.574
54.170	94.546	-140.459
54.958	94.568	-141.348
55.758	94.601	-142.255
56.569	94.634	-143.167
57.391	94.661	-144.073
58.226	94.677	-144.955
59.073	94.683	-145.829
59.932	94.681	-146.710
60.804	94.671	-147.565
61.688	94.661	-148.384
62.586	94.661	-149.196
63.496	94.675	-150.037
64.420	94.695	-150.925
65.357	94.712	-151.836
66.307	94.723	-152.736
67.272	94.730	-153.604
68.250	94.737	-154.434
69.243	94.746	-155.269
70.250	94.750	-156.122
71.272	94.750	-156.958
72.309	94.752	-157.795
73.360	94.750	-158.634
74.427	94.745	-159.423
75.510	94.740	-160.190
76.608	94.727	-160.935
77.723	94.714	-161.675
78.853	94.698	-162.507
80.000	94.666	-163.353
81.164	94.625	-164.116
82.344	94.584	-164.847
83.542	94.552	-165.587
84.757	94.532	-166.335
85.990	94.517	-167.087
87.241	94.498	-167.842
88.510	94.474	-168.589
89.797	94.443	-169.329
91.103	94.411	-170.019
92.428	94.396	-170.663
93.773	94.393	-171.360
95.137	94.381	-172.047
96.520	94.356	-172.573
97.924	94.337	-172.951
99.349	94.327	-173.327
100.794	94.318	-173.858
102.260	94.296	-174.534
103.747	94.268	-175.305
105.256	94.237	-176.139
106.787	94.204	-176.973
108.340	94.174	-177.773
109.916	94.146	-178.521
111.515	94.120	-179.200
113.137	94.091	-179.866
114.783	94.048	-180.500
116.452	93.994	-181.087
118.146	93.936	-181.653
119.865	93.878	-182.245
121.608	93.827	-182.832
123.377	93.789	-183.404
125.171	93.747	-183.930
126.992	93.692	-184.400
128.839	93.614	-184.946
130.713	93.513	-185.513
132.615	93.431	-186.040
134.543	93.379	-186.569
136.500	93.334	-187.105
138.486	93.282	-187.591
140.500	93.228	-188.117
142.544	93.162	-188.688
144.617	93.098	-189.195
146.721	93.050	-189.698
148.855	93.007	-190.250
151.020	92.963	-190.757
153.217	92.933	-191.171
155.445	92.918	-191.578
157.706	92.894	-192.005
160.000	92.849	-192.436
162.327	92.790	-192.859
164.688	92.726	-193.276
167.084	92.657	-193.685
169.514	92.577	-194.077
171.980	92.479	-194.453
174.481	92.369	-194.820
177.019	92.262	-195.188
179.594	92.167	-195.548
182.206	92.086	-195.892
184.856	92.012	-196.219
187.545	91.942	-196.528
190.273	91.876	-196.844
193.041	91.808	-197.189
195.849	91.734	-197.517
198.697	91.657	-197.806
201.587	91.582	-198.076
204.520	91.507	-198.342
207.494	91.432	-198.602
210.512	91.356	-198.853
213.574	91.281	-199.093
216.681	91.204	-199.326
219.833	91.128	-199.555
223.030	91.051	-199.768
226.274	90.971	-199.972
229.565	90.891	-200.174
232.905	90.813	-200.359
236.292	90.734	-200.518
239.729	90.653	-200.678
243.216	90.574	-200.831
246.754	90.499	-200.950
250.343	90.419	-201.065
253.984	90.329	-201.207
257.678	90.241	-201.333
261.426	90.159	-201.441
265.229	90.078	-201.538
269.087	89.998	-201.635
273.001	89.911	-201.748
276.972	89.819	-201.816
281.000	89.729	-201.840
285.088	89.638	-201.850
289.234	89.544	-201.824
293.441	89.452	-201.764
297.710	89.365	-201.687
302.040	89.277	-201.576
306.433	89.191	-201.428
310.890	89.111	-201.248
315.412	89.040	-201.048
320.000	88.980	-200.866
324.655	88.932	-200.733
329.377	88.885	-200.670
334.168	88.832	-200.687
339.028	88.770	-200.748
343.959	88.696	-200.813
348.962	88.614	-200.858
354.038	88.534	-200.853
359.188	88.452	-200.813
364.412	88.367	-200.761
369.713	88.281	-200.686
375.090	88.194	-200.582
380.546	88.108	-200.450
386.081	88.023	-200.292
391.697	87.940	-200.111
397.395	87.854	-199.908
403.175	87.765	-199.712
409.039	87.680	-199.521
414.989	87.597	-199.307
421.025	87.515	-199.072
427.149	87.433	-198.820
433.362	87.351	-198.558
439.665	87.271	-198.297
446.060	87.197	-198.049
452.548	87.132	-197.761
459.131	87.066	-197.404
465.809	86.982	-197.051
472.584	86.887	-196.703
479.458	86.805	-196.337
486.432	86.742	-195.959
493.507	86.691	-195.570
500.686	86.635	-195.167
507.968	86.566	-194.773
515.357	86.495	-194.369
522.853	86.435	-193.943
530.458	86.389	-193.500
538.174	86.343	-193.036
546.002	86.285	-192.561
553.943	86.218	-192.068
562.001	86.152	-191.552
570.175	86.086	-191.034
578.469	86.018	-190.510
586.883	85.949	-189.976
595.419	85.884	-189.437
604.080	85.823	-188.869
612.866	85.761	-188.256
621.780	85.700	-187.626
630.824	85.641	-186.983
640.000	85.583	-186.326
649.309	85.531	-185.657
658.753	85.479	-184.972
668.335	85.427	-184.264
678.056	85.376	-183.547
687.919	85.330	-182.835
697.925	85.289	-182.111
708.076	85.246	-181.334
718.376	85.205	-180.529
728.825	85.173	-179.736
739.426	85.153	-178.942
750.181	85.142	-178.115
761.093	85.137	-177.232
772.163	85.129	-176.336
783.394	85.119	-175.446
794.789	85.119	-174.539
806.349	85.122	-173.614
818.078	85.119	-172.689
829.977	85.113	-171.767
842.050	85.110	-170.840
854.297	85.118	-169.896
866.724	85.143	-168.938
879.330	85.186	-167.982
892.120	85.240	-167.013
905.097	85.291	-166.063
918.262	85.333	-165.154
931.618	85.367	-164.250
945.169	85.403	-163.353
958.917	85.449	-162.494
972.864	85.506	-161.680
987.015	85.575	-160.899
