* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 20.09.2021 16:43:29
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanya R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	91.601	-77.835
20.586	91.649	-78.240
20.885	91.751	-79.014
21.189	91.852	-79.842
21.497	91.943	-80.672
21.810	92.024	-81.514
22.127	92.095	-82.376
22.449	92.159	-83.263
22.776	92.220	-84.172
23.107	92.286	-85.103
23.443	92.358	-86.053
23.784	92.435	-87.019
24.130	92.510	-87.994
24.481	92.579	-88.976
24.837	92.646	-89.968
25.198	92.714	-90.971
25.565	92.786	-91.986
25.937	92.861	-93.006
26.314	92.934	-94.019
26.697	93.000	-95.013
27.085	93.056	-95.978
27.479	93.104	-96.911
27.879	93.153	-97.815
28.284	93.211	-98.698
28.696	93.278	-99.576
29.113	93.347	-100.477
29.537	93.405	-101.421
29.966	93.450	-102.411
30.402	93.488	-103.425
30.844	93.530	-104.431
31.293	93.574	-105.410
31.748	93.616	-106.372
32.210	93.657	-107.342
32.678	93.703	-108.330
33.154	93.749	-109.327
33.636	93.791	-110.319
34.125	93.832	-111.308
34.621	93.876	-112.305
35.125	93.924	-113.307
35.636	93.967	-114.296
36.154	94.003	-115.260
36.680	94.041	-116.213
37.214	94.087	-117.174
37.755	94.129	-118.146
38.304	94.164	-119.125
38.861	94.197	-120.103
39.427	94.231	-121.074
40.000	94.264	-122.030
40.582	94.295	-122.981
41.172	94.326	-123.958
41.771	94.366	-124.972
42.379	94.410	-125.986
42.995	94.447	-126.958
43.620	94.473	-127.891
44.255	94.491	-128.811
44.898	94.514	-129.734
45.552	94.551	-130.671
46.214	94.595	-131.613
46.886	94.632	-132.545
47.568	94.655	-133.513
48.260	94.654	-134.573
48.962	94.627	-135.589
49.674	94.609	-136.376
50.397	94.643	-137.062
51.130	94.707	-137.941
