* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 17:29:00
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: V90 EQ L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	91.934	-106.531
20.586	91.953	-106.979
20.885	91.994	-107.832
21.189	92.035	-108.727
21.497	92.071	-109.611
21.810	92.099	-110.501
22.127	92.119	-111.418
22.449	92.132	-112.370
22.776	92.142	-113.356
23.107	92.154	-114.370
23.443	92.170	-115.402
23.784	92.187	-116.437
24.130	92.200	-117.459
24.481	92.207	-118.463
24.837	92.212	-119.452
25.198	92.220	-120.438
25.565	92.236	-121.434
25.937	92.256	-122.444
26.314	92.275	-123.461
26.697	92.285	-124.466
27.085	92.285	-125.441
27.479	92.277	-126.377
27.879	92.271	-127.283
28.284	92.276	-128.185
28.696	92.292	-129.112
29.113	92.305	-130.083
29.537	92.303	-131.091
29.966	92.284	-132.109
30.402	92.261	-133.109
30.844	92.248	-134.079
31.293	92.242	-135.030
31.748	92.236	-135.988
32.210	92.229	-136.969
32.678	92.223	-137.967
33.154	92.216	-138.965
33.636	92.202	-139.944
34.125	92.186	-140.901
34.621	92.172	-141.839
35.125	92.166	-142.767
35.636	92.160	-143.698
36.154	92.145	-144.637
36.680	92.128	-145.578
37.214	92.114	-146.505
37.755	92.099	-147.407
38.304	92.080	-148.299
38.861	92.064	-149.203
39.427	92.050	-150.122
40.000	92.031	-151.033
40.582	92.005	-151.925
41.172	91.978	-152.811
41.771	91.959	-153.700
42.379	91.948	-154.572
42.995	91.935	-155.413
43.620	91.912	-156.262
44.255	91.877	-157.152
44.898	91.843	-158.058
45.552	91.824	-158.968
46.214	91.818	-159.916
46.886	91.805	-160.884
47.568	91.784	-161.845
48.260	91.761	-162.935
48.962	91.710	-164.201
49.674	91.620	-165.287
50.397	91.546	-165.884
51.130	91.542	-166.293
51.874	91.564	-166.955
52.628	91.549	-167.815
53.394	91.505	-168.635
54.170	91.464	-169.398
54.958	91.428	-170.119
55.758	91.395	-170.769
56.569	91.369	-171.410
57.391	91.346	-172.141
58.226	91.308	-172.973
59.073	91.253	-173.832
59.932	91.197	-174.674
60.804	91.152	-175.578
61.688	91.097	-176.593
62.586	91.018	-177.537
63.496	90.938	-178.174
64.420	90.897	-178.582
65.357	90.890	-179.030
66.307	90.884	-179.591
67.272	90.867	179.815
68.250	90.840	179.261
69.243	90.818	178.737
70.250	90.805	178.119
71.272	90.780	177.330
72.309	90.724	176.516
73.360	90.658	175.818
74.427	90.605	175.165
75.510	90.565	174.434
76.608	90.524	173.546
77.723	90.466	172.561
78.853	90.397	171.576
80.000	90.312	170.676
81.164	90.204	170.027
82.344	90.097	169.670
83.542	90.013	169.323
84.757	89.930	168.828
85.990	89.834	168.229
87.241	89.735	167.564
88.510	89.650	166.866
89.797	89.581	166.171
91.103	89.529	165.637
92.428	89.493	165.240
93.773	89.442	164.949
95.137	89.373	164.750
96.520	89.287	164.371
97.924	89.164	163.780
99.349	89.026	163.240
100.794	88.940	162.768
102.260	88.891	162.116
103.747	88.831	161.488
105.256	88.755	161.056
106.787	88.677	160.797
108.340	88.618	160.531
109.916	88.560	159.955
111.515	88.452	159.285
113.137	88.330	158.870
114.783	88.224	158.549
116.452	88.124	158.296
118.146	88.023	158.098
119.865	87.908	157.990
121.608	87.790	157.979
123.377	87.695	158.002
125.171	87.648	157.959
126.992	87.630	157.660
128.839	87.581	157.211
130.713	87.487	156.736
132.615	87.357	156.229
134.543	87.216	155.718
136.500	87.091	155.203
138.486	86.979	154.805
140.500	86.881	154.587
142.544	86.770	154.410
144.617	86.636	154.206
146.721	86.501	153.876
148.855	86.368	153.473
151.020	86.245	153.401
153.217	86.170	153.635
155.445	86.111	153.887
157.706	86.043	154.161
160.000	85.978	154.423
162.327	85.921	154.621
164.688	85.865	154.671
167.084	85.794	154.551
169.514	85.699	154.374
171.980	85.577	154.212
174.481	85.427	154.084
177.019	85.270	154.016
179.594	85.127	154.034
182.206	85.008	154.119
184.856	84.892	154.233
187.545	84.772	154.424
190.273	84.658	154.672
193.041	84.552	154.883
195.849	84.452	155.077
198.697	84.359	155.334
201.587	84.256	155.663
204.520	84.144	156.038
207.494	84.039	156.400
210.512	83.946	156.792
213.574	83.860	157.215
216.681	83.767	157.603
