* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 17:26:42
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: V90 EQ R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	91.204	-95.334
20.586	91.220	-95.706
20.885	91.260	-96.403
21.189	91.318	-97.115
21.497	91.388	-97.847
21.810	91.463	-98.660
22.127	91.532	-99.592
22.449	91.590	-100.635
22.776	91.637	-101.744
23.107	91.679	-102.870
23.443	91.722	-103.980
23.784	91.771	-105.070
24.130	91.820	-106.158
24.481	91.865	-107.265
24.837	91.904	-108.392
25.198	91.940	-109.521
25.565	91.977	-110.626
25.937	92.018	-111.698
26.314	92.063	-112.751
26.697	92.106	-113.814
27.085	92.139	-114.906
27.479	92.158	-116.015
27.879	92.165	-117.104
28.284	92.173	-118.139
28.696	92.188	-119.114
29.113	92.207	-120.066
29.537	92.220	-121.043
29.966	92.225	-122.067
30.402	92.229	-123.126
30.844	92.238	-124.189
31.293	92.252	-125.247
31.748	92.264	-126.314
32.210	92.274	-127.405
32.678	92.285	-128.506
33.154	92.294	-129.587
33.636	92.302	-130.630
34.125	92.314	-131.666
34.621	92.332	-132.741
35.125	92.349	-133.864
35.636	92.347	-134.972
36.154	92.326	-135.968
36.680	92.311	-136.805
37.214	92.323	-137.562
37.755	92.358	-138.409
38.304	92.388	-139.448
38.861	92.394	-140.604
39.427	92.380	-141.711
40.000	92.363	-142.713
40.582	92.352	-143.726
41.172	92.336	-144.858
41.771	92.305	-146.013
42.379	92.271	-146.997
42.995	92.255	-147.798
43.620	92.263	-148.627
44.255	92.276	-149.687
44.898	92.269	-150.912
45.552	92.248	-152.061
46.214	92.232	-153.014
46.886	92.226	-153.848
47.568	92.216	-154.623
48.260	92.210	-155.338
48.962	92.233	-156.179
49.674	92.256	-157.364
50.397	92.227	-158.672
51.130	92.151	-159.653
51.874	92.085	-160.314
52.628	92.039	-161.016
53.394	91.988	-161.885
54.170	91.938	-162.791
54.958	91.901	-163.647
55.758	91.883	-164.464
56.569	91.883	-165.341
57.391	91.881	-166.351
58.226	91.853	-167.396
59.073	91.807	-168.343
59.932	91.765	-169.220
60.804	91.723	-170.118
61.688	91.670	-170.983
62.586	91.620	-171.724
63.496	91.598	-172.439
64.420	91.587	-173.284
65.357	91.558	-174.214
66.307	91.510	-175.079
67.272	91.462	-175.827
68.250	91.429	-176.525
69.243	91.409	-177.305
70.250	91.379	-178.188
71.272	91.327	-179.024
72.309	91.268	-179.713
73.360	91.225	179.678
74.427	91.190	178.966
75.510	91.132	178.168
76.608	91.058	177.458
77.723	90.988	176.732
78.853	90.912	175.941
80.000	90.836	175.211
81.164	90.762	174.495
82.344	90.680	173.801
83.542	90.602	173.069
84.757	90.510	172.332
85.990	90.412	171.827
87.241	90.353	171.472
88.510	90.326	170.885
89.797	90.275	170.088
91.103	90.195	169.388
92.428	90.122	168.866
93.773	90.085	168.361
95.137	90.067	167.581
96.520	90.013	166.638
97.924	89.928	165.929
99.349	89.864	165.440
100.794	89.806	164.846
102.260	89.718	164.276
103.747	89.617	163.770
105.256	89.508	163.304
106.787	89.408	162.891
108.340	89.326	162.441
109.916	89.252	161.868
111.515	89.156	161.215
113.137	89.039	160.702
114.783	88.927	160.290
116.452	88.816	159.874
118.146	88.699	159.486
119.865	88.572	159.109
121.608	88.433	158.800
123.377	88.304	158.588
125.171	88.183	158.478
126.992	88.075	158.509
128.839	87.979	158.554
130.713	87.885	158.479
132.615	87.794	158.273
134.543	87.706	157.991
136.500	87.619	157.692
138.486	87.530	157.424
140.500	87.436	157.199
142.544	87.334	157.050
144.617	87.236	156.965
146.721	87.156	156.797
148.855	87.089	156.513
151.020	87.040	156.310
153.217	87.028	156.141
155.445	87.017	155.883
157.706	86.970	155.562
160.000	86.882	155.206
162.327	86.773	154.866
164.688	86.658	154.585
167.084	86.535	154.386
169.514	86.397	154.261
171.980	86.240	154.191
174.481	86.074	154.168
177.019	85.913	154.180
179.594	85.765	154.226
182.206	85.634	154.316
184.856	85.513	154.445
187.545	85.394	154.603
190.273	85.279	154.775
193.041	85.170	154.979
195.849	85.062	155.260
198.697	84.954	155.601
201.587	84.848	155.901
204.520	84.743	156.173
207.494	84.639	156.512
210.512	84.542	156.913
213.574	84.450	157.332
216.681	84.360	157.757
219.833	84.278	158.214
223.030	84.207	158.719
226.274	84.146	159.246
229.565	84.091	159.716
232.905	84.039	160.126
236.292	83.989	160.497
239.729	83.942	160.851
243.216	83.889	161.185
246.754	83.832	161.435
250.343	83.775	161.741
253.984	83.730	162.283
257.678	83.690	162.833
261.426	83.649	163.289
265.229	83.611	163.718
269.087	83.576	164.140
273.001	83.546	164.559
276.972	83.516	164.959
281.000	83.486	165.336
285.088	83.457	165.697
289.234	83.429	166.044
293.441	83.403	166.406
297.710	83.378	166.776
302.040	83.355	167.129
306.433	83.335	167.485
310.890	83.315	167.845
315.412	83.296	168.188
320.000	83.277	168.523
324.655	83.256	168.854
329.377	83.237	169.179
334.168	83.219	169.498
339.028	83.204	169.821
343.959	83.196	170.160
348.962	83.190	170.513
354.038	83.168	170.841
359.188	83.143	171.154
364.412	83.125	171.474
369.713	83.112	171.786
375.090	83.101	172.097
380.546	83.089	172.415
386.081	83.080	172.721
391.697	83.072	173.017
397.395	83.061	173.314
403.175	83.051	173.641
409.039	83.046	173.975
414.989	83.041	174.290
421.025	83.035	174.604
427.149	83.032	174.916
433.362	83.031	175.220
439.665	83.034	175.524
446.060	83.050	175.828
452.548	83.066	176.101
459.131	83.069	176.347
465.809	83.059	176.601
472.584	83.043	176.859
479.458	83.039	177.117
486.432	83.052	177.374
493.507	83.074	177.634
500.686	83.089	177.888
507.968	83.099	178.106
515.357	83.106	178.307
522.853	83.120	178.515
530.458	83.145	178.734
538.174	83.169	178.952
546.002	83.177	179.174
553.943	83.175	179.393
562.001	83.171	179.606
570.175	83.163	179.819
578.469	83.153	-179.972
586.883	83.140	-179.777
595.419	83.128	-179.605
604.080	83.115	-179.366
612.866	83.099	-179.048
621.780	83.083	-178.749
630.824	83.066	-178.462
640.000	83.049	-178.179
649.309	83.032	-177.886
658.753	83.011	-177.548
668.335	82.989	-177.178
678.056	82.968	-176.795
687.919	82.946	-176.407
697.925	82.922	-176.011
708.076	82.906	-175.558
718.376	82.897	-175.058
728.825	82.892	-174.542
739.426	82.899	-174.014
750.181	82.912	-173.470
761.093	82.924	-172.922
772.163	82.934	-172.351
783.394	82.945	-171.731
794.789	82.964	-171.086
806.349	82.987	-170.460
818.078	83.006	-169.840
829.977	83.021	-169.186
842.050	83.038	-168.509
854.297	83.058	-167.845
866.724	83.081	-167.197
879.330	83.113	-166.459
892.120	83.157	-165.526
905.097	83.235	-164.392
918.262	83.363	-163.389
931.618	83.489	-162.769
945.169	83.582	-162.330
958.917	83.664	-161.899
972.864	83.753	-161.451
987.015	83.852	-160.998
1001.371	83.961	-160.568
1015.937	84.074	-160.184
1030.714	84.190	-159.861
1045.706	84.310	-159.623
1060.916	84.423	-159.482
1076.347	84.524	-159.445
1092.003	84.601	-159.491
1107.887	84.643	-159.506
1124.001	84.655	-159.261
1140.350	84.676	-158.622
1156.937	84.748	-157.764
1173.765	84.873	-156.971
1190.838	85.026	-156.379
1208.159	85.187	-155.973
1225.732	85.345	-155.700
1243.561	85.499	-155.520
1261.649	85.655	-155.399
1280.000	85.814	-155.309
1298.618	85.973	-155.249
1317.507	86.129	-155.214
1336.670	86.275	-155.202
1356.113	86.414	-155.196
1375.838	86.551	-155.198
1395.850	86.692	-155.218
1416.153	86.832	-155.252
1436.751	86.974	-155.300
1457.649	87.118	-155.371
1478.851	87.264	-155.471
1500.362	87.414	-155.601
1522.185	87.566	-155.754
1544.326	87.721	-155.941
1566.789	87.881	-156.161
1589.578	88.045	-156.417
1612.699	88.212	-156.722
1636.156	88.386	-157.087
1659.955	88.578	-157.506
1684.099	88.791	-157.978
1708.595	89.009	-158.519
1733.447	89.218	-159.132
1758.661	89.410	-159.810
1784.241	89.590	-160.547
1810.193	89.763	-161.359
1836.523	89.934	-162.249
1863.236	90.103	-163.216
1890.338	90.271	-164.283
1917.833	90.437	-165.477
1945.729	90.593	-166.816
1974.030	90.734	-168.298
2002.743	90.853	-169.887
2031.873	90.949	-171.548
2061.428	91.021	-173.264
2091.412	91.069	-175.016
2121.832	91.091	-176.780
2152.695	91.088	-178.531
2184.007	91.059	179.757
2215.774	91.007	178.105
2248.003	90.938	176.534
2280.701	90.855	175.065
2313.874	90.759	173.717
2347.530	90.647	172.506
2381.676	90.515	171.446
2416.318	90.363	170.548
2451.464	90.198	169.818
2487.122	90.032	169.245
2523.298	89.881	168.819
2560.000	89.740	168.521
2597.236	89.596	168.335
2635.014	89.450	168.248
2673.341	89.310	168.265
2712.226	89.185	168.393
2751.676	89.080	168.629
2791.700	88.992	168.971
2832.306	88.923	169.408
2873.503	88.874	169.918
2915.299	88.849	170.486
2957.703	88.847	171.094
3000.724	88.870	171.721
3044.370	88.917	172.352
3088.652	88.986	172.967
3133.577	89.087	173.521
3179.156	89.234	173.927
3225.398	89.427	174.100
3272.312	89.656	173.958
3319.909	89.907	173.424
3368.198	90.169	172.429
3417.190	90.418	170.936
3466.894	90.622	168.996
3517.321	90.747	166.756
3568.482	90.792	164.391
3620.387	90.769	162.020
3673.046	90.693	159.673
3726.472	90.565	157.347
3780.675	90.382	155.060
3835.666	90.143	152.882
3891.457	89.850	150.927
3948.060	89.500	149.332
4005.486	89.088	148.240
4063.747	88.618	147.788
4122.855	88.106	148.077
4182.824	87.576	149.166
4243.664	87.063	151.068
4305.390	86.618	153.725
4368.013	86.293	156.981
4431.547	86.132	160.541
4496.005	86.170	163.979
4561.401	86.394	166.810
4627.749	86.725	168.643
4695.061	87.072	169.316
4763.352	87.365	168.954
4832.637	87.554	167.906
4902.929	87.615	166.597
4974.244	87.565	165.389
5046.596	87.449	164.517
5120.000	87.310	164.069
5194.472	87.174	164.006
5270.027	87.041	164.233
5346.682	86.912	164.654
5424.451	86.797	165.180
5503.352	86.702	165.743
5583.399	86.623	166.299
5664.612	86.540	166.828
5747.006	86.436	167.334
5830.598	86.324	167.832
5915.406	86.217	168.335
6001.447	86.108	168.880
6088.740	85.979	169.523
6177.303	85.811	170.357
6267.154	85.612	171.484
6358.312	85.407	172.996
6450.796	85.221	174.963
6544.625	85.071	177.401
6639.818	84.978	-179.733
6736.397	84.963	-176.524
6834.380	85.048	-173.084
6933.789	85.249	-169.533
7034.643	85.583	-165.997
7136.964	86.059	-162.622
7240.773	86.690	-159.602
7346.093	87.503	-157.193
7452.944	88.524	-155.791
7561.350	89.752	-155.998
7671.332	91.101	-158.640
7782.915	92.383	-164.650
7896.120	93.326	-174.431
8010.971	93.664	173.169
8127.493	93.272	160.878
8245.711	92.239	151.348
8365.647	90.824	145.607
8487.328	89.299	143.225
8610.779	87.846	143.297
8736.026	86.549	145.046
8863.095	85.424	147.898
8992.011	84.459	151.427
9122.803	83.628	155.465
9255.497	82.927	159.980
9390.121	82.367	164.857
9526.704	81.954	169.974
9665.273	81.679	175.211
9805.857	81.533	-179.542
9948.487	81.521	-174.379
10093.191	81.660	-169.441
10240.000	81.964	-164.901
10388.944	82.421	-160.940
10540.055	82.980	-157.773
10693.363	83.598	-155.586
10848.902	84.255	-154.453
11006.703	84.955	-154.467
11166.799	85.687	-155.917
11329.224	86.388	-159.237
11494.012	86.915	-164.675
11661.195	87.083	-171.797
11830.812	86.770	-179.166
12002.895	86.014	175.146
12177.480	85.008	172.098
12354.606	83.941	171.274
12534.309	82.884	172.021
12716.624	81.838	174.163
12901.592	80.842	177.647
13089.250	79.959	-177.684
13279.637	79.280	-171.857
13472.794	78.997	-164.933
13668.760	79.282	-157.839
13867.577	79.933	-151.821
14069.285	80.605	-147.061
14273.928	81.133	-142.838
14481.547	81.608	-138.410
14692.186	82.322	-133.952
14905.889	83.482	-131.507
15122.700	84.798	-134.226
15342.664	85.712	-142.911
15565.829	85.928	-154.403
15792.239	85.541	-164.381
16021.942	84.899	-170.875
16254.986	84.321	-174.584
16491.422	83.999	-177.291
16731.295	84.031	178.946
16974.656	84.373	171.399
17221.559	84.554	157.525
17472.053	83.893	139.220
17726.189	82.134	122.599
17984.021	79.512	111.674
18245.605	76.452	106.497
18510.994	73.342	106.076
18780.242	70.487	110.180
19053.408	68.370	118.138
19330.547	67.752	124.599
19611.715	67.871	122.248
19896.975	67.630	115.402
