* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 16:51:26
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: V90 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	93.417	-104.138
20.586	93.435	-104.590
20.885	93.476	-105.449
21.189	93.520	-106.348
21.497	93.558	-107.245
21.810	93.588	-108.157
22.127	93.606	-109.094
22.449	93.613	-110.048
22.776	93.617	-111.002
23.107	93.625	-111.951
23.443	93.642	-112.899
23.784	93.667	-113.858
24.130	93.692	-114.837
24.481	93.713	-115.840
24.837	93.729	-116.862
25.198	93.745	-117.894
25.565	93.765	-118.926
25.937	93.790	-119.956
26.314	93.815	-120.986
26.697	93.835	-122.015
27.085	93.845	-123.037
27.479	93.844	-124.044
27.879	93.841	-125.025
28.284	93.843	-125.981
28.696	93.852	-126.922
29.113	93.860	-127.863
29.537	93.855	-128.810
29.966	93.838	-129.757
30.402	93.820	-130.692
30.844	93.811	-131.612
31.293	93.809	-132.525
31.748	93.804	-133.449
32.210	93.797	-134.393
32.678	93.792	-135.355
33.154	93.785	-136.319
33.636	93.774	-137.273
34.125	93.759	-138.213
34.621	93.749	-139.143
35.125	93.745	-140.064
35.636	93.740	-140.974
36.154	93.729	-141.870
36.680	93.723	-142.765
37.214	93.723	-143.677
37.755	93.719	-144.609
38.304	93.703	-145.532
38.861	93.685	-146.426
39.427	93.671	-147.307
40.000	93.654	-148.197
40.582	93.627	-149.086
41.172	93.598	-149.943
41.771	93.585	-150.795
42.379	93.587	-151.704
42.995	93.579	-152.649
43.620	93.551	-153.542
44.255	93.519	-154.371
44.898	93.501	-155.213
45.552	93.495	-156.076
46.214	93.496	-156.897
46.886	93.494	-157.685
47.568	93.466	-158.442
48.260	93.418	-159.031
48.962	93.402	-159.486
49.674	93.436	-160.191
50.397	93.457	-161.322
51.130	93.413	-162.502
51.874	93.331	-163.393
52.628	93.256	-164.135
53.394	93.193	-164.932
54.170	93.147	-165.766
54.958	93.121	-166.594
55.758	93.106	-167.413
56.569	93.093	-168.212
57.391	93.076	-168.995
58.226	93.045	-169.755
59.073	93.001	-170.475
59.932	92.953	-171.181
60.804	92.902	-171.914
61.688	92.846	-172.660
62.586	92.793	-173.379
63.496	92.757	-174.083
64.420	92.732	-174.808
65.357	92.707	-175.539
66.307	92.678	-176.242
67.272	92.648	-176.916
68.250	92.615	-177.569
69.243	92.579	-178.218
70.250	92.541	-178.880
71.272	92.502	-179.559
72.309	92.461	179.759
73.360	92.422	179.080
74.427	92.380	178.413
75.510	92.333	177.776
76.608	92.277	177.153
77.723	92.210	176.513
78.853	92.133	175.862
80.000	92.054	175.268
81.164	91.979	174.706
82.344	91.903	174.160
83.542	91.842	173.646
84.757	91.797	173.081
85.990	91.745	172.516
87.241	91.692	172.035
88.510	91.649	171.551
89.797	91.612	170.961
91.103	91.564	170.285
92.428	91.498	169.681
93.773	91.431	169.281
95.137	91.378	168.955
96.520	91.317	168.547
97.924	91.233	168.125
99.349	91.144	167.731
100.794	91.075	167.270
102.260	91.010	166.636
103.747	90.933	166.026
105.256	90.857	165.517
106.787	90.777	165.066
108.340	90.695	164.714
109.916	90.623	164.350
111.515	90.536	163.927
113.137	90.423	163.686
114.783	90.310	163.631
116.452	90.192	163.650
118.146	90.072	163.746
119.865	89.969	163.934
121.608	89.915	164.170
123.377	89.920	164.334
125.171	89.964	164.389
126.992	90.018	164.187
128.839	90.034	163.666
130.713	90.000	162.951
132.615	89.939	162.181
134.543	89.868	161.486
136.500	89.791	160.890
138.486	89.705	160.368
140.500	89.613	159.870
142.544	89.522	159.387
144.617	89.436	158.978
146.721	89.354	158.719
148.855	89.280	158.569
151.020	89.215	158.314
153.217	89.145	157.950
155.445	89.093	157.685
157.706	89.049	157.461
160.000	88.966	157.333
162.327	88.877	157.300
164.688	88.801	157.145
167.084	88.724	156.915
169.514	88.629	156.784
171.980	88.520	156.740
174.481	88.409	156.663
177.019	88.306	156.486
179.594	88.212	156.282
182.206	88.125	156.107
184.856	88.041	155.957
187.545	87.954	155.819
190.273	87.866	155.695
193.041	87.779	155.574
195.849	87.697	155.440
198.697	87.615	155.315
201.587	87.522	155.250
204.520	87.423	155.259
207.494	87.331	155.276
210.512	87.241	155.286
213.574	87.151	155.322
216.681	87.064	155.352
219.833	86.977	155.368
223.030	86.885	155.416
226.274	86.795	155.483
229.565	86.708	155.565
232.905	86.621	155.689
236.292	86.534	155.848
239.729	86.454	156.042
243.216	86.381	156.224
246.754	86.301	156.285
250.343	86.227	156.285
253.984	86.177	156.341
257.678	86.120	156.424
261.426	86.041	156.498
265.229	85.956	156.581
269.087	85.871	156.690
273.001	85.783	156.828
276.972	85.693	156.992
281.000	85.607	157.169
285.088	85.525	157.362
289.234	85.442	157.575
293.441	85.355	157.788
297.710	85.268	158.013
302.040	85.190	158.278
306.433	85.115	158.563
310.890	85.036	158.836
315.412	84.957	159.117
320.000	84.878	159.413
324.655	84.797	159.724
329.377	84.715	160.042
334.168	84.637	160.352
339.028	84.566	160.704
343.959	84.494	161.122
348.962	84.419	161.557
354.038	84.346	161.868
359.188	84.273	162.163
364.412	84.201	162.537
369.713	84.129	162.952
375.090	84.057	163.375
380.546	83.989	163.806
386.081	83.926	164.244
391.697	83.867	164.684
397.395	83.810	165.137
403.175	83.743	165.623
409.039	83.668	166.117
414.989	83.600	166.606
421.025	83.537	167.107
427.149	83.476	167.626
433.362	83.418	168.168
439.665	83.359	168.701
446.060	83.296	169.204
452.548	83.254	169.763
459.131	83.231	170.399
465.809	83.184	171.006
472.584	83.121	171.593
479.458	83.069	172.198
486.432	83.035	172.826
493.507	83.017	173.469
500.686	82.998	174.112
507.968	82.964	174.770
515.357	82.925	175.450
522.853	82.897	176.137
530.458	82.887	176.809
538.174	82.878	177.487
546.002	82.854	178.198
553.943	82.826	178.927
562.001	82.802	179.660
570.175	82.780	-179.597
578.469	82.759	-178.847
586.883	82.741	-178.103
595.419	82.723	-177.370
604.080	82.707	-176.572
612.866	82.693	-175.726
621.780	82.682	-174.911
630.824	82.676	-174.095
640.000	82.674	-173.266
649.309	82.673	-172.425
658.753	82.671	-171.556
668.335	82.673	-170.686
678.056	82.682	-169.814
687.919	82.699	-168.945
697.925	82.722	-168.062
708.076	82.734	-167.147
718.376	82.752	-166.226
728.825	82.785	-165.284
739.426	82.833	-164.323
750.181	82.891	-163.363
761.093	82.948	-162.420
772.163	83.005	-161.483
783.394	83.065	-160.541
794.789	83.136	-159.610
806.349	83.209	-158.659
818.078	83.277	-157.677
829.977	83.344	-156.703
842.050	83.416	-155.750
854.297	83.498	-154.796
866.724	83.599	-153.826
879.330	83.721	-152.887
892.120	83.852	-152.011
905.097	83.980	-151.184
918.262	84.101	-150.401
931.618	84.207	-149.667
945.169	84.303	-148.989
958.917	84.399	-148.349
972.864	84.496	-147.682
987.015	84.593	-146.923
1001.371	84.701	-146.062
1015.937	84.825	-145.146
1030.714	84.970	-144.224
1045.706	85.133	-143.363
1060.916	85.309	-142.637
1076.347	85.492	-142.012
1092.003	85.676	-141.444
1107.887	85.857	-140.931
1124.001	86.039	-140.471
1140.350	86.222	-140.058
1156.937	86.403	-139.685
1173.765	86.583	-139.343
1190.838	86.763	-139.031
1208.159	86.945	-138.760
1225.732	87.129	-138.526
1243.561	87.315	-138.313
1261.649	87.509	-138.126
1280.000	87.711	-137.968
1298.618	87.916	-137.823
1317.507	88.119	-137.680
1336.670	88.315	-137.561
1356.113	88.507	-137.474
1375.838	88.699	-137.417
1395.850	88.893	-137.388
1416.153	89.092	-137.386
1436.751	89.296	-137.410
1457.649	89.501	-137.461
1478.851	89.708	-137.550
1500.362	89.918	-137.681
1522.185	90.132	-137.852
1544.326	90.350	-138.067
1566.789	90.569	-138.325
1589.578	90.791	-138.632
1612.699	91.017	-138.994
1636.156	91.252	-139.409
1659.955	91.504	-139.887
1684.099	91.779	-140.438
1708.595	92.063	-141.076
1733.447	92.341	-141.826
1758.661	92.603	-142.708
1784.241	92.848	-143.724
1810.193	93.080	-144.860
1836.523	93.301	-146.105
1863.236	93.511	-147.455
1890.338	93.708	-148.903
1917.833	93.890	-150.443
1945.729	94.055	-152.069
1974.030	94.202	-153.765
2002.743	94.329	-155.523
2031.873	94.435	-157.332
2061.428	94.518	-159.167
2091.412	94.578	-161.010
2121.832	94.614	-162.842
2152.695	94.625	-164.641
2184.007	94.614	-166.384
2215.774	94.582	-168.048
2248.003	94.536	-169.614
2280.701	94.482	-171.067
2313.874	94.419	-172.396
2347.530	94.344	-173.597
2381.676	94.254	-174.664
2416.318	94.146	-175.590
2451.464	94.025	-176.377
2487.122	93.902	-177.025
2523.298	93.794	-177.539
2560.000	93.695	-177.928
2597.236	93.593	-178.205
2635.014	93.489	-178.366
2673.341	93.393	-178.410
2712.226	93.314	-178.343
2751.676	93.255	-178.171
2791.700	93.213	-177.888
2832.306	93.191	-177.484
2873.503	93.193	-176.953
2915.299	93.229	-176.309
2957.703	93.310	-175.604
3000.724	93.442	-174.931
3044.370	93.619	-174.393
3088.652	93.829	-174.076
3133.577	94.069	-174.050
3179.156	94.337	-174.360
3225.398	94.624	-175.022
3272.312	94.917	-176.023
3319.909	95.210	-177.347
3368.198	95.506	-179.017
3417.190	95.802	178.925
3466.894	96.078	176.457
3517.321	96.307	173.579
3568.482	96.477	170.297
3620.387	96.578	166.619
3673.046	96.597	162.585
3726.472	96.513	158.288
3780.675	96.310	153.875
3835.666	95.983	149.543
3891.457	95.536	145.537
3948.060	94.972	142.119
4005.486	94.296	139.531
4063.747	93.524	137.949
4122.855	92.682	137.495
4182.824	91.803	138.248
4243.664	90.926	140.259
4305.390	90.114	143.510
4368.013	89.438	147.858
4431.547	88.974	152.979
4496.005	88.785	158.352
4561.401	88.883	163.349
4627.749	89.199	167.391
4695.061	89.633	170.093
4763.352	90.096	171.344
4832.637	90.503	171.287
4902.929	90.791	170.249
4974.244	90.938	168.646
5046.596	90.955	166.889
5120.000	90.866	165.310
5194.472	90.693	164.126
5270.027	90.448	163.445
5346.682	90.150	163.295
5424.451	89.832	163.643
5503.352	89.519	164.438
5583.399	89.226	165.626
5664.612	88.951	167.159
5747.006	88.688	168.986
5830.598	88.460	171.063
5915.406	88.289	173.344
6001.447	88.176	175.788
6088.740	88.104	178.360
6177.303	88.060	-178.969
6267.154	88.050	-176.224
6358.312	88.089	-173.418
6450.796	88.178	-170.559
6544.625	88.315	-167.658
6639.818	88.500	-164.727
6736.397	88.740	-161.757
6834.380	89.049	-158.741
6933.789	89.450	-155.711
7034.643	89.968	-152.760
7136.964	90.618	-150.057
7240.773	91.416	-147.831
7346.093	92.390	-146.379
7452.944	93.560	-146.134
7561.350	94.907	-147.771
7671.332	96.311	-152.198
7782.915	97.544	-160.241
7896.120	98.328	-171.833
8010.971	98.443	174.818
8127.493	97.841	162.661
8245.711	96.678	153.900
8365.647	95.236	148.891
8487.328	93.766	146.823
8610.779	92.406	146.777
8736.026	91.194	148.124
8863.095	90.123	150.475
8992.011	89.187	153.528
9122.803	88.383	157.089
9255.497	87.710	161.048
9390.121	87.173	165.319
9526.704	86.777	169.795
9665.273	86.519	174.351
9805.857	86.394	178.851
9948.487	86.406	-176.855
10093.191	86.564	-172.954
10240.000	86.873	-169.653
10388.944	87.308	-167.144
10540.055	87.808	-165.589
10693.363	88.331	-165.118
10848.902	88.851	-165.864
11006.703	89.336	-168.021
11166.799	89.728	-171.749
11329.224	89.935	-176.955
11494.012	89.851	176.969
11661.195	89.406	171.176
11830.812	88.646	166.816
12002.895	87.709	164.238
12177.480	86.684	163.308
12354.606	85.612	164.012
12534.309	84.556	166.209
12716.624	83.577	169.537
12901.592	82.707	173.615
13089.250	81.964	178.162
13279.637	81.383	-177.018
13472.794	81.026	-172.060
13668.760	80.940	-167.007
13867.577	81.060	-161.759
14069.285	81.270	-156.081
14273.928	81.525	-149.807
14481.547	81.940	-143.325
14692.186	82.660	-137.909
14905.889	83.651	-135.514
15122.700	84.622	-137.714
15342.664	85.234	-143.993
15565.829	85.371	-151.744
15792.239	85.161	-158.309
16021.942	84.881	-162.620
16254.986	84.769	-165.540
16491.422	84.942	-169.163
16731.295	85.311	-176.197
16974.656	85.510	171.040
17221.559	84.999	153.303
17472.053	83.415	135.781
17726.189	80.825	123.793
17984.021	77.620	118.601
18245.605	74.222	119.650
18510.994	71.042	127.904
18780.242	69.322	140.896
19053.408	69.621	146.758
19330.547	69.683	141.752
19611.715	68.848	134.683
19896.975	67.893	130.096
