* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 06.09.2021 16:55:21
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: V90 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	92.727	-91.723
20.586	92.776	-92.206
20.885	92.877	-93.141
21.189	92.970	-94.161
21.497	93.046	-95.192
21.810	93.105	-96.218
22.127	93.151	-97.239
22.449	93.189	-98.259
22.776	93.226	-99.285
23.107	93.267	-100.330
23.443	93.314	-101.398
23.784	93.364	-102.487
24.130	93.408	-103.585
24.481	93.444	-104.683
24.837	93.474	-105.774
25.198	93.503	-106.857
25.565	93.538	-107.931
25.937	93.577	-108.999
26.314	93.618	-110.063
26.697	93.655	-111.127
27.085	93.683	-112.191
27.479	93.702	-113.251
27.879	93.719	-114.300
28.284	93.740	-115.331
28.696	93.768	-116.347
29.113	93.796	-117.356
29.537	93.814	-118.372
29.966	93.821	-119.400
30.402	93.829	-120.435
30.844	93.844	-121.469
31.293	93.862	-122.496
31.748	93.876	-123.516
32.210	93.886	-124.536
32.678	93.898	-125.560
33.154	93.910	-126.583
33.636	93.914	-127.596
34.125	93.915	-128.591
34.621	93.918	-129.565
35.125	93.929	-130.525
35.636	93.940	-131.483
36.154	93.947	-132.446
36.680	93.956	-133.416
37.214	93.974	-134.398
37.755	93.992	-135.406
38.304	94.003	-136.445
38.861	94.009	-137.498
39.427	94.012	-138.544
40.000	94.011	-139.571
40.582	94.002	-140.581
41.172	93.988	-141.582
41.771	93.982	-142.576
42.379	93.984	-143.552
42.995	93.983	-144.497
43.620	93.976	-145.433
44.255	93.963	-146.411
44.898	93.951	-147.427
45.552	93.952	-148.419
46.214	93.969	-149.376
46.886	93.986	-150.336
47.568	93.987	-151.262
48.260	93.987	-152.133
48.962	94.001	-153.133
49.674	94.000	-154.349
50.397	93.954	-155.475
51.130	93.895	-156.235
51.874	93.859	-156.837
52.628	93.827	-157.579
53.394	93.780	-158.421
54.170	93.743	-159.252
54.958	93.730	-160.119
55.758	93.725	-161.056
56.569	93.714	-162.003
57.391	93.700	-162.909
58.226	93.679	-163.792
59.073	93.646	-164.668
59.932	93.598	-165.481
60.804	93.548	-166.178
61.688	93.510	-166.827
62.586	93.486	-167.567
63.496	93.458	-168.409
64.420	93.421	-169.237
65.357	93.384	-170.021
66.307	93.347	-170.772
67.272	93.316	-171.486
68.250	93.293	-172.207
69.243	93.270	-172.955
70.250	93.242	-173.694
71.272	93.212	-174.398
72.309	93.185	-175.092
73.360	93.161	-175.823
74.427	93.132	-176.595
75.510	93.093	-177.387
76.608	93.040	-178.165
77.723	92.979	-178.916
78.853	92.915	-179.647
80.000	92.856	179.659
81.164	92.796	178.988
82.344	92.730	178.326
83.542	92.667	177.684
84.757	92.610	177.111
85.990	92.568	176.586
87.241	92.524	175.984
88.510	92.457	175.355
89.797	92.377	174.844
91.103	92.321	174.335
92.428	92.276	173.632
93.773	92.232	172.892
95.137	92.201	172.132
96.520	92.167	171.362
97.924	92.118	170.699
99.349	92.055	170.132
100.794	91.970	169.654
102.260	91.881	169.275
103.747	91.803	168.847
105.256	91.727	168.329
106.787	91.649	167.787
108.340	91.569	167.270
109.916	91.486	166.815
111.515	91.405	166.405
113.137	91.330	165.980
114.783	91.251	165.527
116.452	91.162	165.139
118.146	91.064	164.819
119.865	90.949	164.530
121.608	90.821	164.259
123.377	90.694	164.055
125.171	90.586	163.964
126.992	90.492	163.992
128.839	90.402	164.171
130.713	90.320	164.511
132.615	90.275	164.949
134.543	90.283	165.272
136.500	90.322	165.265
138.486	90.362	164.876
140.500	90.388	164.214
142.544	90.391	163.409
144.617	90.362	162.595
146.721	90.296	161.842
148.855	90.211	161.197
151.020	90.149	160.627
153.217	90.114	160.037
155.445	90.084	159.523
157.706	90.037	159.106
160.000	89.963	158.730
162.327	89.875	158.374
164.688	89.784	158.051
167.084	89.688	157.776
169.514	89.579	157.516
171.980	89.452	157.267
174.481	89.317	157.045
177.019	89.185	156.847
179.594	89.068	156.654
182.206	88.965	156.462
184.856	88.871	156.283
187.545	88.781	156.120
190.273	88.687	155.984
193.041	88.594	155.881
195.849	88.508	155.770
198.697	88.424	155.650
201.587	88.327	155.553
204.520	88.222	155.517
207.494	88.121	155.516
210.512	88.023	155.543
213.574	87.926	155.603
216.681	87.837	155.684
219.833	87.763	155.769
223.030	87.695	155.841
226.274	87.629	155.878
229.565	87.561	155.868
232.905	87.488	155.821
236.292	87.411	155.747
239.729	87.330	155.680
243.216	87.242	155.683
246.754	87.140	155.775
250.343	87.040	155.872
253.984	86.962	155.861
257.678	86.884	155.864
261.426	86.797	155.944
265.229	86.711	156.053
269.087	86.626	156.176
273.001	86.540	156.293
276.972	86.456	156.407
281.000	86.373	156.549
285.088	86.291	156.721
289.234	86.206	156.897
293.441	86.119	157.083
297.710	86.032	157.298
302.040	85.946	157.502
306.433	85.862	157.694
310.890	85.778	157.918
315.412	85.696	158.168
320.000	85.616	158.432
324.655	85.535	158.708
