* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12,0 dBFS  With no timing reference
* Dated: 31.08.2021 18:21:17
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: VK4 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	88.030	-130.851
20.586	88.070	-131.403
20.885	88.152	-132.415
21.189	88.224	-133.376
21.497	88.285	-134.237
21.810	88.341	-135.043
22.127	88.396	-135.823
22.449	88.451	-136.583
22.776	88.504	-137.321
23.107	88.556	-138.044
23.443	88.605	-138.761
23.784	88.653	-139.477
24.130	88.697	-140.198
24.481	88.737	-140.928
24.837	88.771	-141.667
25.198	88.799	-142.417
25.565	88.822	-143.174
25.937	88.841	-143.936
26.314	88.855	-144.701
26.697	88.864	-145.465
27.085	88.868	-146.228
27.479	88.868	-146.991
27.879	88.865	-147.754
28.284	88.861	-148.518
28.696	88.857	-149.283
29.113	88.855	-150.048
29.537	88.854	-150.813
29.966	88.856	-151.575
30.402	88.861	-152.334
30.844	88.871	-153.090
31.293	88.880	-153.843
31.748	88.884	-154.595
32.210	88.879	-155.348
32.678	88.869	-156.101
33.154	88.858	-156.854
33.636	88.848	-157.604
34.125	88.837	-158.351
34.621	88.826	-159.093
35.125	88.813	-159.829
35.636	88.799	-160.558
36.154	88.785	-161.282
36.680	88.775	-162.000
37.214	88.767	-162.714
37.755	88.754	-163.423
38.304	88.735	-164.130
38.861	88.708	-164.834
39.427	88.678	-165.534
40.000	88.648	-166.232
40.582	88.622	-166.925
41.172	88.600	-167.613
41.771	88.581	-168.292
42.379	88.562	-168.961
42.995	88.540	-169.619
43.620	88.515	-170.267
44.255	88.485	-170.908
44.898	88.454	-171.548
45.552	88.424	-172.184
46.214	88.397	-172.814
46.886	88.375	-173.435
47.568	88.357	-174.045
48.260	88.334	-174.650
48.962	88.295	-175.258
49.674	88.239	-175.876
50.397	88.181	-176.495
51.130	88.131	-177.098
51.874	88.089	-177.675
52.628	88.049	-178.230
53.394	88.007	-178.776
54.170	87.964	-179.318
54.958	87.925	-179.856
55.758	87.888	179.610
56.569	87.845	179.082
57.391	87.795	178.562
58.226	87.739	178.050
59.073	87.684	177.545
59.932	87.633	177.047
60.804	87.582	176.556
61.688	87.530	176.073
62.586	87.479	175.599
63.496	87.433	175.131
64.420	87.389	174.669
65.357	87.340	174.217
66.307	87.286	173.777
67.272	87.233	173.348
68.250	87.179	172.924
69.243	87.119	172.497
70.250	87.056	172.066
71.272	86.992	171.642
72.309	86.928	171.235
73.360	86.868	170.847
74.427	86.813	170.473
75.510	86.760	170.104
76.608	86.702	169.732
77.723	86.638	169.366
78.853	86.570	169.017
80.000	86.501	168.685
81.164	86.435	168.363
82.344	86.371	168.044
83.542	86.309	167.726
84.757	86.248	167.406
85.990	86.183	167.086
87.241	86.109	166.780
88.510	86.029	166.502
89.797	85.949	166.231
91.103	85.877	165.953
92.428	85.808	165.692
93.773	85.741	165.480
95.137	85.681	165.311
96.520	85.627	165.136
97.924	85.565	164.938
99.349	85.494	164.755
100.794	85.426	164.593
102.260	85.367	164.416
103.747	85.316	164.221
105.256	85.265	164.028
106.787	85.206	163.844
108.340	85.134	163.673
109.916	85.055	163.521
111.515	84.982	163.394
113.137	84.918	163.271
114.783	84.855	163.135
116.452	84.786	162.995
118.146	84.710	162.878
119.865	84.632	162.790
121.608	84.558	162.722
123.377	84.493	162.665
125.171	84.433	162.597
126.992	84.369	162.513
128.839	84.295	162.438
130.713	84.215	162.381
132.615	84.138	162.332
134.543	84.069	162.287
136.500	84.001	162.242
138.486	83.926	162.203
140.500	83.846	162.178
142.544	83.771	162.169
144.617	83.701	162.177
146.721	83.628	162.206
148.855	83.552	162.251
151.020	83.482	162.299
153.217	83.417	162.364
155.445	83.353	162.472
157.706	83.285	162.623
160.000	83.205	162.828
162.327	83.122	163.119
164.688	83.042	163.501
167.084	82.962	164.002
169.514	82.880	164.641
171.980	82.804	165.391
174.481	82.755	166.178
177.019	82.747	166.833
179.594	82.775	167.212
182.206	82.834	167.287
184.856	82.897	167.105
187.545	82.931	166.828
190.273	82.936	166.561
193.041	82.926	166.281
195.849	82.901	166.004
198.697	82.855	165.766
201.587	82.792	165.607
204.520	82.730	165.540
207.494	82.675	165.524
210.512	82.619	165.532
213.574	82.559	165.575
216.681	82.499	165.649
219.833	82.437	165.742
223.030	82.375	165.852
226.274	82.317	165.971
229.565	82.260	166.105
232.905	82.203	166.255
236.292	82.146	166.417
239.729	82.089	166.599
243.216	82.035	166.810
246.754	81.984	167.054
250.343	81.934	167.277
253.984	81.884	167.442
257.678	81.833	167.615
261.426	81.785	167.819
265.229	81.740	168.042
