* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 4 sweeps at -12,0 dBFS  With no timing reference
* Dated: 31.08.2021 18:24:37
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: ; 
* Measurement: VK4 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	86.345	-127.649
20.586	86.388	-128.217
20.885	86.475	-129.259
21.189	86.553	-130.252
21.497	86.620	-131.149
21.810	86.682	-131.996
22.127	86.743	-132.823
22.449	86.803	-133.635
22.776	86.861	-134.430
23.107	86.915	-135.215
23.443	86.966	-135.992
23.784	87.014	-136.766
24.130	87.058	-137.537
24.481	87.097	-138.308
24.837	87.129	-139.079
25.198	87.157	-139.850
25.565	87.180	-140.623
25.937	87.199	-141.397
26.314	87.216	-142.174
26.697	87.228	-142.953
27.085	87.235	-143.734
27.479	87.239	-144.518
27.879	87.240	-145.303
28.284	87.239	-146.089
28.696	87.238	-146.876
29.113	87.239	-147.662
29.537	87.242	-148.448
29.966	87.247	-149.232
30.402	87.255	-150.015
30.844	87.268	-150.795
31.293	87.280	-151.573
31.748	87.285	-152.346
32.210	87.281	-153.117
32.678	87.273	-153.883
33.154	87.264	-154.647
33.636	87.255	-155.407
34.125	87.247	-156.165
34.621	87.238	-156.921
35.125	87.228	-157.675
35.636	87.215	-158.426
36.154	87.203	-159.172
36.680	87.194	-159.913
37.214	87.185	-160.647
37.755	87.172	-161.375
38.304	87.152	-162.097
38.861	87.125	-162.814
39.427	87.093	-163.526
40.000	87.063	-164.230
40.582	87.036	-164.926
41.172	87.015	-165.614
41.771	86.997	-166.296
42.379	86.981	-166.975
42.995	86.962	-167.653
43.620	86.938	-168.329
44.255	86.909	-169.002
44.898	86.878	-169.669
45.552	86.847	-170.326
46.214	86.820	-170.971
46.886	86.799	-171.609
47.568	86.783	-172.248
48.260	86.762	-172.898
48.962	86.719	-173.552
49.674	86.658	-174.192
50.397	86.595	-174.795
51.130	86.544	-175.360
51.874	86.506	-175.907
52.628	86.473	-176.456
53.394	86.436	-177.013
54.170	86.397	-177.571
54.958	86.360	-178.123
55.758	86.324	-178.663
56.569	86.284	-179.194
57.391	86.236	-179.721
58.226	86.182	179.752
59.073	86.128	179.231
59.932	86.077	178.720
60.804	86.026	178.220
61.688	85.973	177.732
62.586	85.922	177.258
63.496	85.876	176.797
64.420	85.832	176.344
65.357	85.785	175.893
66.307	85.733	175.453
67.272	85.680	175.032
68.250	85.628	174.615
69.243	85.572	174.187
70.250	85.512	173.748
71.272	85.450	173.311
72.309	85.386	172.890
73.360	85.326	172.492
74.427	85.273	172.112
75.510	85.219	171.742
76.608	85.162	171.376
77.723	85.101	171.011
78.853	85.035	170.653
80.000	84.965	170.318
81.164	84.898	170.014
82.344	84.838	169.721
83.542	84.781	169.414
84.757	84.726	169.092
85.990	84.668	168.763
87.241	84.600	168.451
88.510	84.526	168.173
89.797	84.455	167.920
91.103	84.394	167.674
92.428	84.341	167.429
93.773	84.291	167.178
95.137	84.239	166.914
96.520	84.180	166.659
97.924	84.112	166.414
99.349	84.033	166.180
100.794	83.952	165.974
102.260	83.879	165.794
103.747	83.817	165.621
105.256	83.758	165.455
106.787	83.695	165.305
108.340	83.625	165.144
109.916	83.549	164.967
111.515	83.474	164.811
113.137	83.407	164.693
114.783	83.345	164.601
116.452	83.285	164.521
118.146	83.225	164.418
119.865	83.162	164.295
121.608	83.099	164.162
123.377	83.037	164.022
125.171	82.973	163.917
126.992	82.907	163.852
128.839	82.836	163.806
130.713	82.760	163.769
132.615	82.688	163.730
134.543	82.623	163.681
136.500	82.559	163.633
138.486	82.488	163.597
140.500	82.414	163.583
142.544	82.350	163.585
144.617	82.294	163.585
146.721	82.237	163.569
148.855	82.171	163.532
151.020	82.102	163.534
153.217	82.044	163.610
155.445	81.993	163.697
157.706	81.938	163.772
160.000	81.874	163.847
162.327	81.803	163.940
164.688	81.734	164.056
167.084	81.658	164.197
169.514	81.560	164.375
171.980	81.438	164.616
174.481	81.298	164.936
177.019	81.148	165.363
179.594	81.006	165.974
182.206	80.908	166.827
184.856	80.879	167.952
187.545	80.936	169.190
190.273	81.077	170.142
193.041	81.257	170.419
195.849	81.400	170.031
198.697	81.463	169.321
201.587	81.454	168.630
204.520	81.412	168.102
207.494	81.355	167.744
210.512	81.291	167.528
213.574	81.224	167.409
216.681	81.155	167.366
219.833	81.085	167.383
223.030	81.018	167.438
226.274	80.956	167.525
229.565	80.896	167.635
232.905	80.836	167.765
236.292	80.776	167.912
239.729	80.721	168.067
243.216	80.677	168.224
246.754	80.640	168.354
250.343	80.589	168.481
253.984	80.525	168.713
257.678	80.469	168.991
261.426	80.420	169.238
265.229	80.375	169.467
269.087	80.332	169.694
273.001	80.290	169.917
276.972	80.250	170.148
281.000	80.209	170.395
285.088	80.167	170.650
289.234	80.125	170.907
293.441	80.085	171.169
297.710	80.047	171.438
302.040	80.010	171.708
306.433	79.973	171.979
310.890	79.937	172.258
315.412	79.902	172.541
320.000	79.871	172.826
324.655	79.839	173.115
329.377	79.804	173.411
334.168	79.773	173.713
339.028	79.746	174.018
343.959	79.717	174.327
348.962	79.686	174.637
354.038	79.659	174.955
359.188	79.636	175.286
364.412	79.609	175.630
369.713	79.578	175.980
375.090	79.546	176.333
380.546	79.519	176.684
386.081	79.500	177.038
391.697	79.487	177.397
397.395	79.473	177.758
403.175	79.454	178.119
409.039	79.432	178.486
414.989	79.410	178.863
421.025	79.392	179.255
427.149	79.378	179.653
433.362	79.369	-179.951
439.665	79.366	-179.572
446.060	79.368	-179.219
452.548	79.370	-178.872
459.131	79.370	-178.524
465.809	79.362	-178.169
472.584	79.348	-177.799
479.458	79.338	-177.420
486.432	79.330	-177.045
493.507	79.321	-176.681
500.686	79.311	-176.292
507.968	79.305	-175.852
515.357	79.301	-175.406
522.853	79.295	-174.971
530.458	79.291	-174.532
538.174	79.292	-174.084
546.002	79.291	-173.630
553.943	79.288	-173.173
562.001	79.287	-172.713
570.175	79.292	-172.244
578.469	79.301	-171.772
586.883	79.306	-171.300
595.419	79.303	-170.820
604.080	79.304	-170.316
612.866	79.318	-169.798
621.780	79.338	-169.275
630.824	79.356	-168.743
640.000	79.372	-168.199
649.309	79.392	-167.647
658.753	79.413	-167.104
668.335	79.436	-166.554
678.056	79.458	-165.991
687.919	79.481	-165.412
697.925	79.509	-164.826
708.076	79.542	-164.250
718.376	79.579	-163.666
728.825	79.616	-163.070
739.426	79.654	-162.473
750.181	79.694	-161.867
761.093	79.735	-161.223
772.163	79.776	-160.544
783.394	79.823	-159.850
794.789	79.884	-159.161
806.349	79.956	-158.490
818.078	80.028	-157.834
829.977	80.098	-157.196
842.050	80.171	-156.586
854.297	80.249	-156.005
866.724	80.334	-155.449
879.330	80.425	-154.929
892.120	80.519	-154.461
905.097	80.614	-154.080
918.262	80.702	-153.789
931.618	80.778	-153.569
945.169	80.837	-153.399
958.917	80.876	-153.228
972.864	80.898	-152.967
987.015	80.910	-152.534
1001.371	80.928	-151.901
1015.937	80.964	-151.118
1030.714	81.025	-150.270
1045.706	81.113	-149.442
